Molecule ChEMBL ID,Smiles (RDKit Mol),MACCS_sim_score,ECFP4_sim_score,MCSS_rdkit_sim_score,Standard Type,Standard Relation,Standard Value,Standard Units,Document ChEMBL ID,Smiles
CHEMBL3353411,,0.984,0.841,0.973,IC50,'=',2000.0,nM,CHEMBL3351341,C=CC(=O)Nc1cc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL3353408,,0.938,0.783,0.947,IC50,'=',200.0,nM,CHEMBL3351341,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL3353404,,0.91,0.783,0.947,IC50,'=',600.0,nM,CHEMBL3351341,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL2426282,,0.723,0.596,0.763,IC50,'=',22.0,nM,CHEMBL2424560,C=CC(=O)Nc1ccc(OC)c(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)c1
CHEMBL2426286,,0.701,0.596,0.763,IC50,'=',33.0,nM,CHEMBL2424560,C=CC(=O)Nc1ccc(OC)c(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c1
CHEMBL2426281,,0.6,0.511,0.711,IC50,'=',81.0,nM,CHEMBL2424560,C=CC(=O)Nc1cccc(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)c1
CHEMBL4798177,,0.808,0.723,0.696,IC50,'=',43.1,nM,CHEMBL4706488,C=CC(=O)Nc1cc(Nc2cc(-n3c(SC)nnc3-c3ccc(F)cc3)ccn2)c(OC)cc1N(C)CCN(C)C
CHEMBL4076854,,0.676,0.565,0.684,IC50,'=',5.6,nM,CHEMBL4011631,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3cnc(SC)[nH]3)ccn2)c1
CHEMBL5201387,,0.645,0.667,0.667,IC50,'=',180.0,nM,CHEMBL5096180,C=CC(=O)Nc1ccc(Nc2nccc(-c3cn(C)c4ccccc34)n2)cc1
CHEMBL4086878,,0.691,0.587,0.667,IC50,'=',10.0,nM,CHEMBL4011631,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3C)ccn2)c1
CHEMBL2426279,,0.908,0.761,0.659,IC50,'=',68.0,nM,CHEMBL2424560,C=CC(=O)Nc1cc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c(OC)cc1N1CCN(C)CC1
CHEMBL2424676,,0.881,0.761,0.659,IC50,'=',71.0,nM,CHEMBL2424560,C=CC(=O)Nc1cc(Nc2nccc(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C)CC1
CHEMBL4798480,,0.712,0.702,0.652,IC50,'=',212.7,nM,CHEMBL4706488,C=CC(=O)Nc1cc(Nc2cc(-n3c(SC)nnc3-c3ccc(F)cc3)ccn2)ccc1N(C)CCN(C)C
CHEMBL2426278,,0.868,0.708,0.644,IC50,'=',5.6,nM,CHEMBL2424560,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)c(OC)cc1N1CCN(C)CC1
CHEMBL2426277,,0.843,0.708,0.644,IC50,'=',19.0,nM,CHEMBL2424560,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C)CC1
CHEMBL3353405,,0.857,0.64,0.644,IC50,'=',4000.0,nM,CHEMBL3351341,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC(N(C)C)C1
CHEMBL4105526,,0.681,0.531,0.634,IC50,'=',7.4,nM,CHEMBL4011631,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3C3CC3)ccn2)c1
CHEMBL3353403,,0.857,0.615,0.63,IC50,'=',2000.0,nM,CHEMBL3351341,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC[C@@H](N(C)C)C1
CHEMBL2426283,,0.585,0.489,0.625,IC50,'=',12900.0,nM,CHEMBL2424560,C=CC(=O)Nc1ccc(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)cc1
CHEMBL4100377,,0.681,0.571,0.619,IC50,'=',6.8,nM,CHEMBL4011631,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3C3CCC3)ccn2)c1
CHEMBL4082884,,0.696,0.542,0.619,IC50,'=',485.0,nM,CHEMBL4011631,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3C(C)(C)C)ccn2)c1
CHEMBL5088907,,0.908,0.682,0.614,IC50,'=',6.198,nM,CHEMBL5046228,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccn(C)n3)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL5071181,,0.908,0.682,0.614,IC50,'=',21.43,nM,CHEMBL5046228,C=CC(=O)Nc1cc(Nc2nccc(Nc3cnn(C)c3)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4082362,,0.681,0.571,0.605,IC50,'=',4.5,nM,CHEMBL4011631,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3C3CCCC3)ccn2)c1
CHEMBL5080676,,0.908,0.667,0.6,IC50,'=',5.654,nM,CHEMBL5046228,C=CC(=O)Nc1cc(Nc2nccc(Nc3cn(C)nc3C)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL5094406,,0.894,0.644,0.6,IC50,'=',8.023,nM,CHEMBL5046228,C=CC(=O)Nc1cc(Nc2nccc(Nc3cnn(CC)c3)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL3353396,,0.792,0.694,0.592,IC50,'=',19000.0,nM,CHEMBL3351341,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C(=O)[C@H](C)N)CC1
CHEMBL3353402,,0.792,0.694,0.592,IC50,'=',177000.0,nM,CHEMBL3351341,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C(=O)[C@@H](C)N)CC1
CHEMBL3353400,,0.77,0.694,0.592,IC50,'=',75000.0,nM,CHEMBL3351341,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C(=O)[C@H](C)O)CC1
