Molecule ChEMBL ID,MACCS_sim_score,ECFP4_sim_score,MCSS_rdkit_sim_score,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Document ChEMBL ID,Smiles (RDKit Mol)
CHEMBL3663937,0.812,0.542,0.357,C=CC(=O)Nc1ccc(F)c(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)c(C(N)=O)nc2CC)c1,IC50,'=',1.5,nM,CHEMBL3638445, 
CHEMBL4205392,0.8170000000000001,0.3444,0.1908,C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(C)nc3OC)c3ncn(CC)c3n2)C[C@H]1F,Ki,'=',6.0,nM,CHEMBL4177539, 
CHEMBL4216679,0.8200000000000001,0.341125,0.18775,C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(C)nc3OC)c3ncn(C(C)C)c3n2)C[C@H]1F,Ki,'=',8.0,nM,CHEMBL4177539, 
CHEMBL4208829,0.8170000000000001,0.3414,0.1842,C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(C)nc3OC)c3ncn(C(C)(C)C)c3n2)C[C@H]1F,Ki,'=',18.0,nM,CHEMBL4177539, 
CHEMBL4216749,0.8512045454545455,0.4422500000000001,0.3395454545454544,C=CC(=O)Nc1cccc(Oc2nc(Nc3cnn(CCN(C)C)c3)nc3[nH]ccc23)c1F,Ki,'=',2.0,nM,CHEMBL4177539, 
CHEMBL4213741,0.806,0.436,0.377,C=CC(=O)N1CC[C@H](Nc2nc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C(C)C)c3n2)C1,Ki,'=',164.0,nM,CHEMBL4177539, 
CHEMBL4211782,0.843911111111111,0.3993555555555554,0.3468,C=CC(=O)Nc1cccc(Oc2nc(Nc3cnn(CCN(C)C)c3)nc3[nH]ccc23)c1,Ki,'=',3.0,nM,CHEMBL4177539, 
CHEMBL4206312,0.806,0.436,0.377,C=CC(=O)N1CC[C@@H](Nc2nc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C(C)C)c3n2)C1,Ki,'=',32.0,nM,CHEMBL4177539, 
CHEMBL4278815,0.899109090909091,0.698109090909091,0.8668545454545455,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',1.3,nM,CHEMBL4257480, 
CHEMBL4286318,0.9307413793103448,0.7909999999999997,0.8761551724137933,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',1.4,nM,CHEMBL4257480, 
CHEMBL4282688,0.930741379310345,0.7374655172413795,0.841206896551724,C=C=CC(=O)Nc1cc(Nc2ncc(OC)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',0.7,nM,CHEMBL4257480, 
CHEMBL4293734,0.8820769230769231,0.7231730769230771,0.5602692307692306,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCC(N(C)C)CC1,IC50,'=',1.0,nM,CHEMBL4257480, 
CHEMBL4287401,0.8246666666666667,0.6476666666666667,0.6124999999999999,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1OCCN1CCOCC1,IC50,'=',0.7,nM,CHEMBL4257480, 
CHEMBL4289490,0.908555555555556,0.7683333333333334,0.8595370370370371,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4cc(Cl)ccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',2.6,nM,CHEMBL4257480, 
CHEMBL4294211,0.8265714285714286,0.7239428571428572,0.5062000000000002,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCC(N2CCOCC2)CC1,IC50,'=',0.7,nM,CHEMBL4257480, 
CHEMBL4287141,0.9097090909090908,0.7657636363636365,0.8573272727272727,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4cc(F)ccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',1.0,nM,CHEMBL4257480, 
CHEMBL4280993,0.8444782608695651,0.7600434782608694,0.8564130434782609,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(C)cc1N(C)CCN(C)C,IC50,'=',2.7,nM,CHEMBL4257480, 
CHEMBL4290812,0.8948703703703703,0.7422407407407409,0.6240185185185183,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCN(C)CC1,IC50,'=',0.3,nM,CHEMBL4257480, 
CHEMBL4290568,0.9307413793103452,0.7389137931034482,0.8594482758620688,C=C=CC(=O)Nc1cc(Nc2ncc(C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',1.0,nM,CHEMBL4257480, 
CHEMBL4282543,0.8524509803921569,0.6663333333333333,0.6848823529411763,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1OCCN1CCN(C)CC1,IC50,'=',0.4,nM,CHEMBL4257480, 
CHEMBL4288246,0.8569999999999999,0.7519399999999999,0.6888199999999999,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN1CCOCC1,IC50,'=',1.2,nM,CHEMBL4257480, 
CHEMBL4279227,0.921,0.6969122807017543,0.8630526315789477,C=C=CC(=O)Nc1cc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',0.5,nM,CHEMBL4257480, 
CHEMBL4279016,0.8841132075471697,0.7263962264150945,0.5165660377358491,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCC(N2CCN(C)CC2)CC1,IC50,'=',0.7,nM,CHEMBL4257480, 
