Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Document ChEMBL ID,Smiles (RDKit Mol)
CHEMBL3910422,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)cc3OC)ncc2Br)c1,IC50,'=',65.0,nM,CHEMBL3886183,
CHEMBL3954273,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)c(OC)c3OC)ncc2Br)c1,IC50,'=',65.0,nM,CHEMBL3886183,
CHEMBL3956465,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)c(OC)c3OC)ncc2C(F)(F)F)c1,IC50,'=',20.0,nM,CHEMBL3886183,
CHEMBL3919271,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OC)c3OC)ncc2Cl)c1,IC50,'=',650.0,nM,CHEMBL3886183,
CHEMBL3938358,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)cc3OC)ncc2Cl)c1,IC50,'=',200.0,nM,CHEMBL3886183,
CHEMBL3954684,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)cc3OC)ncc2C(F)(F)F)c1,IC50,'=',20.0,nM,CHEMBL3886183,
CHEMBL3891187,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OC)c3OC)ncc2C(F)(F)F)c1,IC50,'=',200.0,nM,CHEMBL3886183,
CHEMBL3954906,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3OC)ncc2Br)c1,IC50,'=',200.0,nM,CHEMBL3886183,
CHEMBL3903707,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3OC)ncc2Cl)c1,IC50,'=',650.0,nM,CHEMBL3886183,
CHEMBL3903641,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3OC)ncc2C(F)(F)F)c1,IC50,'=',200.0,nM,CHEMBL3886183,
CHEMBL3986363,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)c(OC)c3OC)ncc2Cl)c1,IC50,'=',65.0,nM,CHEMBL3886183,
CHEMBL4583545,C=C(Cl)C(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccccc45)n2)CS(=O)(=O)CC3)c(OC)cc1N(C)CCN(C)C,IC50,'=',990.0,nM,CHEMBL4312015,
CHEMBL4471845,C=C(Cl)C(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccccc45)n2)CSCC3)c(OC)cc1N(C)CCN(C)C,IC50,'=',31.0,nM,CHEMBL4312015,
CHEMBL4552429,C=CC(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccccc45)n2)CSCC3)c(OC)cc1N(C)CCN(C)C,IC50,'=',35.0,nM,CHEMBL4312015,
CHEMBL4444312,CCC/C=C\C(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccccc45)n2)CS(=O)(=O)CC3)c(OC)cc1N(C)CCN(C)C,IC50,'=',16.0,nM,CHEMBL4312015,
CHEMBL4756020,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C4COC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',0.95,nM,CHEMBL4706705,
CHEMBL4792967,C=CC(=O)Nc1cc(Nc2ncc(C(F)(F)F)c(-c3cn(C4COC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',0.17,nM,CHEMBL4706705,
