Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
MLP,11,2.068101628026872,0.824242687149823,0.6155286311071966,1.3008472924850112,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",1.4397713182570195,3,0.20871405604262638,2,5,1.2310572622143932
MLP,9,2.7772354400828045,0.9840096443672146,0.4836967889218405,1.4050029194035174,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",1.467706433289055,1,0.5003128554453742,4,5,0.9673935778436809
MLP,27,2.8791561201723384,0.9999458484478476,0.4647491787747054,1.3971991542969149,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",1.464695027222553,2,0.5351966696731423,7,9,0.9294983575494107
MLP,10,3.150509376954406,0.9403241510806492,0.4143031287959825,1.5028892372824154,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.3546272798766317,5,0.5260210222846666,6,11,0.828606257591965
MLP,26,3.3160765659179607,0.9999241073633246,0.383523285619086,1.585937063517121,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",1.3834473929824105,4,0.6164008217442386,10,14,0.7670465712381719
MLP,29,3.5515816595105463,0.9998316388278168,0.3397416046379845,1.576226271963815,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",1.3395732434658012,6,0.6600900341898324,12,18,0.6794832092759688
MLP,28,3.83548158111378,0.9999198509005568,0.2869630612588115,1.6631452271955174,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",1.2868829121593683,7,0.7129567896417452,14,21,0.5739261225176231
MLP,23,3.919486360937362,0.9999134756387784,0.2713461146568567,1.6819514741008623,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",1.2712595902956352,8,0.7285673609819217,15,23,0.5426922293137135
MLP,25,3.9656157754196,0.999957129626625,0.2627704049857946,1.6823806743853007,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.2627275346124196,9,0.7371867246408303,16,25,0.5255408099715893
MLP,8,4.261666677683719,0.8197060342379097,0.2077329280490197,1.915817066948515,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.0274389622869293,14,0.61197310618889,9,23,0.4154658560980393
MLP,2,4.318302464540809,0.6508818954275901,0.1972040264678913,1.913210743563466,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",0.8480859218954815,21,0.4536778689596988,3,24,0.3944080529357827
