Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
SVR,9,1.8373822619266449,0.8158304932130447,0.6584206192534781,1.2316283149353362,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.4742511124665227,1,0.15740987395956663,8,9,1.3168412385069561
SVR,11,2.139865242011824,0.8668417208272111,0.6021873839791176,1.302068048976898,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.4690291048063289,2,0.2646543368480935,10,12,1.2043747679582353
SVR,10,2.198129512418483,0.8541744839460236,0.5913557384268817,1.334689151322105,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.4455302223729052,3,0.26281874551914186,9,12,1.1827114768537634
SVR,23,2.951252301827969,0.9670117674562504,0.4513461055033351,1.5601999940872928,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.4183578729595854,4,0.5156656619529153,13,17,0.9026922110066701
SVR,22,3.0080676607046897,0.9635830633628342,0.4407838205046479,1.5818052131804143,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.404366883867482,6,0.5227992428581862,14,20,0.8815676410092959
SVR,24,3.062567548431932,0.9678491585266163,0.430651994217664,1.5840717029540712,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.3985011527442803,8,0.5371971643089524,16,24,0.861303988435328
SVR,26,3.06703858160483,0.9788809347657832,0.4298208047726901,1.5819460986006206,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.4087017395384733,5,0.5490601299930931,18,23,0.8596416095453803
SVR,29,3.15740364757586,0.9895895199590896,0.4130214462967154,1.5717812519357095,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.402610966255805,7,0.5765680736623742,23,30,0.8260428925934309
SVR,16,3.167251185755086,0.9361101533676806,0.4111907352558835,1.6281178958438984,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.347300888623564,13,0.5249194181117971,15,28,0.8223814705117669
SVR,20,3.1939178021802594,0.964675083892439,0.4062332658637688,1.6251438756298329,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.3709083497562078,11,0.5584418180286701,20,31,0.8124665317275377
SVR,27,3.2012200050246267,0.984702197491928,0.4048757465400278,1.6199273839613633,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.3895779440319558,9,0.5798264509519002,25,34,0.8097514930800556
SVR,21,3.2368856037086307,0.9645958799750264,0.3982453172794005,1.6301091310427296,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.362841197254427,12,0.5663505626956259,21,33,0.7964906345588011
SVR,28,3.2551294140069613,0.9864562040049448,0.3948536934712843,1.626300180986869,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.3813098974762292,10,0.5916025105336605,27,37,0.7897073869425687
SVR,19,3.3088708851007995,0.9602887607693408,0.384862860971687,1.635865899803307,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.3451516217410278,14,0.5754258997976538,22,36,0.769725721943374
SVR,15,3.3235994503548825,0.9297784598933038,0.3821247403840314,1.682121016565718,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.3119032002773352,17,0.5476537195092723,17,34,0.7642494807680629
SVR,18,3.339876241189698,0.9559594082020036,0.3790987962192789,1.6506153863679034,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.3350582044212826,15,0.5768606119827248,24,39,0.7581975924385579
SVR,14,3.3828980699150635,0.92864022874787,0.371100803684408,1.6875392353475802,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.299741032432278,18,0.557539425063462,19,37,0.742201607368816
SVR,17,3.387764732927057,0.9547961564170496,0.3701960644951902,1.6659213637786463,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.3249922209122398,16,0.5846000919218595,26,42,0.7403921289903803
SVR,25,3.5582948702519825,0.3916614678157883,0.3384935821576347,1.7889426077461428,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7301550499734231,19,0.05316788565815361,2,21,0.6769871643152694
