Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
KNN,27,2.773643915584793,0.9999999999999956,0.4843644729086667,1.5652965812740762,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",1.4843644729086622,1,0.5156355270913289,13,14,0.9687289458173334
KNN,12,3.0564974536988867,0.506151130783665,0.4317804579254894,1.408279144688593,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.9379315887091544,2,0.07437067285817561,4,6,0.8635609158509787
KNN,11,3.3959932621481026,0.4818038877025367,0.3686663360472666,1.5299579737759252,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.8504702237498033,3,0.11313755165527006,6,9,0.7373326720945332
KNN,3,3.7484326027374375,0.5425277141716376,0.3031459409700969,1.7179505398832573,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.8456736551417345,4,0.2393817732015407,8,12,0.6062918819401939
KNN,18,3.8544949751904025,0.5391204092912654,0.2834283676301855,1.464073118299465,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.8225487769214508,5,0.2556920416610799,9,14,0.5668567352603708
KNN,20,4.154142364944568,0.4915081243009026,0.2277222840593047,1.671723459264718,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.7192304083602074,6,0.2637858402415979,10,16,0.45544456811860945
KNN,19,4.195236649939458,0.4971353735671122,0.2200826324137856,1.5860534725641664,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.7172180059808978,7,0.27705274115332656,11,18,0.44016526482757123
KNN,6,4.266074706709725,0.2302219842094717,0.2069134514184807,1.804638081128336,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.43713543562795243,9,0.023308532790991016,2,11,0.41382690283696144
KNN,14,4.351948237581164,0.1962994795154559,0.190949093807438,1.932882465795409,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.38724857332289386,10,0.005350385708017907,1,11,0.38189818761487593
KNN,22,4.370519168595212,0.5056777433400551,0.187496656474657,1.6077887272390263,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.6931743998147121,8,0.31818108686539814,12,20,0.37499331294931393
KNN,5,4.954472746978857,0.1252230741415155,0.0789365022692691,2.083694947563742,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.2041595764107846,12,0.04628657187224641,3,15,0.1578730045385382
KNN,8,5.0981380666041325,0.1283423644745402,0.0522283360214382,2.0430356288013707,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.1805707004959784,13,0.076114028453102,5,18,0.1044566720428764
KNN,1,5.263474835078065,0.2169893042856092,0.0214913292699211,2.1423269544470043,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.23848063355553029,11,0.1954979750156881,7,18,0.04298265853984218
