Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
XGBoost,24,2.084478747870433,0.932320008545988,0.6124840352326781,1.32980067087309,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",1.544804043778666,1,0.3198359733133098,18,19,1.2249680704653563
XGBoost,17,2.3505727777471352,0.8996534375431251,0.5630157042113901,1.1694720096810325,"{'colsample_bytree': 0.6, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}",1.4626691417545152,2,0.33663773333173497,22,24,1.1260314084227803
XGBoost,11,2.4943644979465005,0.755582764680627,0.5362840394076416,1.3825777607289778,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 10, 'subsample': 1.0}",1.2918668040882686,8,0.21929872527298544,11,19,1.0725680788152832
XGBoost,27,2.567946237405583,0.8198883091194809,0.5226047928406641,1.4881902554577595,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 25, 'subsample': 1.0}",1.342493101960145,5,0.2972835162788168,16,21,1.0452095856813282
XGBoost,19,2.6714797618747146,0.8282750168228497,0.5033573461293913,1.5029142608101267,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 25, 'subsample': 1.0}",1.331632362952241,7,0.32491767069345834,19,26,1.0067146922587829
XGBoost,10,2.712658567457644,0.7497595650064153,0.4957019816457105,1.4703066187230571,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",1.2454615466521257,11,0.2540575833607048,12,23,0.9914039632914209
XGBoost,9,2.965348963937372,0.7426958050079717,0.4487254591557027,1.4780337973833633,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",1.1914212641636746,12,0.293970345852269,15,27,0.8974509183114056
XGBoost,23,3.005193457834816,0.8906771461865938,0.4413181504896354,1.6238100041801824,"{'colsample_bytree': 0.6, 'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 10, 'subsample': 0.8}",1.3319952966762292,6,0.44935899569695836,26,32,0.8826363009792708
XGBoost,15,3.0206244097717487,0.7482601531799211,0.4384494523879023,1.606064953663187,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 25, 'subsample': 0.8}",1.1867096055678235,13,0.30981070079201883,17,30,0.8768989047758047
XGBoost,28,3.076144352514848,0.9811880024621976,0.4281279923116607,1.592774266622338,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.6}",1.4093159947738583,3,0.553060010150537,27,30,0.8562559846233213
XGBoost,21,3.105393816723652,0.7566716489605763,0.4226903574336935,1.6410157410340422,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",1.1793620063942698,14,0.3339812915268828,20,34,0.8453807148673871
XGBoost,20,3.121100103973394,0.8299719946078811,0.4197704729960543,1.6049812111746726,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 25, 'subsample': 1.0}",1.2497424676039355,10,0.41020152161182677,24,34,0.8395409459921087
XGBoost,29,3.121834797435316,0.9782738147378488,0.419633889475596,1.5257008997635957,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.6}",1.397907704213445,4,0.5586399252622528,28,32,0.8392677789511921
XGBoost,16,3.147852697684843,0.8370201724796018,0.4147970199576332,1.5745517395518591,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.6}",1.251817192437235,9,0.4222231525219686,25,34,0.8295940399152664
XGBoost,26,3.176379932436529,0.7447059370183748,0.4094936514736718,1.6310048266649793,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",1.1541995884920466,15,0.33521228554470306,21,36,0.8189873029473436
XGBoost,6,3.1865728392269133,0.4975113570520173,0.4075987345249169,1.5651480014433106,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 10, 'subsample': 1.0}",0.9051100915769342,18,0.08991262252710042,5,23,0.8151974690498338
XGBoost,14,3.393242955563644,0.7471472746089476,0.3691776330372557,1.6567130035379265,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",1.1163249076462032,17,0.3779696415716919,23,40,0.7383552660745113
XGBoost,18,3.568813973065504,0.5039731474893077,0.3365380235896075,1.7355793227608098,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",0.8405111710789152,19,0.16743512389970017,9,28,0.673076047179215
XGBoost,13,3.943987072554563,0.3691339350384058,0.2667912987780547,1.8698677638119463,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.6}",0.6359252338164605,22,0.10234263626035112,6,28,0.5335825975561094
XGBoost,22,3.9679223017778553,0.4443217260996506,0.2623416091595508,1.8413788893765213,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 10, 'subsample': 0.8}",0.7066633352592013,20,0.1819801169400998,10,30,0.5246832183191015
XGBoost,12,4.040474062612125,0.3921770798926999,0.248853841234844,1.860437983892236,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.6410309211275439,21,0.1433232386578559,7,28,0.497707682469688
XGBoost,25,4.482016577559276,0.9557088657807792,0.1667686802130102,1.845905876371048,"{'colsample_bytree': 0.6, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 25, 'subsample': 0.6}",1.1224775459937895,16,0.788940185567769,29,45,0.33353736042602045
XGBoost,1,4.762466681846886,0.3972969420903758,0.1146314766828044,1.9668429711407427,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 25, 'subsample': 0.6}",0.5119284187731802,23,0.2826654654075714,14,37,0.22926295336560876
XGBoost,4,5.031228046719337,0.1279200586569646,0.0646672735422676,2.047563850955584,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 10, 'subsample': 1.0}",0.1925873321992322,26,0.063252785114697,3,29,0.12933454708453518
XGBoost,2,5.062086095836967,0.20284624946298,0.0589305939590037,2.0559778160074087,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.6}",0.2617768434219837,25,0.14391565550397628,8,33,0.11786118791800743
XGBoost,5,5.14275449048865,0.1074385192901209,0.0439338995520137,2.073954706918164,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",0.1513724188421346,27,0.0635046197381072,4,31,0.0878677991040274
XGBoost,8,5.164716822224552,0.0940190066999756,0.0398509823335615,2.0861644149585747,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}",0.13386998903353708,28,0.054168024366414096,2,30,0.07970196466712298
