Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
AdaBoost,12,2.420665081323062,0.9228410587156196,0.5499851628011028,1.417117950378689,{'n_estimators': 50},1.4728262215167223,1,0.37285589591451684,1,2,1.0999703256022055
AdaBoost,11,2.530280378500353,0.9322126080646598,0.5296070813827574,1.3900781374216082,{'n_estimators': 100},1.4618196894474171,3,0.4026055266819024,3,6,1.0592141627655147
AdaBoost,16,2.533230798568966,0.9413637771413932,0.5290585822049529,1.3777246962583776,{'n_estimators': 50},1.4704223593463461,2,0.41230519493644024,5,7,1.0581171644099059
AdaBoost,10,2.5579197402052745,0.923998119356056,0.5244687733392821,1.4163489750248666,{'n_estimators': 100},1.4484668926953381,4,0.3995293460167739,2,6,1.0489375466785642
AdaBoost,9,2.662315766809656,0.9137462856432728,0.5050609827783077,1.4409314301428953,{'n_estimators': 100},1.4188072684215804,8,0.40868530286496507,4,12,1.0101219655566154
AdaBoost,14,2.716869637973303,0.93709801783028,0.4949191206761534,1.487296606836822,{'n_estimators': 100},1.4320171385064335,6,0.4421788971541266,7,13,0.9898382413523069
AdaBoost,13,2.782159771217135,0.9482235292833626,0.4827813289142472,1.5202121005219056,{'n_estimators': 100},1.4310048581976098,7,0.46544220036911543,8,15,0.9655626578284944
AdaBoost,19,2.8002209994791523,0.9537786747660644,0.4794236481022029,1.39856499295037,{'n_estimators': 100},1.4332023228682673,5,0.4743550266638615,9,14,0.9588472962044059
AdaBoost,17,2.9929006854082987,0.9459201343940368,0.4436034439095819,1.39091048951632,{'n_estimators': 50},1.3895235783036186,9,0.5023166904844549,12,21,0.8872068878191637
AdaBoost,6,3.02056419062657,0.8645555219440773,0.4384606474553336,1.6197372429120998,{'n_estimators': 100},1.303016169399411,16,0.42609487448874367,6,22,0.8769212949106673
AdaBoost,23,3.139304177455445,0.9574736567006152,0.4163862364787479,1.514488835315459,{'n_estimators': 100},1.373859893179363,10,0.5410874202218674,13,23,0.8327724729574957
AdaBoost,18,3.210422178069923,0.949533989980748,0.4031650123964214,1.5569933212411464,{'n_estimators': 50},1.3526990023771694,12,0.5463689775843266,15,27,0.8063300247928429
AdaBoost,24,3.231452488612922,0.9727917365852544,0.3992553629995385,1.625758358960154,{'n_estimators': 50},1.3720470995847929,11,0.573536373585716,16,27,0.7985107259990769
AdaBoost,15,3.424079184184348,0.9490009669667798,0.3634450100033458,1.6377371726890566,{'n_estimators': 100},1.3124459769701255,15,0.5855559569634341,17,32,0.7268900200066915
AdaBoost,25,3.4264169463766034,0.958801119060088,0.3630104072652492,1.6412245609909106,{'n_estimators': 100},1.3218115263253372,13,0.5957907117948389,18,31,0.7260208145304983
AdaBoost,27,3.4609942180605016,0.962000413854705,0.3565823039280017,1.6729902746659624,{'n_estimators': 50},1.3185827177827067,14,0.6054181099267033,20,34,0.7131646078560034
AdaBoost,32,3.6115273081436414,0.971827542128204,0.3285973817058057,1.699785212698081,{'n_estimators': 100},1.3004249238340098,17,0.6432301604223982,22,39,0.6571947634116115
AdaBoost,26,3.6656965468829714,0.9542434061038289,0.3185270248685253,1.6056803052942528,{'n_estimators': 50},1.2727704309723542,18,0.6357163812353035,21,39,0.6370540497370507
AdaBoost,4,3.6901585225875606,0.8144539008820989,0.313979410207084,1.7567859075812169,{'n_estimators': 50},1.1284333110891829,29,0.5004744906750149,10,39,0.627958820414168
AdaBoost,29,3.782789873501783,0.9690399831261398,0.2967587370033405,1.7252639228704114,{'n_estimators': 50},1.2657987201294802,19,0.6722812461227994,24,43,0.5935174740066809
AdaBoost,35,3.868230670900635,0.9753609830640184,0.2808748269043138,1.8213228730642503,{'n_estimators': 100},1.2562358099683322,20,0.6944861561597047,27,47,0.5617496538086275
AdaBoost,8,3.880769076368152,0.883034965510814,0.2785438689627408,1.6836463874489334,{'n_estimators': 100},1.1615788344735547,24,0.6044910965480732,19,43,0.5570877379254815
