Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
MLP,10,2.428795651838908,0.8605962968826033,0.5484736454105918,1.393213918485251,"{'alpha': 0.001, 'hidden_layer_sizes': (100,)}",1.4090699422931952,2,0.31212265147201146,3,5,1.0969472908211837
MLP,7,2.5201638647975355,0.8504374147671163,0.5314877964400033,1.2698043469097031,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}",1.3819252112071196,3,0.318949618327113,4,7,1.0629755928800066
MLP,8,2.8248546654021016,0.8640448788717296,0.4748441152930341,1.4689670647654696,"{'alpha': 0.001, 'hidden_layer_sizes': (100,)}",1.3388889941647637,6,0.38920076357869554,6,12,0.9496882305860681
MLP,6,2.9652315102421274,0.9078301047003724,0.4487472944380601,1.5101371681101503,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100)}",1.3565773991384324,5,0.4590828102623123,8,13,0.8974945888761201
MLP,33,3.0223083300260667,0.9999315026647144,0.4381364024311158,1.515411198215118,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100)}",1.4380679050958303,1,0.5617951002335986,11,12,0.8762728048622317
MLP,4,3.144143023782837,0.862074476054799,0.4154866685628668,1.6093244091026038,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100)}",1.2775611446176658,9,0.4465878074919322,7,16,0.8309733371257335
MLP,5,3.2045860140415643,0.6875409669501062,0.4042499871107475,1.642343608011288,"{'alpha': 0.001, 'hidden_layer_sizes': (100,)}",1.0917909540608537,20,0.28329097983935875,2,22,0.8084999742214949
MLP,9,3.2317688146418835,0.872954816996225,0.3991965562659995,1.5018512679480105,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}",1.2721513732622245,10,0.47375826073022553,9,19,0.798393112531999
MLP,34,3.3328097116700093,0.9999523519210354,0.3804125025869626,1.6034208374777756,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100)}",1.3803648545079978,4,0.6195398493340728,12,16,0.760825005173925
MLP,23,3.6000496459093854,0.9996155842403496,0.3307311416966549,1.6040958038828423,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100)}",1.3303467259370045,7,0.6688844425436946,13,20,0.6614622833933099
MLP,28,3.6321852256654834,0.9998947077791104,0.3247569622020144,1.5354649914148633,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100)}",1.3246516699811248,8,0.6751377455770959,15,23,0.6495139244040289
MLP,2,3.861916688831215,0.6536487121580161,0.2820486305977575,1.795260302485339,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100)}",0.9356973427557735,27,0.37160008156025864,5,32,0.5640972611955148
MLP,35,4.0291684263510925,0.9999190510861188,0.250955620659306,1.6862681747845498,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100)}",1.2508746717454247,11,0.7489634304268128,17,28,0.5019112413186119
MLP,18,4.200995521426059,0.9652147885628204,0.2190120268044069,1.841295235153064,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}",1.1842268153672273,13,0.7462027617584135,16,29,0.4380240536088138
MLP,11,4.202396543206619,0.8919174628803807,0.2187515692163846,1.6220947049211925,"{'alpha': 0.001, 'hidden_layer_sizes': (100,)}",1.1106690320967654,17,0.673165893663996,14,31,0.43750313843276933
MLP,32,4.254905602460758,0.999839946817194,0.2089898487974645,1.814355899188382,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100)}",1.2088297956146585,12,0.7908500980197295,20,32,0.41797969759492903
MLP,13,4.35176550264243,0.9697175702717764,0.1909830652289037,1.738097686273438,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100)}",1.1607006355006801,14,0.7787345050428727,18,32,0.3819661304578075
MLP,1,4.495720269111526,0.208064826103877,0.1642210892346089,1.945610027798692,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}",0.3722859153384859,33,0.043843736869268096,1,34,0.32844217846921775
MLP,14,4.536685019002429,0.9462013337435772,0.156605518871206,1.897234352579242,"{'alpha': 0.001, 'hidden_layer_sizes': (100,)}",1.1028068526147832,18,0.7895958148723712,19,37,0.313211037742412
MLP,24,4.55488736481871,0.9995419133817685,0.1532216035363863,2.0172360366549538,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100)}",1.1527635169181547,15,0.8463203098453822,21,36,0.3064432070727725
MLP,31,4.697881945213758,0.9998693566380876,0.1266381313686339,1.9798978800551967,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100)}",1.1265074880067214,16,0.8732312252694537,23,39,0.25327626273726767
MLP,16,4.821113525672467,0.9648685685078232,0.1037287086460246,1.8304919678253604,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}",1.068597277153848,23,0.8611398598617986,22,45,0.20745741729204925
MLP,25,4.871739376498007,0.9995659309876564,0.0943170869421008,1.8909473606430425,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100)}",1.0938830179297572,19,0.9052488440455556,25,44,0.18863417388420156
MLP,29,4.918741015710311,0.9998877335637436,0.0855792259379482,2.040419507520682,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100)}",1.0854669595016917,21,0.9143085076257954,26,47,0.1711584518758963
MLP,19,4.923783394263386,0.9620559582079864,0.0846418202715614,1.839019243027696,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}",1.0466977784795477,26,0.877414137936425,24,50,0.16928364054312273
MLP,30,5.007163537981362,0.9998274549886144,0.0691409969274425,1.974781473338881,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}",1.068968451916057,22,0.9306864580611719,27,49,0.13828199385488504
MLP,27,5.013687263593195,0.9995902792638516,0.067928200765846,1.9998358074422184,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100)}",1.0675184800296975,24,0.9316620784980055,28,52,0.13585640153169198
MLP,22,5.069102175320736,0.9940644409394818,0.0576262665280743,2.021293736679512,"{'alpha': 0.001, 'hidden_layer_sizes': (100,)}",1.051690707467556,25,0.9364381744114074,29,54,0.11525253305614869
MLP,3,5.702177856517019,0.440399973754229,-0.0600659544265123,2.249085351231308,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}",0.3803340193277167,32,0.5004659281807413,10,42,-0.1201319088530246
MLP,21,6.561281966356589,0.990770229211539,-0.2197780926769836,2.3574158848361915,"{'alpha': 0.001, 'hidden_layer_sizes': (100,)}",0.7709921365345555,28,1.2105483218885227,30,58,-0.43955618535396723
MLP,26,6.730166599256986,0.9998290357338556,-0.2511746667699714,2.3946141431418924,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100)}",0.7486543689638843,29,1.251003702503827,31,60,-0.5023493335399427
MLP,15,7.068633313692275,0.9604308568614364,-0.3140974744599107,1.963379907928695,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}",0.6463333824015256,30,1.2745283313213471,32,62,-0.6281949489198215
MLP,17,7.964428231534922,0.9647467854257096,-0.4806306339733386,2.348820566474501,"{'alpha': 0.001, 'hidden_layer_sizes': (100,)}",0.48411615145237097,31,1.445377419399048,33,64,-0.9612612679466771
MLP,20,11.692970052969246,0.9769153762592734,-1.1737868883052918,2.59637551970409,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}",-0.19687151204601838,34,2.1507022645645653,34,68,-2.3475737766105835
MLP,12,13.20541674484198,0.9234309741688408,-1.4549589748804044,2.277388474093172,"{'alpha': 0.001, 'hidden_layer_sizes': (100,)}",-0.5315280007115636,35,2.3783899490492453,35,70,-2.9099179497608088
