Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
KNN,11,3.3959932621481026,0.4818038877025367,0.3686663360472666,1.5299579737759252,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.8504702237498033,1,0.11313755165527006,9,10,0.7373326720945332
KNN,3,3.7484326027374375,0.5425277141716376,0.3031459409700969,1.7179505398832573,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.8456736551417345,2,0.2393817732015407,11,13,0.6062918819401939
KNN,18,3.8544949751904025,0.5391204092912654,0.2834283676301855,1.464073118299465,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.8225487769214508,3,0.2556920416610799,12,15,0.5668567352603708
KNN,19,4.195236649939458,0.4971353735671122,0.2200826324137856,1.5860534725641664,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.7172180059808978,4,0.27705274115332656,13,17,0.44016526482757123
KNN,14,4.351948237581164,0.1962994795154559,0.190949093807438,1.932882465795409,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.38724857332289386,7,0.005350385708017907,3,10,0.38189818761487593
KNN,22,4.370519168595212,0.5056777433400551,0.187496656474657,1.6077887272390263,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.6931743998147121,5,0.31818108686539814,14,19,0.37499331294931393
KNN,17,4.64134134325053,0.3634938002206281,0.1371493375590013,1.81779949823839,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.5006431377796294,6,0.2263444626616268,10,16,0.27429867511800266
KNN,1,4.836054683009134,0.1156575438643962,0.1009510660310668,2.017825248954844,"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}",0.216608609895463,9,0.014706477833329401,5,14,0.2019021320621336
KNN,20,4.921315803457274,0.0855943138217631,0.0851005588568591,2.0797313921727283,"{'metric': 'chebyshev', 'n_neighbors': 15, 'weights': 'uniform'}",0.1706948726786222,10,0.0004937549649039891,1,11,0.1702011177137182
KNN,12,4.991137400924733,0.0855943138217631,0.0721203431881505,2.0951089547553408,"{'metric': 'chebyshev', 'n_neighbors': 15, 'weights': 'uniform'}",0.1577146570099136,11,0.013473970633612595,4,15,0.144240686376301
KNN,5,5.05312713573895,0.064003234170226,0.060596113489602,2.0698918014915826,"{'metric': 'chebyshev', 'n_neighbors': 15, 'weights': 'uniform'}",0.124599347659828,13,0.003407120680624008,2,15,0.12119222697920398
KNN,2,5.17578811671028,0.1033296969935401,0.0377927683228679,2.0960486702378214,"{'metric': 'chebyshev', 'n_neighbors': 15, 'weights': 'uniform'}",0.14112246531640799,12,0.06553692867067219,7,19,0.07558553664573579
KNN,6,5.341388184397153,0.0631512199342466,0.0070068128120367,2.1352430401621443,"{'metric': 'chebyshev', 'n_neighbors': 15, 'weights': 'uniform'}",0.07015803274628331,15,0.0561444071222099,6,21,0.014013625624073406
KNN,7,5.362978060178318,0.07057985988837,0.0029931371863713,2.145524551007137,"{'metric': 'chebyshev', 'n_neighbors': 15, 'weights': 'uniform'}",0.0735729970747413,14,0.0675867227019987,8,22,0.0059862743727426004
KNN,8,5.627254655317828,0.4162842883661073,-0.0461373228077814,1.9218223417200413,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",0.37014696555832594,8,0.4624216111738887,15,23,-0.09227464561556276
