"Molecule ChEMBL ID","Smiles (RDKit Mol)","MACCS_sim_score","ECFP4_sim_score","MCSS_rdkit_sim_score","Standard Type","Standard Relation","Standard Value","Standard Units","Document ChEMBL ID","Smiles"
"CHEMBL3353410","","1","1","1","IC50","'='","1","nM","CHEMBL4118234","C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C"
"CHEMBL4741340","","1","1","1","IC50","'='","1.7","nM","CHEMBL4732150","[2H]C([2H])=CC(=O)Nc1cc(Nc2nccc(-c3cn(C([2H])([2H])[2H])c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C"
"CHEMBL4545086","","1","1","1","IC50","'='","2100","nM","CHEMBL4382217","C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4cccnc34)n2)c(OC)cc1N(C)CCN(C)C"
"CHEMBL4067014","","0.984","1","1","IC50","'='","185.6","nM","CHEMBL4052618","C=CC(=O)Nc1cc(Nc2nccc(-n3cc(C)c4ccccc43)n2)c(OC)cc1N(C)CCN(C)C"
"CHEMBL4085842","","0.952","1","1","IC50","'='","1.6","nM","CHEMBL4052618","C=CC(=O)Nc1cc(Nc2cc(-c3cn(C)c4ccccc34)ncn2)c(OC)cc1N(C)CCN(C)C"
"CHEMBL3633141","","0.952","1","1","IC50","'='","15","nM","CHEMBL3632511","C=CC(=O)Nc1cc(Nc2cncc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C"
"CHEMBL4206501","","0.952","1","1","IC50","'='","56","nM","CHEMBL4177539","C=CC(=O)Nc1cc(Nc2ccnc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C"
"CHEMBL4447982","","0.871","1","1","IC50","'='","105","nM","CHEMBL4376823","C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CC[S+](C)[O-]"
"CHEMBL4441606","","0.836","1","1","IC50","'='","6","nM","CHEMBL4376823","C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1[S+]([O-])CCN(C)C"
"CHEMBL4103912","","0.954","0.953","0.974","IC50","'='","0.07","nM","CHEMBL4411272","C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C"
