TSNE1,TSNE2
11.6095085,56.124043
-34.50897,2.0871642
14.409107,77.94768
17.861183,19.10469
-1.8809495,62.02024
0.85739845,23.349909
14.192856,30.811413
-18.94379,-19.159426
-3.93649,13.055019
27.356363,-37.862972
-11.610056,-32.72464
7.7043295,12.3842745
2.884011,-12.223991
-37.260185,47.256874
57.95313,19.813257
-25.811056,16.685623
2.2844596,-83.54753
29.56092,24.102991
27.41186,11.980004
41.001575,6.305834
14.626081,-45.908455
-38.055775,13.383046
-50.72611,1.393719
-36.878574,26.312172
-52.03928,-12.14807
53.462036,7.634549
66.285255,10.954293
23.228676,75.411995
0.54835206,-44.655575
-7.3715196,-18.393993
20.96528,-16.024948
21.521952,42.671154
-14.286466,18.364298
45.59881,-15.53246
30.732124,51.840668
-29.241076,-59.71841
-19.970316,-7.64912
11.869212,-0.5045552
43.254642,17.57397
-17.632042,-63.4129
-6.7463746,-56.956974
0.44477013,1.5261537
11.484349,-70.76182
-17.120363,-49.949375
26.478634,-52.085934
-1.300203,-69.2729
-1.0682641,38.315613
-10.067013,30.265848
-8.777778,-7.4737735
-14.299215,42.71907
4.386967,-55.4928
38.58423,36.41327
48.113937,32.263096
-23.334936,29.375576
-21.38154,4.685851
62.882088,36.10146
-11.195126,4.5229764
-31.18109,-13.750941
-28.223888,-33.47071
1.6025847,-29.532032
