TSNE1,TSNE2
-29.360794,-23.406378
18.530201,-17.02012
-32.33924,-36.8031
-38.247456,13.012734
-19.140636,-30.11152
-21.102026,8.01939
-33.300907,-1.0076177
28.95439,33.250397
-23.70265,17.99453
5.9024167,-40.696953
55.028008,-4.37786
-19.362982,27.744457
36.364532,22.649529
-11.272789,17.366203
-57.109303,0.3084129
-5.4004,-19.038296
49.584454,-40.443867
-51.82233,11.788565
-45.671856,21.413803
-61.750443,25.274612
43.038208,-5.260017
1.0561949,-10.424873
2.842372,0.29440206
12.336069,2.6773107
9.941762,-11.401873
-67.3767,-3.6462884
-65.4717,8.548197
-22.542004,-41.455395
48.057274,-15.224612
28.50483,13.897208
17.953585,-6.162207
-41.796055,-9.999265
-7.764341,-5.732512
66.37854,-10.312924
-44.833305,0.8076017
24.567324,-41.49641
23.998947,23.866842
-7.7284174,30.694761
-62.05437,18.100372
37.596004,-38.33917
67.027664,-23.217335
1.115152,21.94838
58.221546,-32.71567
35.956066,-26.552256
20.227638,-30.374542
47.83826,-27.715696
-19.486336,-3.2282228
-11.450826,4.147709
16.230198,30.893023
-3.7066987,10.113182
56.450394,-19.932508
-47.152992,-23.020061
-55.316227,-14.229382
-15.6474495,-15.0581665
3.0104518,33.548958
66.30414,7.220164
6.1944604,-21.700813
15.644105,16.599714
36.756016,-14.860273
32.581215,-1.4544086
