,PC1,PC2,PC3
MACCS_sim_score,-8.580962607252726e-10,7.1674435678084095e-06,-3.88613603724911e-05
ECFP4_sim_score,-4.021998214934513e-09,-1.1499901595824349e-06,-4.653845941326457e-05
MCSS_rdkit_sim_score,-2.2661200107459757e-09,-1.3433124689454432e-06,-3.279531616521029e-05
Standard Value,-2.781914923970218e-08,2.403867344109617e-05,0.0002225414672491137
rdkit_MaxAbsEStateIndex,1.3131430210032556e-08,-8.129669039285418e-06,4.541927118776337e-06
rdkit_MaxEStateIndex,1.3131430210032556e-08,-8.129669039285418e-06,4.541927118776337e-06
rdkit_MinAbsEStateIndex,-9.52220259101626e-10,6.078232175908098e-07,5.4440459601080735e-06
rdkit_MinEStateIndex,-1.6082582055648028e-08,1.3423839306010434e-06,7.220597485729513e-06
rdkit_qed,-7.049059445247623e-09,6.7572985000408614e-06,-2.666053630928485e-07
rdkit_SPS,7.263373840379656e-10,9.385729966044827e-07,1.4191150502595662e-05
rdkit_MolWt,1.1919858885802854e-08,-1.1167631921579608e-06,1.4196896063379124e-05
rdkit_HeavyAtomMolWt,1.2001596097828334e-08,-1.4208178776503063e-06,2.0548916216852916e-05
rdkit_ExactMolWt,1.1934306106894353e-08,-1.1170210620491618e-06,1.4163294807077718e-05
rdkit_NumValenceElectrons,1.216871204146209e-08,-1.8201033689788e-07,1.4012618904285322e-05
rdkit_NumRadicalElectrons,-0.0,-0.0,-0.0
rdkit_MaxPartialCharge,0.7071067716219299,-0.00011611002267485669,-1.6907931920831709e-06
rdkit_MinPartialCharge,0.00011588924788797808,0.7055741727160719,0.0015740032468041613
rdkit_MaxAbsPartialCharge,-0.00011588924788797808,-0.7055741727160719,-0.0015740032468041613
rdkit_MinAbsPartialCharge,0.7071067716219299,-0.00011611002267485669,-1.6907931920831709e-06
rdkit_FpDensityMorgan1,-2.4672852235207308e-09,-3.557732680734823e-06,-7.493089295247523e-06
rdkit_FpDensityMorgan2,-4.8888753857446025e-09,-1.975897682773111e-06,-5.958432625564428e-06
rdkit_FpDensityMorgan3,-6.822376433884592e-09,-8.11353003336009e-07,-2.315622017991946e-06
rdkit_AvgIpc,1.339812131941716e-09,1.1237890362849355e-06,1.1234766402469558e-05
rdkit_BalabanJ,6.350323342753431e-11,-5.014088580794082e-07,-1.5362339607975123e-05
rdkit_BertzCT,7.046547578454902e-09,1.4926290345583774e-06,1.3656313296471027e-05
rdkit_Chi0,6.85565622044221e-09,1.069828467835641e-06,3.7496191409463887e-06
rdkit_Chi0n,5.32349309832781e-09,1.4283993085397374e-06,2.156053436100138e-06
rdkit_Chi0v,1.276590656254141e-08,-8.681706016746692e-07,2.7208099448694574e-05
rdkit_Chi1,7.288993832313811e-09,1.298163640647747e-06,6.19699071730961e-06
rdkit_Chi1n,6.06743180818663e-09,1.7361635615494572e-06,4.071088460105095e-06
rdkit_Chi1v,5.841080751466651e-09,-1.5323524081993919e-06,2.215021438182148e-05
rdkit_Chi2n,7.115537293462992e-09,2.8429835359036945e-07,1.533210335637098e-05
rdkit_Chi2v,5.862905547072701e-09,-2.0387561275636065e-06,2.222394722976948e-05
rdkit_Chi3n,5.352919078543919e-09,1.1135409222007881e-06,1.7073930449280293e-05
rdkit_Chi3v,4.188343580533302e-09,-8.472568311743611e-07,2.0818811701786856e-05
rdkit_Chi4n,4.3897882098086906e-09,1.3560132569993356e-06,1.8163946784690726e-05
