TSNE1,TSNE2
-29.349998,31.473488
-18.98491,-9.381376
-44.62618,21.612932
-6.987645,29.400492
25.557217,47.278774
13.33416,27.316912
3.966748,34.163067
8.897381,-7.652865
9.380339,17.96314
-39.98702,-25.64
0.73686206,-26.50929
2.2567058,23.988783
2.7171912,-14.655945
34.12742,27.55091
-11.833593,72.1072
-4.415714,17.196363
11.294286,-60.560425
-4.282714,40.484425
-13.213268,37.93013
-23.091743,48.12229
-31.120068,-42.579197
25.355303,5.5588317
33.247063,-6.561385
-12.661429,-1.731147
41.11309,4.50023
-21.158962,65.59232
-7.676719,62.873177
-47.036644,28.847603
-23.56058,-51.12047
11.453328,-17.924026
44.89702,-4.1513734
3.2947497,54.733356
13.963151,9.169514
25.92649,-46.10672
9.55661,63.15477
-23.686634,-29.536407
18.869925,-11.341147
5.3843684,1.6813725
-18.392292,55.36294
-14.587596,-32.955055
-5.198398,-40.342278
-4.1418033,4.6985083
11.172365,-47.294907
-16.715704,-41.649914
-38.78802,-37.24794
1.1415324,-51.012405
-18.747015,20.07127
21.693508,18.758556
-1.4711531,-6.257349
-13.49478,11.182272
-9.589663,-50.043835
8.568916,44.677162
-7.0864754,50.39927
-22.816458,3.6311107
3.344296,10.499868
34.892883,-41.45001
16.21615,-0.46189126
-7.297655,-16.039577
11.653762,-34.53792
19.562456,-28.15671
