TSNE1,TSNE2
13.989406,-5.2446585
11.044289,-4.4162493
14.293319,-5.298934
12.808359,-6.310931
13.942319,-5.1503277
12.604841,-3.9246352
12.761197,-5.8899574
10.457762,-2.4096255
12.009716,-3.4891245
10.585895,-6.471883
8.978933,-4.086699
12.701646,-3.0815923
10.741289,-2.2230535
12.221071,-3.5602722
12.6591015,-7.8754745
12.047465,-4.631498
8.670343,-4.761679
12.719619,-7.3163433
12.72648,-7.238818
11.86533,-7.8001623
8.91065,-4.9120293
11.150284,-4.4251676
11.282336,-4.1492467
11.179668,-4.361804
11.999836,-5.1006007
12.320654,-7.4691877
12.778037,-7.930927
14.265433,-5.3978643
8.850854,-3.7715187
10.631598,-2.4900527
12.150241,-5.178174
13.25015,-6.624964
12.071677,-4.2394476
8.560034,-5.7603636
12.807317,-6.721809
9.43332,-5.794208
10.48159,-2.3298357
12.139057,-2.760008
11.770823,-7.8687916
9.01006,-5.5034957
7.821087,-4.9717727
12.034468,-2.7602391
8.049971,-4.5205374
9.321135,-4.794702
9.667084,-5.355643
8.040219,-4.2216167
12.736192,-3.8103285
12.432597,-3.5861337
10.37732,-2.306261
12.909197,-3.8954885
8.317489,-4.0145
11.768453,-6.9166994
11.676435,-6.663436
12.506222,-4.8498874
11.948034,-2.705229
10.3554535,-7.3606544
11.197582,-4.1799192
10.178458,-3.1333823
8.737215,-3.5094628
9.053026,-3.322185
