,PC1,PC2,PC3
MACCS_sim_score,0.0021913795446136,0.034806936174502104,-0.040745073238717386
ECFP4_sim_score,-0.02387494734273887,0.04263394398157078,-0.02114888105107337
MCSS_rdkit_sim_score,-0.024245412694940047,0.049174102843242126,-0.018635854561133418
Standard Value,-0.01650778138531017,-0.005083584372570136,-0.0013504753998918003
rdkit_MaxAbsEStateIndex,0.028910639550460672,0.02081748564384636,0.02710338307928022
rdkit_MaxEStateIndex,0.028910639550460672,0.02081748564384636,0.02710338307928022
rdkit_MinAbsEStateIndex,-0.009016883402793245,-0.0412300220830814,-0.013452871676769633
rdkit_MinEStateIndex,-0.03027483712425011,-0.03581454314253211,-0.01635716825207682
rdkit_qed,-0.020584013741404703,-0.01584153193693605,-0.01870754792830347
rdkit_SPS,0.03235548031868016,-0.03357475774386428,-0.019436192948332293
rdkit_MolWt,0.04341231934458944,-0.0016592320824547384,0.025252177009669082
rdkit_HeavyAtomMolWt,0.04230878537623997,-0.005330721847872393,0.02844004995923347
rdkit_ExactMolWt,0.04349618886616304,-0.0013906363810161457,0.02543517124818356
rdkit_NumValenceElectrons,0.047860837092588114,0.008146194719255281,0.009262592520253925
rdkit_NumRadicalElectrons,0.0,0.0,-0.0
rdkit_MaxPartialCharge,0.019526275410254996,-0.021773717487021463,0.03277512274413208
rdkit_MinPartialCharge,0.011224113775946556,-0.028844816779125558,-0.005982438900707185
rdkit_MaxAbsPartialCharge,-0.011224113775946558,0.028844816779125558,0.005982438900707188
rdkit_MinAbsPartialCharge,0.019526275410254996,-0.021773717487021463,0.03277512274413208
rdkit_FpDensityMorgan1,-0.010015960657734291,-0.03254183886104509,0.020193194015196675
rdkit_FpDensityMorgan2,-0.012998627433005007,-0.034092769835615336,0.0006022702360758578
rdkit_FpDensityMorgan3,-0.013422175032396887,-0.04103180081293332,-0.009333644339157792
rdkit_AvgIpc,0.03670358408133586,-0.002969243029831676,-0.005690100058684933
rdkit_BalabanJ,-0.00346737492458384,0.06078506247241966,-0.0030028027750763145
rdkit_BertzCT,0.048705959711740264,-0.005441160194847662,-0.0033389837875917538
rdkit_Chi0,0.04674192402736249,0.0140935001433055,-0.012185917338426739
rdkit_Chi0n,0.04571818809399667,0.010591044906895043,-0.021540617533165267
rdkit_Chi0v,0.043501604191369614,-0.011615064406033085,0.01569909385042924
rdkit_Chi1,0.0476228891174694,0.009476324465276421,-0.013751357959391263
rdkit_Chi1n,0.04600647977871437,0.008098003478349767,-0.021717403176660755
rdkit_Chi1v,0.03171234257204673,-0.03105124953823159,0.0240750456852917
rdkit_Chi2n,0.04713212127777061,-0.014702706311638444,0.006838839876445032
rdkit_Chi2v,0.03278493244525118,-0.02864443157593989,0.02781728926781955
rdkit_Chi3n,0.043628805339566874,-0.026624181070555336,0.004172706320421773
rdkit_Chi3v,0.03168233569211034,-0.03527492591990604,0.022642040640725527
rdkit_Chi4n,0.04207375547450083,-0.030227133362070776,0.0013862350422837073
rdkit_Chi4v,0.030723855022630385,-0.03878883316597878,0.018702740397512435
rdkit_HallKierAlpha,-0.023553857473410596,-0.025629607994697167,-0.015700690216491668
rdkit_Ipc,0.04851149231889403,0.0038830633996783863,-0.012156486680069183
rdkit_Kappa1,0.019776758766608202,-0.01434264363715875,0.06224654341315005
rdkit_Kappa2,0.02745720733007162,0.034454952473044184,0.002185605845704793
rdkit_Kappa3,0.01943873288856507,0.048209343656645205,0.01525779385726351
rdkit_LabuteASA,0.048595450138034735,0.005433286458673168,-0.0038564044017780127
rdkit_PEOE_VSA1,0.017767283213509923,0.022596079652672386,-0.0067744540463203825
rdkit_PEOE_VSA10,0.0019255475259884996,0.03918186356028906,0.01062005631546561
rdkit_PEOE_VSA11,-0.013840995541616715,-0.005145496946768983,0.02754061239705455
rdkit_PEOE_VSA12,-0.0015475941238951962,-0.021068734278309492,0.022813247863992837
rdkit_PEOE_VSA13,0.0,0.0,-0.0
rdkit_PEOE_VSA14,0.023296964831427465,0.015337101148823439,0.023417823026832534
rdkit_PEOE_VSA2,-0.006206587024883035,-0.0038076014269865406,0.0006250977117503116
rdkit_PEOE_VSA3,-0.001508588860061514,0.0033495638441471895,0.032377372826220684
rdkit_PEOE_VSA4,0.014287530687453578,0.011272118622559436,0.012614348518936162
rdkit_PEOE_VSA5,-0.007986141181150574,-0.00179603436674923,-0.0064766040262210734
rdkit_PEOE_VSA6,0.0026072785213740986,-0.012994738376570846,-0.007708205467948132
rdkit_PEOE_VSA7,0.02475117368359308,-0.00419293090378587,-0.025456005431723817
rdkit_PEOE_VSA8,0.024363741998906483,0.010102875924824575,-0.032892814145394446
rdkit_PEOE_VSA9,0.008411243931825872,-0.0035690968350957065,0.019757839218570918
rdkit_SMR_VSA1,0.04044567409324305,0.022805112123053823,0.019803542616417338
rdkit_SMR_VSA10,-0.007974745756256963,-0.023212093931965553,0.027879227157942558
rdkit_SMR_VSA2,-0.010632347969591954,-0.00546358771377672,0.006891267252457907
rdkit_SMR_VSA3,0.015794935533456757,0.012956827357468576,-0.018280957084562843
rdkit_SMR_VSA4,-0.04056579283432382,0.04518431027964003,0.000948936505555351
rdkit_SMR_VSA5,0.03944010024089365,-0.04173209081621893,-0.009885472896055968
rdkit_SMR_VSA6,0.026428726521539186,0.045929587547078744,-0.014993672439094404
rdkit_SMR_VSA7,-0.019735484048065497,0.0030942676462326845,0.007981591773177062
rdkit_SMR_VSA8,0.0,0.0,-0.0
rdkit_SMR_VSA9,0.004971682115942217,0.010069822716338555,-0.003935936717236881
rdkit_SlogP_VSA1,0.006789772765929774,0.008261907096083024,-0.01152311863303139
rdkit_SlogP_VSA10,0.009874934942677164,0.007457896324809054,0.02013101444606086
rdkit_SlogP_VSA11,0.009038772348606153,0.014737460880656387,-0.005645985357886892
rdkit_SlogP_VSA12,-0.014463450768816378,-0.012811345997942439,-0.004078472123601522
rdkit_SlogP_VSA2,0.02754538045436123,0.04554355252718185,-0.007882780392560403
rdkit_SlogP_VSA3,0.010541171157898916,-0.03611976293553909,0.013522438938514434
rdkit_SlogP_VSA4,0.005618436703143079,0.02239017755744261,-0.0035177525292738707
rdkit_SlogP_VSA5,0.04403746220111673,-0.007804369065550249,-0.01855522361004431
rdkit_SlogP_VSA6,-0.025801811339493864,-0.0035020788103700034,0.002616074691213459
rdkit_SlogP_VSA7,-0.008572371069321913,-0.004302421434005736,0.003325935893528639
rdkit_SlogP_VSA8,-0.005981291694481535,0.0035192645282065512,-0.0028566961435124156
rdkit_SlogP_VSA9,0.0,0.0,-0.0
rdkit_TPSA,0.00303865661762348,0.005020644358781913,0.04113278069871318
rdkit_EState_VSA1,0.04618547708981155,0.006891396170058358,-0.012060148428143784
rdkit_EState_VSA10,0.027662825692769736,-0.0024208775305389033,0.018851710079036122
rdkit_EState_VSA11,0.005208037902471038,0.02324907282303698,0.045232089693154974
