TSNE1,TSNE2
-35.047455,-83.23868
-0.26855245,-48.864986
-7.321059,-98.11807
32.69706,-24.83216
-17.167156,-82.96074
-30.869356,-25.355555
19.2083,-13.590107
-44.906197,39.059475
-26.324131,-9.23299
51.712734,24.77417
11.226374,36.533073
-10.341332,-2.0523975
-38.30065,21.831781
-16.80727,-19.194523
75.15624,-38.375973
-15.177229,-50.9697
7.0316854,88.32274
50.68113,-1.0457598
46.43024,-16.27266
66.27993,-8.614555
22.504814,71.56068
14.428675,-51.791695
-5.915152,-32.569366
8.71192,-36.33249
8.200059,-71.384026
83.23358,-6.4070935
81.59314,-23.051104
-23.894583,-99.79512
-3.8037574,56.84078
-23.493464,22.170925
-7.087308,-66.5708
-50.96938,-67.26531
-20.391407,-37.497944
40.403954,43.36078
33.03816,-4.518486
55.185287,60.614162
-28.813925,36.99474
-55.471275,1.923975
70.41656,7.0720863
36.793552,63.506817
24.639385,50.013523
-42.985382,-6.6810174
-11.364247,78.480354
26.089428,85.87888
50.45624,78.78722
3.7760892,71.84613
-37.596043,-42.52979
-46.602917,-25.640482
-52.913765,22.910114
-53.94923,-39.328674
10.29409,55.7392
50.509354,-37.85109
61.631855,-25.971312
-27.519583,-60.210903
-31.434687,5.3251357
65.702415,33.457363
0.12939183,-17.786558
-8.337586,18.785421
-20.160494,59.407887
-9.4880705,41.77597
