ID,Cluster
0,4
1,28
2,5
3,7
4,17
5,13
6,36
7,19
8,8
9,17
10,25
11,34
12,14
13,1
14,17
15,25
16,25
17,24
18,5
19,5
20,28
21,12
22,2
23,3
24,14
25,4
26,4
27,4
28,11
29,20
30,11
31,10
32,1
33,0
34,22
35,5
36,15
37,21
38,3
39,25
40,0
41,5
42,36
43,33
44,5
45,19
46,22
47,13
48,12
49,5
50,19
51,19
52,3
53,19
54,26
55,36
56,36
57,23
58,30
59,30
60,5
61,7
62,15
63,5
64,0
65,19
66,37
67,7
68,16
69,1
70,23
71,1
72,28
73,28
74,7
75,5
76,25
77,32
78,14
79,0
80,16
81,12
82,12
83,32
84,2
85,2
86,35
87,8
88,27
89,4
90,33
91,5
92,16
93,28
94,28
95,7
96,5
97,29
98,3
99,0
100,2
101,26
102,1
103,19
104,3
105,17
106,2
107,33
108,37
109,34
110,8
111,0
112,25
113,4
114,17
115,33
116,5
117,5
118,20
119,30
120,20
121,14
122,21
123,13
124,25
125,37
126,4
127,37
128,17
129,12
130,25
131,12
132,4
133,8
134,13
135,28
136,23
137,34
138,25
139,13
140,0
141,26
142,17
143,0
144,8
145,23
146,7
147,4
148,19
149,12
150,6
151,25
152,17
153,25
154,10
155,10
156,19
157,7
158,36
159,17
160,10
161,7
162,17
163,4
164,35
165,1
166,10
167,15
168,31
169,7
170,11
171,37
172,19
173,22
174,13
175,5
176,27
177,5
178,14
179,33
180,18
181,29
182,12
183,36
184,19
185,5
186,19
187,13
188,0
189,0
190,21
191,7
192,19
193,24
194,0
195,35
196,34
197,11
198,31
199,3
200,8
201,32
202,0
203,5
204,23
205,26
206,27
207,21
208,5
209,1
210,17
211,36
212,1
213,12
214,5
215,15
216,6
217,13
218,16
219,6
220,14
221,8
222,31
223,25
224,18
225,17
226,21
227,5
228,9
229,12
230,10
231,23
232,23
233,25
234,14
235,10
236,5
237,3
238,23
239,1
240,25
241,5
242,4
243,10
244,31
245,19
246,12
247,27
248,19
249,30
250,14
251,23
252,27
253,1
254,14
255,0
256,8
257,25
258,28
259,15
260,37
261,10
262,4
263,0
264,34
265,4
266,31
267,4
268,9
269,5
270,7
271,12
272,3
273,17
274,6
275,14
276,2
277,4
278,32
279,23
280,0
281,32
282,25
283,8
284,5
285,14
286,9
287,9
288,25
289,1
290,36
291,11
292,3
293,17
294,14
295,27
296,5
297,32
298,21
299,21
300,22
301,27
302,25
303,36
304,36
305,9
306,17
307,31
308,33
309,29
310,27
311,33
312,25
313,6
314,3
315,15
316,5
317,7
318,25
319,23
320,31
321,5
322,4
323,23
324,30
325,14
326,14
327,11
328,8
329,29
330,0
331,23
332,3
333,21
334,35
335,27
336,3
337,1
338,35
339,13
340,30
341,0
342,21
343,27
344,30
345,14
346,3
347,6
348,20
349,4
350,20
351,9
352,25
353,2
354,5
355,29
356,32
357,19
358,25
359,15
360,35
361,23
362,5
363,12
364,25
365,3
366,30
367,0
368,5
369,36
370,15
371,3
372,23
373,27
374,11
375,23
376,6
377,6
378,10
379,8
380,25
381,19
382,26
383,30
384,7
385,13
386,11
387,23
388,12
389,27
390,14
391,19
392,22
393,5
394,6
395,18
396,36
397,17
398,0
399,22
400,5
401,14
402,36
403,8
404,6
405,36
406,36
407,6
408,34
409,3
410,27
411,12
412,7
413,32
414,32
415,10
416,0
417,37
418,4
419,36
420,0
421,19
422,6
423,13
424,20
425,27
426,4
427,34
428,1
429,31
430,22
431,6
432,14
433,33
434,16
435,8
436,10
437,1
438,0
439,25
440,31
441,7
442,12
443,36
444,12
445,2
446,5
447,35
448,13
449,23
450,17
451,32
452,14
453,5
454,20
455,21
456,27
457,19
458,37
459,0
460,5
461,11
462,17
463,25
464,21
465,14
466,15
467,20
468,32
469,5
470,9
471,23
472,6
473,33
474,10
475,11
476,5
477,21
478,5
479,10
480,8
481,11
482,0
483,29
484,5
485,13
486,5
487,16
488,34
489,14
490,12
491,19
492,10
493,31
494,33
495,9
496,2
497,8
498,20
499,17
500,25
501,30
502,36
503,37
504,1
505,1
506,19
507,33
508,18
509,9
510,6
511,27
512,9
513,7
514,3
515,19
516,20
517,36
518,10
519,21
520,23
521,4
522,17
523,19
524,16
525,15
526,4
527,19
528,19
529,34
530,5
531,1
532,21
533,4
534,4
535,36
536,5
537,5
538,1
539,21
540,36
541,33
542,17
543,15
544,33
545,12
546,23
547,37
548,36
549,8
550,6
551,29
552,17
553,14
554,30
555,32
556,14
557,9
558,11
559,4
560,5
561,36
562,27
563,5
564,25
565,3
566,15
567,10
568,21
569,33
570,25
571,19
572,27
573,6
574,4
575,12
576,25
577,21
578,7
579,18
580,15
581,27
582,27
583,35
584,0
585,10
586,1
587,32
588,7
589,10
590,20
591,29
592,6
593,5
594,29
595,37
596,16
597,16
598,21
599,30
600,0
601,22
602,11
603,35
604,8
605,16
606,12
607,22
608,27
609,5
610,25
611,32
612,5
613,21
614,1
615,32
616,0
617,32
618,14
619,10
620,0
621,12
622,4
623,17
624,6
625,34
626,2
627,11
628,29
629,8
630,14
631,22
632,2
633,25
634,18
635,6
636,11
637,32
638,28
639,19
640,0
641,8
642,8
643,20
644,25
645,27
646,25
647,1
648,17
649,1
650,27
651,23
652,21
653,5
654,5
655,4
656,30
657,16
658,12
659,28
660,12
661,10
662,24
663,17
664,29
665,33
666,33
667,16
668,29
669,26
670,21
671,23
672,20
673,4
674,37
675,5
676,19
677,7
678,5
679,20
680,25
681,35
682,27
683,31
684,26
685,21
686,34
687,12
688,3
689,26
690,25
691,25
692,10
693,25
694,8
695,5
696,36
697,1
698,27
699,2
700,15
701,21
702,5
703,27
704,0
705,26
706,25
707,34
708,8
709,3
710,25
711,6
712,6
713,32
714,9
715,19
716,30
717,22
718,13
719,4
720,0
721,1
722,19
723,29
724,36
725,3
726,29
727,6
728,0
729,28
730,7
731,6
732,31
733,8
734,30
735,8
736,35
737,12
738,18
739,25
740,26
741,17
742,1
743,3
744,6
745,14
746,18
747,17
748,25
749,19
750,26
751,4
752,19
753,30
754,29
755,23
756,6
757,19
758,5
759,17
760,15
761,27
762,5
763,8
