,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,Log Standard Value
PC1,1.0,1.5262545674192578e-16,-2.1233972923944018e-16,4.509305296011057e-17,-1.8365476485025376e-16,-2.6048882729522187e-17,-9.671371869786966e-17,4.486139616740344e-17,3.254338623812655e-17,3.72918225252725e-17,1.2952598065893542e-17,0.3460885527897807
PC2,1.5262545674192578e-16,1.0,-2.87423485193822e-17,-5.521180507086617e-16,-1.1462185862685291e-17,9.937701936757424e-17,2.63855307873377e-17,-1.984628467035633e-17,7.472998692904085e-18,-2.2135511848819708e-17,1.4345767163847114e-17,-0.018444869868231465
PC3,-2.1233972923944018e-16,-2.87423485193822e-17,1.0,2.1900165318639743e-18,-6.67626391154463e-17,-1.063838986358258e-16,-3.816880293761345e-17,-1.954739430908193e-17,-9.786370534500478e-17,6.002294596920459e-17,-2.7984964219822956e-17,0.1926370515705033
PC4,4.509305296011057e-17,-5.521180507086617e-16,2.1900165318639743e-18,1.0,1.641914120054015e-16,9.403148156259035e-17,-7.257686072527594e-17,1.973852502283418e-16,-7.452857703100186e-17,3.9183710803854624e-17,7.2865316329753e-17,0.11623801504448425
PC5,-1.8365476485025376e-16,-1.1462185862685291e-17,-6.67626391154463e-17,1.641914120054015e-16,1.0,2.900947666397439e-16,6.3114619362506e-16,-3.4772392162574376e-16,2.6054745974452372e-16,4.853065072189949e-16,5.1508375048095946e-18,0.06290169789186799
PC6,-2.6048882729522187e-17,9.937701936757424e-17,-1.063838986358258e-16,9.403148156259035e-17,2.900947666397439e-16,1.0,1.9898823057545313e-16,-1.965271097942201e-16,2.9433151137225916e-16,5.024735224516059e-16,8.970728011076446e-17,0.1701394619518625
PC7,-9.671371869786966e-17,2.63855307873377e-17,-3.816880293761345e-17,-7.257686072527594e-17,6.3114619362506e-16,1.9898823057545313e-16,1.0,-1.2444815781857405e-16,2.1293847565465798e-17,3.602466052663952e-16,-3.782665898467695e-16,0.3163716259970081
PC8,4.486139616740344e-17,-1.984628467035633e-17,-1.954739430908193e-17,1.973852502283418e-16,-3.4772392162574376e-16,-1.965271097942201e-16,-1.2444815781857405e-16,1.0,2.6883603201781277e-17,-5.410771472986393e-16,-2.7971907939686915e-16,0.1709775971686589
PC9,3.254338623812655e-17,7.472998692904085e-18,-9.786370534500478e-17,-7.452857703100186e-17,2.6054745974452372e-16,2.9433151137225916e-16,2.1293847565465798e-17,2.6883603201781277e-17,1.0,-1.0476406077585185e-16,-2.067774612949777e-18,-0.05522700163232982
PC10,3.72918225252725e-17,-2.2135511848819708e-17,6.002294596920459e-17,3.9183710803854624e-17,4.853065072189949e-16,5.024735224516059e-16,3.602466052663952e-16,-5.410771472986393e-16,-1.0476406077585185e-16,1.0,-1.30890884022702e-16,0.27001176353859824
PC11,1.2952598065893542e-17,1.4345767163847114e-17,-2.7984964219822956e-17,7.2865316329753e-17,5.1508375048095946e-18,8.970728011076446e-17,-3.782665898467695e-16,-2.7971907939686915e-16,-2.067774612949777e-18,-1.30890884022702e-16,1.0,0.05800133416278675
Log Standard Value,0.3460885527897807,-0.018444869868231465,0.1926370515705033,0.11623801504448425,0.06290169789186799,0.1701394619518625,0.3163716259970081,0.1709775971686589,-0.05522700163232982,0.27001176353859824,0.05800133416278675,1.0
