,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,-log_activity
PC1,1.0,7.232577766423398e-16,-1.1030635285141292e-17,-4.5093052933231465e-17,2.507382363759693e-16,-1.1840402002172441e-17,-5.153474789802604e-17,-1.787215804636849e-16,-2.0888284396171068e-16,-1.2621814644094126e-16,1.3642315222568038e-17,0.3460885212255634
PC2,7.232577766423398e-16,1.0,-6.255242690917302e-16,-2.142178457118646e-16,-5.007165294230061e-17,-2.078473741359551e-17,-4.193407120402638e-16,-1.1649740857389422e-16,-3.549669513680376e-17,1.1193615843257837e-16,-2.327780992351994e-16,-0.018444846644104902
PC3,-1.1030635285141292e-17,-6.255242690917302e-16,1.0,2.901771902984828e-16,-2.9976424310559835e-16,-7.475625790303823e-17,2.0648659277615625e-17,2.49942480812186e-16,-4.5026431822239155e-17,-2.595956605490324e-16,-3.4294106775971146e-16,0.19263701791594545
PC4,-4.5093052933231465e-17,-2.142178457118646e-16,2.901771902984828e-16,1.0,-4.925742250054542e-16,-1.1829161134285151e-15,1.9221919457332655e-16,3.936202868140301e-17,-2.524351566895024e-17,1.8255309028238089e-16,1.803084563994897e-16,0.11623973822521456
PC5,2.507382363759693e-16,-5.007165294230061e-17,-2.9976424310559835e-16,-4.925742250054542e-16,1.0,-2.5454956891141045e-16,1.6103015175133124e-16,1.2962975947567162e-17,-1.557419355888202e-16,1.578793006588764e-16,4.796558051913816e-16,0.06290219545353988
PC6,-1.1840402002172441e-17,-2.078473741359551e-17,-7.475625790303823e-17,-1.1829161134285151e-15,-2.5454956891141045e-16,1.0,-5.824559816136384e-16,3.628764556992556e-16,-1.0416007706875568e-16,1.5831863493054706e-16,-2.2224358542232333e-16,0.17010431806097875
PC7,-5.153474789802604e-17,-4.193407120402638e-16,2.0648659277615625e-17,1.9221919457332655e-16,1.6103015175133124e-16,-5.824559816136384e-16,1.0,7.492031947045186e-17,3.311411726876858e-16,2.0413305422627627e-16,4.165873383482499e-16,0.3165419657265571
PC8,-1.787215804636849e-16,-1.1649740857389422e-16,2.49942480812186e-16,3.936202868140301e-17,1.2962975947567162e-17,3.628764556992556e-16,7.492031947045186e-17,1.0,-6.835401419992415e-17,1.4996674800458844e-16,5.99832344724947e-17,0.17055891383434613
PC9,-2.0888284396171068e-16,-3.549669513680376e-17,-4.5026431822239155e-17,-2.524351566895024e-17,-1.557419355888202e-16,-1.0416007706875568e-16,3.311411726876858e-16,-6.835401419992415e-17,1.0,2.9714894729671927e-16,-3.8915779184916135e-16,-0.05543142203622498
PC10,-1.2621814644094126e-16,1.1193615843257837e-16,-2.595956605490324e-16,1.8255309028238089e-16,1.578793006588764e-16,1.5831863493054706e-16,2.0413305422627627e-16,1.4996674800458844e-16,2.9714894729671927e-16,1.0,1.2041763762572012e-15,0.26901311807115336
PC11,1.3642315222568038e-17,-2.327780992351994e-16,-3.4294106775971146e-16,1.803084563994897e-16,4.796558051913816e-16,-2.2224358542232333e-16,4.165873383482499e-16,5.99832344724947e-17,-3.8915779184916135e-16,1.2041763762572012e-15,1.0,0.05810647055533733
-log_activity,0.3460885212255634,-0.018444846644104902,0.19263701791594545,0.11623973822521456,0.06290219545353988,0.17010431806097875,0.3165419657265571,0.17055891383434613,-0.05543142203622498,0.26901311807115336,0.05810647055533733,1.0
