,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
rdkit_MaxAbsEStateIndex,0.06854732436159884,0.002499176105434831,-0.011687431213064361,0.003937850625502631,-0.03661124388529301,-0.09367548074279698,0.014496116640540343,0.03448140697610134,-0.040161435167995904,0.0051469401499816105,-0.07377475221606393,0.05747275862622564,-0.04168586837705559,0.05956740518471643,-0.03545039219515021,-0.04489695549035951,-0.0017312807526100693,0.060092970804593804,-0.03326326871855737,-0.015515012658851714,0.005856998359312066,-0.06510443851070377,-0.021936582046036,0.049494060554659075,-0.012776741754849054,0.020724703592003763,0.045087036122727756,-0.05688676477877212,0.03978433567881873,0.03470671910515423
rdkit_MinAbsEStateIndex,-0.02264571750815908,-0.06341894763591728,0.03333641163199412,-0.023156136294706704,0.026591691157164626,0.030150142274638785,-0.049476725772225234,-0.06100206067666361,-0.009672934823104065,0.016814538535693088,0.03597492508241693,-0.04588252682586388,0.04910066175707802,0.011989830632445525,0.07247914923738916,0.022159135478014125,0.0786638959209779,-0.1176374049534631,0.04154238203639951,-0.03344721073721502,-0.028920180909724258,-0.0955997216126282,-0.13070481199735723,-0.015640986264646484,-0.010340349936330633,0.03702033632809463,0.06494122789567823,0.12363033698185708,0.03336806810991166,-0.02454770247385215
rdkit_MinEStateIndex,-0.060164360395140455,-0.05468816382234388,-0.029870326716405673,0.015883689583570927,-0.013758379595567178,0.02025902752338803,0.05803713234257742,0.020980048495705984,0.01611665186454784,0.026960501102601727,0.007007762216383012,-0.03334147662257927,-0.01536019680178523,-0.0673908863761558,0.023241760094446895,-0.024462721315966995,0.10575190701091165,-0.02645890107731324,0.022497066624965156,-0.025394004987904846,-0.05269488829316806,-0.008512700852254794,0.010470740905321232,0.12450035231350151,0.03221952064147932,0.02850698362893471,0.020112534105043406,0.00030108911006514834,0.01983775128436597,-0.022553956534856694
rdkit_qed,-0.0501676232686937,-0.021469540658842014,-0.050898225096033735,0.0016865776346752326,-0.05124879700106125,0.04831447578585523,-0.0454923411395424,-0.02143884544831706,-0.05592964429035431,-0.036319141652953586,-0.006636775365118785,0.13772391050761484,0.03736447939624614,-0.02136582155256111,-0.017265866361097188,0.017860936425461972,-0.02953033743804114,0.0015112187200836788,-0.06705537207003534,-0.06943703685797947,0.057506042942563416,-0.04609551068375413,-0.03445651382755456,-0.022581784947747485,-0.036719657816399846,0.058486273308270866,0.033284037374852644,0.029603748213294916,-0.026204367316994354,-0.05307762701028738
rdkit_SPS,-0.010034678759155442,0.023469717253592925,0.09469539425461669,0.06497456430262241,-0.02156173237764387,0.02859333657750777,-0.0615133318901595,0.008428422405807687,-0.02862117888756795,-0.0028082136680077836,0.00037617762257677334,-0.033336409760420134,0.014763013945210688,0.014262426020979553,-0.049500630131086396,-0.02604155432373632,0.04051918902933621,0.03320322122451273,0.01815449194638731,-0.01106053097291714,-0.031825918017564306,-0.02923805450873505,0.016832657094843943,0.060198780856785254,0.014284176767910817,0.006469484472279663,-0.02896702484414031,-0.027697617735314657,-0.04613571520871546,0.05500223236133611
rdkit_MolWt,0.0690033531917753,0.03700556472264425,0.06092421817924479,0.005108463730241828,0.0454784914031664,-0.020561458540261812,0.0024998047151492545,0.016464767343460526,0.0019707039664458243,0.035604827006562915,0.009473300253831552,-0.03570143035958552,-0.0072299123052557215,0.0552279472753166,0.008449132664691624,0.003627686477233294,-0.01815838501983055,0.0348796040325576,0.0249305125864957,-0.03518549918945037,-0.004260860910751446,0.025378046677583796,-0.014478793399027596,-0.026262358555759778,-0.012308919563885658,-0.006035724907732108,-0.038169169922476674,0.013791181147307176,0.03558162408789997,0.041717470172410294
rdkit_MaxPartialCharge,0.048756800154757404,0.02797904922174829,0.022262198599338187,0.05137052899380024,0.06931720151426275,-0.007031294348895463,0.02349915793542564,-0.05029246206886317,0.04581990496258804,-0.024085689100287848,-0.0014598282030064726,-0.06684240548783889,-0.005091324394788335,0.07371679943424496,0.015153995423659888,-0.12415379959341728,0.09818069738155266,0.06276289275752489,0.004539709386500419,-0.009923495604710904,-0.05270737029207295,-0.0647415125087487,0.04999557862913032,0.0015758477405015006,0.06634643388671843,0.0692268151089446,-0.0388339630063438,-0.08586438456025751,0.05464794384523387,-0.002896700562104045
rdkit_MinPartialCharge,-0.019277825575777233,0.03658543995349233,0.05103895713328299,0.08306170454275605,0.043713978988607745,0.051045703192909235,0.014809124324255513,-0.04186028649233721,-0.00686167808268055,-0.057970529161134585,-0.013288039598282333,0.07980129709107961,-0.018139335837895332,-0.06784992683427651,-0.02722267298207836,-0.05513962224497009,0.06727232641449798,-0.0003084897961716465,-0.03943942921316866,-0.044126510377897346,-0.07530778947899971,0.010360581889141868,-0.022149892007691286,-0.04891320877993,0.03987800275432522,0.03445074041253152,-0.02798584191474499,0.02034728292625915,0.05769812149441547,0.06471505618985222
rdkit_FpDensityMorgan1,-0.0026820746116587822,-0.07342007535512617,0.017932424207857192,0.04712453979719915,-0.0006751948347246928,-0.03156204420861512,0.014217032496857594,-0.017974839407075706,0.07702595914084295,0.09777949361339917,-0.05252694489323008,-0.041351212960821435,0.014501466617490345,-0.03553035151955624,0.03586543403995412,0.050312029896696524,-0.06812058817306556,0.04963637638874784,-0.027220551921927,0.020167496218923105,-0.014091646138553182,-0.011523789259426284,-0.012545727643071993,0.0579278849522422,-0.07973240188616434,0.020838794069765777,-0.028018373212241536,0.08772109310744695,-0.07788572234895913,-0.08427106952204635
rdkit_AvgIpc,-0.008156552081190096,0.07404916443165431,0.017588683720209546,0.025720814721681154,0.006270113595454288,0.004781777785934903,-0.045531426818748395,-0.004749152981181929,0.05640125965566693,0.03445282306755414,0.03501273408637966,0.026707576326417716,-0.03727054977343707,0.07134626067141629,0.10261503319862608,-0.04056240095164296,-0.009233920441171673,0.10493507948193642,0.005156056522314253,-0.10429234592765936,0.06236064939942557,0.06992106685511518,-0.004584950731544449,-0.01801159648467281,0.022528091669916296,0.1378531871310097,0.08925813226693931,0.043123682780659825,0.018261995684902763,0.05098784851244789
