,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61
rdkit_MaxAbsEStateIndex,0.07013070370426763,-0.005461231029341074,0.02240859656560723,0.006052781396547831,-0.05367061868484544,0.022973241587442066,0.055225461210210075,0.054550781996451185,0.014921095260709456,-0.0017229943143122631,-0.029806622281141157,-0.012886364005457672,0.1033242532229409,-0.02229018978206519,0.008116859847086466,-0.05674343280740315,0.027913099327237668,-0.000491895837455207,-0.06822176926755592,0.05955992593040021,-0.04779715495575955,0.002700163848655314,0.017650640238587482,-0.016499221169460624,-0.0035086243128573977,0.025338216952645723,0.008287154953284031,0.02036225284052812,0.02926345264565137,-0.016064546283379715,-0.015840575404137882,0.029605399539562594,0.020214140557105305,0.08529310793738863,-0.007845807916293216,0.00932074455375224,-0.02458496009869007,0.009307044637905746,-0.04751916632375723,-0.07195089292293175,0.012381860251487225,0.030071705162951472,0.01685533087928326,-0.01412194252925033,0.022964027114517657,0.0493768536590219,0.01327170064663768,0.05071168757010597,0.06484981661876153,0.08777135292118567,0.054803982192724476,-0.15940166701255726,0.06749746276168674,0.001252149358692422,-0.05376611326587837,0.005516658926034001,0.04483971771646664,0.11520953136026282,-0.03279263973398402,0.03687490995783392,-0.0017926506238217753
rdkit_MinAbsEStateIndex,-0.06046286685836548,0.04454080945768575,0.010576922564508718,0.011664149989890817,0.034712332695466946,-0.01798307148515495,-0.0013230809556860593,-0.03930526741304195,-0.015110971468921685,-0.08867025071737936,0.023408169902317748,0.04341897733719649,-0.015931538084341734,-0.009890686733308991,0.00977679478217422,0.004880492783350294,-0.046604309792575994,-0.06950607923382823,0.02932664223537485,0.03404209185417168,0.014090585400392493,0.0034962195220743105,-0.020000124577400642,0.06535484748316311,0.06304161136570739,-0.08677169145599518,0.019286905135435,0.07970692815653818,0.09834966178462234,0.029285597162434913,0.0065802868052236025,-0.07203662240041789,0.01521816419550292,0.06599255789245317,0.052182081803425984,0.10684663318701491,-0.0032627630532299024,0.06894625260051716,-0.022181139300149137,-0.1179801382483004,-0.10028221490981608,-0.02997900867496533,-0.07124754409216547,-0.022301884653101747,-0.005258189867876687,0.005352637914301215,0.0427100363673713,-0.09168541045089537,0.15390213715038195,0.0372224371666167,0.1489707302860397,0.017132656730449863,0.03167706462801796,0.06377104182292877,0.11282062451296376,0.002862548231767057,-0.03987813156185761,-0.08176477275800026,-0.050524059113685786,0.020027360489806672,0.018648290626629135
rdkit_MinEStateIndex,-0.06661048016743913,0.04122139050049053,-0.02976077091590745,-0.010506688290869795,0.024168286372984925,0.018812440544360726,-0.06042533442373918,-0.0283542682296256,-0.02016406472040728,0.013651325691474652,-0.004993805327389699,0.03873937001909908,0.0265768754758421,-0.0024280175991487486,-0.035698197706056346,0.03629821172635896,-0.005865113084008513,0.08909833202577751,0.0045411316989788335,-0.04713535339116809,0.00990143791856646,0.06804878456018812,-0.12971084882522815,0.004944826993717747,0.0445511896888605,-0.02744728085771353,-0.00786836328260631,0.028166387618404114,-0.010920533414657187,0.037195204869626276,0.018829379608804042,-0.020041578546658008,0.08933682488098274,0.045309054208304424,-0.051495370676768785,0.05326322858382679,-0.008366601260259792,-0.012973773621752617,0.0172868994183688,0.0284034701862923,0.019027022425442297,0.01199939394323146,-0.020715206523582063,-0.029633257990190065,-0.002900585459177817,0.05119731296437353,0.059366425019275186,0.011744969774249436,-0.04979218974308487,-0.051185170033218604,-0.033865102515146385,0.017585828006700402,0.013053887078872338,-0.013141105506560844,-0.000254178001795276,0.010538906238917642,0.0378223316025378,-0.00530621563020775,0.05032956528460712,-0.013771479569120493,-0.03043023980744855
rdkit_qed,-0.04811372363628907,0.01035191737660805,-0.028671286747840825,-0.03039861718593763,0.008456178352124605,-0.04588226866119521,-0.07050179006006053,-0.04027007607471508,0.00958596391484726,0.011743892008315897,-0.08078586057352274,0.06420572279066063,-0.03044900807677706,-0.1403976609902533,0.03155629673649335,-0.029197273418083737,-0.008625776140369633,0.04692005547343016,-0.05076698092842091,0.07823528877528438,0.02249715859888806,0.009011124254304935,-0.058072903033407404,0.05162440175042366,-0.009229928753766586,0.09774948693275413,-0.07466186105730292,-0.050763762030196787,0.04929049631149206,-0.0585422991772765,-0.013106325759697906,0.04046809028515802,0.026195385704568416,-0.0711225067600841,-0.03294360552474143,-0.0064956786756343145,0.007817407206498258,-0.020840206180449315,-0.016102336323484,-0.004058538314044572,-0.02745242957797983,-0.016816353749328015,0.0011978374925294853,-0.02199351448862331,-0.026745760475778216,-0.05896267731374633,0.06842681590899818,0.0010138286949593995,0.032927601637912085,0.04651433071321491,-0.0282288532820728,0.0016573365120470549,0.04752094726241819,-0.04758844335804924,-0.03469041820690028,0.06259916603206696,0.07221272361501418,-0.032433326993444166,-0.024320290890488216,0.048067630530814004,0.0007927184322329035
rdkit_SPS,-0.032054129112218645,-0.00971649185898845,0.09688099221003564,-0.026306979117414322,-0.015381522553886261,-0.03893971142662353,0.024818138325953344,0.0273309454503714,0.05220407311947348,0.04109227550591352,-0.01776815756944061,-0.006062207217996701,-0.037493666290207034,0.005548729607115086,0.036395044537315124,-0.003650337215519921,-0.00907864852837191,0.01562847197940515,-0.09624470928119463,-0.037440650145166954,0.041427581132280324,0.05953799379731294,-0.020258429324950797,-0.009794120102124805,0.01380648795492123,-0.02925843550914415,-0.0009978404123654463,-0.021032118759329563,0.035203782154396415,-0.024728441097846676,0.011281180181056949,-0.017581222810201098,0.06953415940179691,-0.011390624225835637,0.03207004655838743,0.014264441951363793,0.03189821971680503,0.006517538445807068,0.008266177029936223,-0.03091635459835091,0.028858035907572712,0.01838122380649069,-0.04673780202318642,-0.0557237659636875,0.0027235455925763556,0.019761601543270165,-0.05811165796147831,-0.019724586240588426,-0.026242317018380774,-0.011370871786116208,-0.0017857859989044923,-0.03585615993201232,-0.05873992946708247,0.02569881309136569,-0.03766515283357306,-0.08888997347079776,-0.03855797652463333,0.05982084990083374,-0.01672278945948676,0.0060491656777385844,-0.009334983142539582
rdkit_MolWt,0.0626531189184312,-0.013513332413732983,0.0814844766085081,0.005625977686632445,0.03313171321074167,0.013732697738965407,0.04275348959081255,0.006304467749778539,-0.011549883182332051,-0.024072713685185824,0.029663946253707673,0.013681166104170627,0.02502007418591597,0.037447724881479384,0.010223488886468799,0.02462285554484912,0.027818521424173577,-0.008360572835177018,0.0011929837501956483,-0.03242706436216085,-0.03463312598009288,-0.0008465809164380956,0.02136246696486054,-0.021022794605218206,-0.012185766761455729,0.02897560858915504,-0.04269232342756615,-0.016669913732886836,0.04043190360843944,-0.012908524823235623,-0.009509996961928393,-0.04133922007253099,-0.04156592511885129,0.006695377489729536,0.0019440172012425165,0.017343102634141676,-0.0024464384047540185,0.035037842184342055,-0.005714919529451863,0.03013703925612023,-0.004668529874689561,-0.05143069141000835,-0.0011799198247810375,-0.009810465639850682,-0.00791609244955166,-0.003866363352710922,0.029913954358412907,0.020152945148485243,0.02165181480051032,0.011763127917342185,0.010653587850388892,0.030013699618795135,-0.0025982372128425368,0.026231324190138808,0.015932039977441793,0.011831704758831182,-0.00920146857287176,0.01925354054366861,-0.031887583209480826,-0.0009995370245267764,0.0535933757921715
rdkit_MaxPartialCharge,0.03555340292264507,-0.016612984836964616,0.033933906751985224,-0.0035132970405605886,0.06618306794086147,0.05360572926996089,0.04550232684768079,0.07482671123594961,0.020448489709555817,-0.0411146435278891,0.09346079465473958,-0.03905248954665216,0.019419835446990653,-0.041321220551264325,0.0016723184221746606,-0.014004079787797752,0.007204537412176207,-0.011535303486220384,-0.0921589606766842,-0.0704685164954749,-0.06648308711491754,0.12396516883752554,0.018127360872783722,-0.01772147422289803,0.05011254389744287,-0.12567206047206272,0.04015765450236711,0.12144728725084095,0.04244040350358567,-0.037517034051406516,0.043841458958645836,0.0034811584963381835,-0.05858287562653785,0.02066765451721251,-0.035856564898747126,0.06895028440477766,-0.003403236871438078,0.01705545887989657,-0.005111980328906914,0.05672609458493745,0.021012493279862446,0.021283824042626843,-0.010358404387695308,0.001773910911647856,-0.024221544261498813,0.03552510070032195,0.03131320204798132,0.0362962066668138,-0.011690061085101214,0.004726611904712393,-0.009802114691194077,-0.11345825682601579,-0.02682820429488625,0.020540713893811364,-0.019721056213214072,-0.033826126659472475,-0.03530994282296158,0.003869885990553065,-0.015335874056359153,0.00873637221438276,0.011251936924538092
rdkit_MinPartialCharge,-0.023990670788199202,-0.02032257011559575,0.04949304674943448,-0.04257779603800428,0.05051232639594452,0.020331648527307157,-0.056770068519605164,0.009392601410527142,-0.010302841661673397,0.016352283225543718,0.04929991443925636,-0.0632823313142137,-0.07697213027198876,-0.06688532285689977,0.0017510480097053301,-0.0414656069030719,-0.01527525100874538,0.10455843598852424,0.017743591379250287,0.039900030049927294,-0.006132631847006573,0.08318695135313102,0.04521043260628623,-0.03889512763081303,0.0802555884704154,-0.05836126697730689,0.05779723416279938,-0.05984966168608207,0.09436761417415104,-0.053433783868110006,0.06008382249731459,0.14945694754717037,-0.011172354567784037,0.10524548085357051,-0.049259100585529396,0.013862691846862453,-0.03732682232895001,0.20403517673950536,0.0063369262746748,0.023314428512015366,0.008399856222000048,-0.032883308704655105,0.05045614802471512,-0.05254490196634648,-0.044164897796897334,0.08400610491515655,0.015256821879175765,0.062209664189757874,0.17819609782625123,0.16186945452329912,-0.008118475188982769,-0.02443154627942007,-0.04953643372089517,-0.07025578076976981,-0.02757782021751402,0.061979548068143375,-0.02961762248802947,0.0023829906974178416,-0.015149563494252172,0.03908789048954953,0.017924287502295723
rdkit_FpDensityMorgan1,-0.023534513498747495,0.07116098068747978,0.008258552431237581,-0.017073731559209222,-0.04605503546444725,0.012114842293653788,-0.0418475055744781,0.0181727455431827,-0.03997109699256305,-0.058418141307280014,0.009433237358214741,-0.07471147474435913,0.025995252799439275,0.1098010864905177,-0.009913612149244555,0.046174981152490566,-0.07443357400157316,-0.04612608613208602,0.0049299052349002954,-0.012486138811720567,0.021194239163389788,0.035404733009905515,0.04793313556829643,-0.018833240940199066,-0.018330550211310276,0.05202259123042159,-0.037355186090942176,-0.044563737620483865,-0.06165537144422081,-0.009108218418056134,-0.009883684926913976,0.046041901787222485,0.0849800915699837,0.02862920385063139,0.044222130290453875,-0.017997224944771077,0.05858035157883173,-0.0037380968840746848,0.02255233355788245,-0.07428408800965014,-0.028550705776419504,-0.019628971632859118,-0.1011543155350393,0.004746629597238383,-0.07084215783731779,0.07295935362958479,-0.056009843695147096,-0.07661126897170702,0.09712941736480077,-0.01395124721879298,-0.03665551333236231,0.008170974563966486,0.03054923966542057,0.07687218831172196,-0.030081189041528664,0.01237067140282154,-0.026578136607257066,-0.027670992213687618,0.056628820799112606,-0.016234466463140033,-0.05846009840804537
rdkit_AvgIpc,0.02105968780978373,-0.05243104407523696,0.06414104576069542,-0.037965844224175,0.0002273086016944865,0.03974073552789594,0.025763266136771625,-0.024003216792571454,-0.00029257859262353297,-0.03180826164695159,-0.04237705771063505,-0.02080065194544438,-0.012526893774751212,0.003095757283172741,0.003267009023608871,0.08359457193883507,0.06669140465780106,-0.058472914580540304,0.037267205887338416,-0.06135445400554539,-0.07071840590780916,0.06798498304143577,0.07045716012779572,-0.07696100447575828,-0.013193655641640427,0.04956679930800225,-0.000590464182576941,0.03610780970835209,0.0113083057737624,-0.11186532203532226,-0.060200048176308224,0.02190307850384419,0.06591407256196909,-0.05247794198871176,-0.00364052555174816,0.09597027910194887,-0.14550769826890914,-0.06641839920859308,-0.007749219793591923,-0.025151267173869393,0.01894925534626416,0.03879305764792731,-0.04210867574303566,0.06442546042351846,0.014946232669418736,-0.03685398747726047,-0.07359323673784436,0.033659264867671804,0.12714402371450703,0.07964719113646976,0.019241034591796297,0.0412170689010903,0.0482314121234702,-0.034452806748425525,0.051112015329403813,-0.023342895851273127,-0.0685225123826752,-0.050155009346419456,-0.038559377164809686,-0.0017726025220797092,0.039465951287720145
