,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60
MACCS_sim_score,0.006931601285315118,-0.05658813482025595,-0.013515206010483326,-0.021946218478752107,-0.02071258154842194,-0.01867343949011741,-0.023506176500606716,-0.026888050802865632,-0.008201827168572658,-0.03373698331976085,0.01221811486175003,0.0028506746162706357,0.04590624431722069,0.023964694643751627,-0.020059450323125283,0.04241270108843087,-0.041254100777994865,-0.010604329159149654,0.0005017891838785413,-0.01514316483824322,0.008497291926579015,-0.006645334133410764,0.020528129527440767,0.018667212848916433,-0.018744262881800013,-0.01627979188200926,-0.015911686247143626,0.026633687749869513,-0.006244145938657734,-0.015197630951896794,0.05158607524276291,-0.013438324567159371,0.021476039654982352,-0.01693269051080981,-0.02512735269437637,0.0031129708470122703,0.02983621032987246,0.016082272457035005,-0.024163797637126467,0.07660238774549243,-0.005839615927964427,-0.002807715166145715,-0.01606224802844616,-0.009403830171078091,0.011172186109772619,0.03750026935564815,0.018158979320157562,-0.019857639575794325,0.028443886544192738,-0.0036113135147542485,0.02787394212475359,-0.028570588083049277,0.020579438145863504,-0.05099852701800487,0.023186516820728025,0.06583522882905588,0.015204461831475653,-0.02232371738183358,0.005413067834973969,-0.24362409322164139
ECFP4_sim_score,-0.018793538960392663,-0.04518177124555345,0.024826328687745466,0.033901394548620935,-0.008882671180970551,0.00791581570038551,-0.01739196644947151,-0.024675915515494775,-0.007297080028731716,-0.013807184569314014,-0.005209944509615425,0.012294597675596014,0.010586834905167734,-0.03670607603094295,-0.02937935615854492,0.01998276570637154,0.011005270777345777,-0.012945511204719462,-0.018460768525556327,-0.018899814662455203,-0.01506871112568033,-0.04949113974600653,0.0025230733876218775,0.02146364539008843,0.06772615682715279,0.05481894125088837,-0.06609224817866831,-0.008352825588452613,0.015003388009437471,-0.007985864656469985,0.008627914162742235,-0.07081253905836324,0.01983197339773489,0.0013893396339050028,0.02600090296125499,0.04282077988864773,-0.04889584470693389,0.04493162562561951,0.026622204221985392,0.022094291714757536,0.036063007956312405,-0.013347440304101744,0.04172216285248685,0.06493004605827307,0.015718183207531527,-0.002788290665233979,-0.0977997331647247,0.027205267316994058,-0.023861350313417365,0.03295350583399068,-0.0222444364302031,-0.021675772509576335,-0.031952478785815225,-0.012599892922771916,0.035380703953600864,-0.053592733077028686,-0.03953870112658822,0.022485686363797382,-0.021014822047411008,0.02561422845390301
MCSS_rdkit_sim_score,-0.013140898044327104,-0.046365105593283454,0.037104088665314346,0.010100850353406637,0.005585701014358128,-0.019402290334773427,-0.024159837845922048,0.011233519240556693,-0.03903299540040817,-0.010650933046384878,0.04031257369809432,-0.003676545898738547,0.03781918165165484,-0.01400838353445892,-0.008454449382791298,-0.0034564422100323215,-0.023801110541669224,0.020385905446856603,0.012306248811270152,-0.01983173639196606,-0.05029834209978857,-0.014821941661395239,-0.0024467045315121217,0.02420249499571809,-0.022111851741625707,-0.0009861699404558712,-0.03498512350477844,-0.022517501406294355,0.00027045587209565325,-0.022756443862943235,-0.03132587183963138,-0.005487091405804113,0.025144920832044067,-0.019890075799812338,-0.04283309769018119,0.026412456799590315,-0.012335989800784332,-0.018999446999681417,0.05611935107530304,0.05385743020042873,0.025021671489106848,0.0219430321612101,0.026260792371478377,0.024729277429231634,0.009534243616083193,0.002954844516767625,0.025521749583214872,0.007778998210327278,-0.0016586748586997467,0.016726002771384783,0.004282823731091542,-0.03162325194960725,0.03655669031751625,0.010242890990949488,0.05189298723382795,0.04223274251157593,-0.031982030119760974,-0.02180617337145313,0.03266789213937853,0.09615117845504156
Standard Value,-0.011270727535292511,-0.007028967355633729,0.003703297837714679,-0.021850054839118355,-0.01651753747480395,-0.03225460843043053,0.008649223188164157,0.020771796105873614,0.07250782854235045,0.025102416649736982,-0.04655782212728539,-0.0002679013000065308,0.1174509078953981,-0.011250220475554148,0.0016705030016547012,-0.0354348739039325,-0.0024495655686278825,0.019223284955359164,-0.014912456604701368,-0.016768621858020066,0.0013288609861064305,0.010837959109116807,-0.04646453351384565,-0.0009700876062911385,-0.04158380740641166,0.019794277489809595,0.01227014635538877,-0.018412267541277505,0.04376292368481416,-0.03581922224599057,-0.03778922640869704,0.009500826631880547,-0.04740638119348733,0.009336419762995454,-0.04556720929154682,-0.03618733733611522,0.0010677668378815078,-0.01337853842189426,0.10463150250571258,0.03748688852408763,-0.11081087061633496,0.22502963793270206,0.040280116153079845,-0.15746598389069094,0.003003606255979091,0.1943989266595899,0.13647697700588599,-0.015330463051681786,-0.06511311619845564,-0.0013396473019186795,-0.005867225878037865,0.04409186833231172,-0.014712799150222517,0.04855243887876317,0.10437910801037766,-0.05241492931600611,0.01956159009091301,-0.015315272475014258,-0.010669109130819341,0.2791065913786166
rdkit_MaxAbsEStateIndex,0.010787232045855974,0.011036320217566536,0.04344806142638857,-0.026580335293071897,0.0019684446777557575,0.020407844082833363,-0.004665049726750895,0.044569192624865264,-0.0046405870739367385,-0.039314889339079416,0.03477880119339442,-0.011350183681069959,-0.0393228509050391,-0.015070901454358987,0.08258021074712647,-0.016656282944741894,0.047791134205240615,-0.059837595752415526,-0.0190281331200653,-0.013933133705481257,-0.00046978247545274393,-0.016635306235027205,-0.05268369333491391,-0.012220911708354031,-0.016059627469969542,0.015487206067579813,0.0426186938351923,0.040904471635029985,-0.028896330912553805,-0.00500477937523894,-0.015603073001006674,-0.06551609009516238,0.013385921408392617,0.037979558504659,-0.011868281813005711,-0.06451980572722392,-0.022099646744033585,-0.09520474951932341,-0.033795527365859564,0.02429265776002499,0.005211128699379894,-0.0052095244925421565,0.039744561301255296,0.03526877223290092,0.020621120595779554,-0.02623847027798651,0.02047868905785615,0.0032497790020147186,-0.03485049590635077,-0.049641725827621566,-0.012912353934912087,0.04638514558539675,0.03376568101306644,-0.012813497196003852,0.03756485873843289,-0.02194959791316816,0.023448023109006337,-0.006577273948503081,-0.011584690914977698,-0.05089061579384379
rdkit_MaxEStateIndex,0.01078723204585592,0.011036320217566486,0.043448061426388615,-0.02658033529307198,0.0019684446777556443,0.02040784408283336,-0.004665049726750857,0.04456919262486531,-0.004640587073936981,-0.039314889339079284,0.03477880119339421,-0.011350183681070089,-0.039322850905039154,-0.015070901454358809,0.08258021074712668,-0.016656282944741967,0.04779113420524057,-0.059837595752415776,-0.01902813312006546,-0.013933133705481458,-0.00046978247545318325,-0.016635306235027042,-0.052683693334913774,-0.01222091170835391,-0.016059627469969397,0.015487206067579659,0.04261869383519302,0.04090447163502984,-0.028896330912553635,-0.005004779375239026,-0.015603073001006516,-0.06551609009516224,0.013385921408393184,0.03797955850465881,-0.011868281813005541,-0.06451980572722422,-0.02209964674403255,-0.09520474951932408,-0.03379552736585952,0.02429265776002432,0.005211128699378976,-0.005209524492541222,0.03974456130125696,0.035268772232900286,0.020621120595779904,-0.026238470277985836,0.020478689057855198,0.0032497790020159425,-0.03485049590635163,-0.049641725827621414,-0.012912353934911441,0.046385145585394215,0.033765681013070536,-0.01281349719600389,0.03756485873843611,-0.0219495979131697,0.023448023109000474,-0.0065772739485024274,-0.011584690914970266,-0.19391561265846713
rdkit_MinAbsEStateIndex,-0.003353926451599354,0.016889053689317774,-0.01980554599963299,0.03083878407439879,0.014441743234529984,-0.04630406384741238,-0.0300643433052679,-0.0057430954412341275,0.007240413798740338,-0.006730915805651492,-0.07552605089507189,-0.05177419490781641,0.014002616443092345,-0.016694720176051475,-0.041075887234793454,-0.031579870195919964,-0.04271549153533771,0.01650968577684171,0.03031127794705661,0.02457417315896537,0.0010327385378387103,0.019250437956964978,-0.007602714791374513,-0.050276028889023695,0.0432177426382197,0.09874223669887187,0.12065374931820237,-0.03518496259475564,-0.019978410019756292,-0.061001971734549666,-0.015263068438744466,-0.017838508164091414,0.05846379098498112,0.021004827989075547,0.02706000233965197,0.029111246118409664,-0.0024274399096979463,0.008928249833161114,0.17042437338364932,-0.019176709687279275,0.08118533005240647,-0.05143828767747827,0.004895411916524383,0.1166370520302652,-0.02283818222592458,0.035407199788934425,0.010085655246292376,-0.07027176929172028,0.023709344945114192,0.10213593868809775,0.015381864372319235,0.25321620335587264,0.024440626309825762,-0.17331801249956186,0.02812490904569691,0.0006413426727105744,0.07974067921368894,-0.11063023296365168,-0.022708584096959833,-0.045929351861148264
rdkit_MinEStateIndex,-0.02579480071610986,-0.006445670685220614,-0.039111168311808234,-0.03159153178720056,-0.021059685274728526,0.012592885494963972,-0.004969344545926889,-0.012903734602355662,-0.016210440044175125,0.0011642715897502655,0.044501433097145285,0.02373136854482601,0.03152080681111748,0.0026828499095033526,0.015076715957968601,-0.021566373835722696,-0.02023059440472874,-0.01779951346084329,-0.028481788174419827,0.06475778532407507,0.015108263502750133,-0.06290901335504004,-0.0235635513030883,-0.08016089628181608,0.06836488116565974,0.05144616418716579,0.027260487798436726,0.03247261222107289,0.009234435208316103,0.03352135132453315,0.022111794009745698,-0.002269479240992206,-0.02421386574716094,-0.0032221568529176713,0.01981421827181818,0.020002756904155032,0.01643424290689696,-0.03009614587236206,-0.018371306017820995,-0.007424675779676384,-0.02201489264437481,-0.008929561037274063,-0.009455806706710406,0.009039112918440046,0.008665170767984232,-0.006267535224741566,-0.027291387179863305,-0.013579014413949476,0.0015534517542846755,0.007118339077924648,-0.0021395768225287415,-0.02439623369542834,-0.009196026285808213,-0.013687857200944823,-0.0067348757507876365,0.014809807384572878,-0.007825663902634502,0.0027608285158276405,-0.011701671445949857,-0.1812111229544041
rdkit_qed,-0.021216180770549833,-9.206108263115678e-05,-0.02805384145109278,-0.012639488247946761,-0.011655878042514521,-0.03396687834167457,0.004693896225247185,-0.04310583586323831,0.061811871103993735,-0.00951286349519771,-0.04763291386144001,0.013239495317350008,-0.07138683144555362,-0.029713640437742123,0.05700764689786744,0.034359039596528175,0.003885147197967362,-0.0240118117517574,0.008367766083445539,-0.05079426932917923,0.018099379913274292,-0.019336398010788507,0.05791455203720188,0.023647513248896215,0.033368747211334523,0.002602790221750777,-0.07297994898218438,-0.0077234016585827426,-0.024802823285615273,0.014085800193833766,-0.009393471022496925,-0.0023103805150476936,0.01613467523486069,-0.025293992871289927,-0.055912666521246435,-0.05524054591258743,-0.013761606112806113,-0.007108953040290701,0.0168238679773065,-0.023764127122262512,0.03249655811327853,-0.02976107557161118,0.027543112159151072,0.001608611903725322,0.061974751342111035,0.02885929326585452,-0.024257909614069532,-0.02718385957245147,-0.03562457975964658,0.03913259919908456,0.011016816767797758,0.04379578021337176,-0.011588695950686404,0.01763998705132495,-0.0055515416138737,0.041047577278191916,0.05351869689908773,-0.0019109732062740745,-0.08802529649582803,-0.01691053233782633
rdkit_SPS,0.02372332750915391,0.02633641236703142,-0.05308447583779193,0.00020945019198862456,-0.005514271629616679,0.02602732247924027,0.0192956453721718,0.000955451274953243,0.022643924091471115,-0.006830225437564691,-0.03126980904303466,0.009804323093893471,-0.014880548804146528,-0.032378627702307594,0.002968018395034219,-0.005890499641955162,0.016388377392144916,-0.00799298142914497,0.005808690398931263,0.0008267203589913239,0.017584024611377973,0.017249364135241734,-0.006321624870761561,0.001780128598049209,0.03831871608224571,-0.005148315608156916,-0.007583899191062116,-0.004131631815230354,-0.011572852462120174,0.00417493725551413,0.006701850426508193,-0.0047141121306301095,0.01185926754421255,-0.015432056466706643,0.01613998070923467,-0.033250036010313795,0.024228832435898698,-0.006908169933773197,-0.015514993290553796,-0.006144978600304555,0.0014132789902787757,-0.0027313917594987257,0.015673740529067434,-0.001985619665420409,0.013685006330006069,0.008633564124727607,-0.002529725939601349,-0.0006680755398836483,-0.010765130783673174,0.017235031978673796,-0.010227864598512743,0.008591056535886122,0.011777225866179963,0.017653045450869344,-0.004112615005369089,-0.02143234947286709,-0.0036932323383820536,0.014178884898902802,-0.0013001857823397925,-0.37861132979895046
