TSNE1,TSNE2
-8.669613,-78.17463
-10.827509,23.761341
-93.95635,-22.159798
-18.089605,-31.501299
9.730331,-81.11369
-12.460791,-16.780039
-29.875483,-18.212133
31.601938,18.401325
-17.267193,-2.7198398
-60.931038,3.1164196
35.046707,36.4824
-2.915312,-6.704608
18.510466,14.095651
-49.78441,26.6725
-65.1435,-69.70396
-33.163498,1.9710699
98.794495,53.441093
-26.578457,-44.414467
-34.70326,-32.93187
-41.529633,-54.002167
72.05602,4.278239
-3.7211154,35.693478
-1.7107514,54.83202
-24.048788,31.549822
-15.417343,65.826996
-60.61324,-54.574028
-49.660812,-70.05704
-91.6851,-10.787362
54.47645,73.78825
24.848778,2.3642163
-22.837166,53.973896
-24.215662,-63.788723
-7.68847,8.751356
90.57876,18.8424
-30.840372,-79.924385
34.577705,63.28446
18.468758,30.399687
16.590195,-10.006921
-49.034977,-43.178917
64.67081,38.141495
62.12338,51.023724
5.307143,-18.305449
86.13931,38.156334
47.1772,52.029953
71.17868,-11.288125
79.88376,53.207867
4.2725782,-33.781136
19.98572,-26.485605
6.897297,20.123919
20.037973,-42.27026
66.63849,63.29552
-51.252785,-21.32369
-61.823124,-31.461855
-24.585073,14.725654
7.5942535,2.591033
-3.392653,-55.17628
34.42406,-14.328872
39.41499,2.809772
52.137188,25.899748
52.85656,12.188185
