TSNE1,TSNE2
-20.637794,82.66012
-56.58362,-10.055389
-0.95468986,79.78297
15.660636,3.906016
-36.75998,68.32759
1.9419105,-22.435768
-5.6245303,-11.167418
14.410969,-18.52486
-46.30534,-1.4925717
-8.853554,-85.50314
7.208665,-6.714344
36.33008,-49.91948
44.770996,3.9176404
-49.514824,-37.028946
18.135109,35.696884
9.622657,-33.334183
-47.473183,23.901468
-7.2313137,6.6021285
16.654947,21.171307
-23.171705,14.608519
-16.595839,-95.554054
-70.42516,-9.461723
-31.464735,-68.87165
-45.087925,-17.448656
-33.553017,-92.427246
3.678924,43.037415
-10.465405,36.577347
-3.7295399,90.84569
42.36721,52.766598
34.442005,-33.01364
-17.843805,-71.58364
-24.64019,70.057625
-61.248543,3.4166236
2.833784,28.089378
8.502214,-48.762676
42.161777,-21.085806
53.026974,-9.034237
56.14486,-24.743544
-20.38315,-0.006273374
-39.669106,-79.72747
-13.993184,-25.134323
29.185213,3.3209467
48.002605,-38.091064
-25.646719,-82.04812
50.77072,46.514313
35.317802,16.271408
-33.48449,80.13728
28.639631,-18.925682
22.37934,-44.1228
21.830513,-29.721561
-4.739504,-38.324566
-10.037245,21.184265
3.4806721,14.388517
-61.628815,-22.548649
21.788471,-8.015039
-24.04007,29.875643
36.838676,-8.318262
72.57705,7.3483486
64.852455,17.699232
78.90323,-10.147703
