TSNE1,TSNE2
-12.769281,2.163688
-13.336383,-1.5649697
-14.626056,3.8996274
-6.7071557,-0.29367265
-14.247337,1.4834262
-9.9368105,-2.124714
-7.8326626,-0.48627418
-9.15475,-5.321918
-8.755408,-2.5533051
-1.37326,-2.7514794
-5.487277,-3.188628
-7.9634676,-2.0745492
-10.098373,-5.1395426
-11.25426,-1.2062262
-3.0541396,1.3768656
-11.288593,-1.9857662
0.7113031,-4.0614185
-6.2495384,0.20398125
-6.624885,-0.946772
-3.55114,1.2892709
-2.0697947,-4.7283597
-12.526749,-2.3447254
-13.210632,-2.5986888
-13.18468,-0.71759593
-15.027707,-0.5591887
-3.453507,2.215744
-4.614976,2.3583822
-14.780819,3.81035
-4.0926523,-5.4479685
-9.067852,-4.4469547
-14.7348,0.092684835
-7.8817782,1.3764311
-11.942693,-1.285391
-3.0731473,-3.2036142
-6.7800875,1.1298354
-0.37065575,-3.417475
-8.393992,-4.600477
-9.214917,-3.149454
-3.7524161,0.41950995
-0.9792576,-3.7273145
-1.7042446,-5.593728
-11.323322,-4.639741
-3.1063433,-5.749155
-2.8495202,-4.9409385
-0.20215869,-2.2306836
-3.705655,-6.3743405
-12.020458,-3.469296
-10.029659,-1.0382245
-8.141901,-3.9241652
-10.478882,-0.023778528
-4.3203583,-4.5122156
-5.3723917,-1.3849477
-5.2751102,-0.3195184
-12.158033,0.069125704
-9.865935,-3.5929344
-0.297971,-5.3513217
-10.65217,-2.630173
-10.724796,-3.6495225
-6.093172,-5.5114403
-6.338489,-4.3153224
