TSNE1,TSNE2
-5.075107,-0.88662577
-2.422215,1.653093
-4.9406815,-1.3471097
-3.3703904,-1.3311925
-4.7441735,-0.6426471
-3.6147635,0.51068896
-4.091669,-1.1329799
-1.3818884,1.8215768
-2.9487925,0.54012764
-2.3536603,-1.8973069
-0.18650413,0.27484462
-3.4746544,0.18623531
-1.7207421,2.2091894
-3.422768,1.1653044
-3.5626287,-2.8133273
-3.4096498,0.6289144
0.6917836,1.2631458
-3.180148,-2.0119078
-3.3778932,-1.8045022
-2.5820107,-2.5328283
-0.28749612,0.9255933
-2.657531,1.7781425
-2.7176778,1.9288018
-2.8898685,2.0159624
-3.7009685,1.4109851
-3.069067,-2.8106866
-3.6954246,-2.7195752
-4.789255,-1.371032
0.28171414,0.9634737
-1.4731897,2.01216
-3.887792,1.36498
-4.517588,-1.7955086
-3.3702488,0.92400885
0.011937175,-0.511892
-4.0994506,-1.8234636
-0.32951728,-0.24131861
-1.4041034,2.0901985
-3.3178418,1.5415807
-2.452576,-2.5071917
0.26911357,0.06841643
0.6636255,0.2356464
-3.3666544,1.5363353
0.7121939,1.292238
-0.024542786,0.8995984
-1.2393209,0.80161065
0.85092217,1.0508764
-4.4428945,1.0365777
-4.3880124,1.1440552
-1.4397742,1.7586417
-4.3903317,0.7881162
0.54874617,0.81003314
-3.27799,-2.102812
-3.344092,-2.4696167
-4.168544,0.56579643
-2.7834072,1.1288626
-1.8969729,-2.2992418
-2.1904595,1.2567449
-1.5874033,2.3799663
0.0859988,1.678004
-0.20013721,1.797998
