Model,PC,MSE,R2,Q2,MAE,Best Params
AdaBoost,1,6.177073419171183,0.583937478773451,-0.1483516288732578,2.32608471132065,{'n_estimators': 50}
AdaBoost,2,4.390679532074293,0.6842811989287717,0.1837487349803089,1.8854646400316744,{'n_estimators': 50}
AdaBoost,3,4.358897897440042,0.7991733554953881,0.1896571141469262,1.9278275755281948,{'n_estimators': 100}
AdaBoost,4,4.733662813612192,0.832264503030435,0.1199862728395904,2.004481387231206,{'n_estimators': 100}
AdaBoost,5,3.889941706388824,0.8224375164973936,0.2768386270284944,1.8227632274536505,{'n_estimators': 50}
AdaBoost,6,3.02056419062657,0.8645555219440773,0.4384606474553336,1.6197372429120998,{'n_estimators': 100}
AdaBoost,7,4.1098277315813885,0.901987910972388,0.2359606160253116,1.867603324037857,{'n_estimators': 50}
AdaBoost,8,4.210169121879583,0.8624262695970866,0.2173066044614017,1.8200232091429605,{'n_estimators': 50}
AdaBoost,9,2.8704402446660136,0.9050000128677844,0.4663695075542988,1.5412154102544782,{'n_estimators': 50}
AdaBoost,10,2.5579197402052745,0.9239981193560561,0.5244687733392821,1.4163489750248666,{'n_estimators': 100}
