Model,PC,MSE,R2,Q2,MAE,Best Params
Random Forest,1,4.544639084579187,0.8607200664653912,0.1551268147112575,1.8562139009048524,"{'max_depth': 10, 'n_estimators': 200}"
Random Forest,2,3.7621903813608575,0.8477531118277981,0.3005882949102573,1.6775755564201276,"{'max_depth': 10, 'n_estimators': 200}"
Random Forest,3,4.440271514088493,0.8545159021736788,0.1745293151255419,1.9305152868276847,"{'max_depth': None, 'n_estimators': 200}"
Random Forest,4,3.8204282271012646,0.8584999879675059,0.2897615618475574,1.80788689229993,"{'max_depth': 10, 'n_estimators': 200}"
Random Forest,5,3.314614083239308,0.8540547807647013,0.3837951691231768,1.648889844205044,"{'max_depth': None, 'n_estimators': 100}"
Random Forest,6,2.993414643002659,0.8450468878618367,0.4435078963904568,1.565195700380889,"{'max_depth': None, 'n_estimators': 100}"
Random Forest,7,3.02542962255159,0.8587755223319776,0.4375561371318965,1.604896223057816,"{'max_depth': 10, 'n_estimators': 200}"
Random Forest,8,2.511036891462282,0.8600716153867052,0.5331845505474893,1.337560639472304,"{'max_depth': 10, 'n_estimators': 100}"
Random Forest,9,1.848323139699003,0.8709897628733534,0.656386650420892,1.1400759538173268,"{'max_depth': 10, 'n_estimators': 200}"
Random Forest,10,1.904397486083495,0.8705757576123386,0.6459621236848516,1.1759447566783001,"{'max_depth': 10, 'n_estimators': 200}"
