Model,PC,MSE,R2,Q2,MAE,Best Params
SVR,1,5.250922842697946,0.0165239122262682,0.0238248130926289,2.119855020621068,"{'C': 0.1, 'gamma': 'scale'}"
SVR,2,4.351605596183976,0.1556382726265677,0.1910127927114139,1.9183044219641168,"{'C': 1, 'gamma': 'scale'}"
SVR,3,4.450164660531131,0.6316251934457745,0.1726901252598643,1.900047702888929,"{'C': 10, 'gamma': 'scale'}"
SVR,4,3.780560229909845,0.5984725092061163,0.2971732399041256,1.7077972038162947,"{'C': 10, 'gamma': 'scale'}"
SVR,5,5.279960747584472,0.0172940491490034,0.0184265082461921,2.122350211460049,"{'C': 0.1, 'gamma': 'scale'}"
SVR,6,5.245137492158281,0.0179662997713415,0.0249003413023485,2.1147341663411976,"{'C': 0.1, 'gamma': 'scale'}"
SVR,7,4.000802720565484,0.2123865825764944,0.2562289600277433,1.8584866943254608,"{'C': 1, 'gamma': 'scale'}"
SVR,8,3.9681728694929146,0.2150879434843069,0.2622950272551108,1.851254360577701,"{'C': 1, 'gamma': 'scale'}"
SVR,9,3.291035061512372,0.2684083465631978,0.3881786378259008,1.6957909965369935,"{'C': 1, 'gamma': 'scale'}"
SVR,10,3.2163813121023592,0.2816369804995166,0.40205717688784814,1.6948747122548264,"{'C': 1, 'gamma': 'scale'}"
