Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
KNN,14,2.942496587017424,0.4531063949447722,0.4529738406268053,1.4862018674514057,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.9060802355715775,2,0.000132554317966882,1,3,0.9059476812536106
KNN,18,3.112969385291008,0.523040350847157,0.4212820179315331,1.4797654370946802,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.9443223687786901,1,0.10175833291562397,14,15,0.8425640358630662
KNN,21,3.359558599809826,0.5039277988125348,0.3754397384345124,1.527635892098183,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.8793675372470472,3,0.1284880603780224,16,19,0.7508794768690248
KNN,26,3.409953275272763,0.3730769216701269,0.3660710934909709,1.6262165716344057,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.7391480151610978,7,0.007005828179156015,4,11,0.7321421869819418
KNN,29,3.453711060040064,0.454080817091737,0.3579362827151332,1.6017457913593818,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.8120170998068702,4,0.09614453437660375,13,17,0.7158725654302664
KNN,22,3.516519494639553,0.3500759098655002,0.3462598522625739,1.6430011743555362,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.6963357621280741,8,0.003816057602926304,2,10,0.6925197045251479
KNN,28,3.631484580397308,0.4751786316796811,0.324887215977609,1.6240840963889795,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.8000658476572902,5,0.1502914157020721,18,23,0.6497744319552181
KNN,27,3.631484580397308,0.4673883929183833,0.324887215977609,1.6240840963889795,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.7922756088959924,6,0.1425011769407743,17,23,0.6497744319552181
KNN,16,4.003403841659166,0.2638776120226643,0.2557453974339175,1.87487764387416,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.5196230094565818,14,0.0081322145887468,5,19,0.511490794867835
KNN,20,4.016925940081524,0.2931805203341637,0.2532315656084926,1.718736597479308,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.5464120859426562,10,0.039948954725671115,7,17,0.5064631312169852
KNN,24,4.016925940081524,0.3052128704581757,0.2532315656084926,1.718736597479308,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.5584444360666683,9,0.05198130484968311,11,20,0.5064631312169852
KNN,17,4.022990650135564,0.2941319939344823,0.252104102941854,1.7151365508910152,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.5462360968763362,11,0.042027890992628325,8,19,0.5042082058837078
KNN,19,4.055283335222094,0.294317966593178,0.2461007167096756,1.7342230013108824,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.5404186833028536,12,0.0482172498835024,9,21,0.4922014334193512
KNN,11,4.105902489410715,0.2884689505658044,0.236690339947068,1.829113328517908,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.5251592905128724,13,0.0517786106187364,10,23,0.47338067989413596
KNN,3,4.9749973975523085,0.2570138774140025,0.0751208578178165,2.098981259109725,"{'metric': 'chebyshev', 'n_neighbors': 7, 'weights': 'uniform'}",0.332134735231819,15,0.181893019596186,19,34,0.15024171563563302
KNN,2,5.162552856128832,0.077322252576353,0.0402532754296958,2.105486894163978,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}",0.1175755280060488,17,0.0370689771466572,6,23,0.0805065508593916
KNN,4,5.17062323539081,0.0427096410732505,0.0387529479214693,2.0928455661225374,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",0.08146258899471981,18,0.003956693151781203,3,21,0.0775058958429386
KNN,1,5.445399273104928,0.0708378647230171,-0.0123294156950999,2.1644295962607085,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}",0.05850844902791721,19,0.08316728041811701,12,31,-0.024658831390199802
KNN,7,5.481457948165516,0.2441016160118752,-0.0190329199973677,2.154507580004187,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.2250686960145075,16,0.2631345360092429,20,36,-0.03806583999473542
KNN,5,5.568599950554029,0.079747762465309,-0.0352330933797253,2.162231504272491,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",0.0445146690855837,20,0.1149808558450343,15,35,-0.0704661867594506
