Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Gradient Boosting,59,1.168000096141525,0.8440016146995253,0.3052905690944174,0.837843435366502,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 25, 'subsample': 0.8}",1.1492921837939427,9,0.5387110456051079,21,30,0.6105811381888349
Gradient Boosting,60,1.1815002792522955,0.8453375718893974,0.2972608569762529,0.8219548469391538,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.1425984288656503,11,0.5480767149131445,22,33,0.5945217139525059
Gradient Boosting,58,1.2343210574733106,0.8386845208981745,0.2658438280743437,0.849975673521062,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.1045283489725182,18,0.5728406928238308,24,42,0.5316876561486874
Gradient Boosting,53,1.2413136283451147,0.8392238569779629,0.2616847488525475,0.8337172356289819,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.1009086058305104,20,0.5775391081254153,26,46,0.5233694977050951
Gradient Boosting,47,1.267797035053751,0.9546426488814476,0.2459328045986247,0.8642030603123393,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",1.2005754534800723,2,0.7087098442828228,42,44,0.49186560919724953
Gradient Boosting,32,1.2698371828055948,0.9499713048463104,0.2447193544556591,0.8697181908778625,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 25, 'subsample': 0.8}",1.1946906593019695,3,0.7052519503906514,41,44,0.48943870891131813
Gradient Boosting,24,1.2708680931457277,0.7656170597409646,0.2441061840132301,0.8368337104714596,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",1.0097232437541948,36,0.5215108757277345,19,55,0.4882123680264603
Gradient Boosting,17,1.271672539660143,0.9337146181916932,0.2436277109531082,0.8997857725928172,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",1.1773423291448015,7,0.690086907238585,40,47,0.4872554219062165
Gradient Boosting,55,1.2748457165434464,0.8369654707534775,0.2417403515992479,0.880738985628024,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.0787058223527253,25,0.5952251191542296,29,54,0.4834807031984957
Gradient Boosting,62,1.2797941679968372,0.8399285436080495,0.2387970848097967,0.8446510755160036,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.0787256284178461,24,0.6011314587982528,31,55,0.47759416961959333
