Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Random Forest,17,1.0225385969895349,0.7343646457632914,0.3918089483551562,0.7976360223281067,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",1.1261735941184476,2,0.34255569740813524,8,10,0.7836178967103125
Random Forest,16,1.0342624791453825,0.7875426407820059,0.384835754151321,0.7452870425619826,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 25}",1.1723783949333269,1,0.4027068866306849,13,14,0.769671508302642
Random Forest,18,1.1941160136850186,0.671955303010464,0.2897572020389242,0.84776744783495,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.9617125050493882,28,0.38219810097153983,12,40,0.5795144040778484
Random Forest,28,1.2090127835880873,0.7878722075237827,0.2808968204551556,0.8602602826648296,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 25}",1.0687690279789384,3,0.5069753870686271,24,27,0.5617936409103113
Random Forest,12,1.224892905648807,0.6235215609361703,0.2714515553426285,0.8626826463718962,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.8949731162787988,46,0.3520700055935418,9,55,0.5429031106852571
Random Forest,8,1.229488587192339,0.6898156455502658,0.268718110953131,0.8574311674669577,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",0.9585337565033967,31,0.4210975345971348,14,45,0.5374362219062618
Random Forest,35,1.2326309009784209,0.7824704789980992,0.2668491085195978,0.8414786853617822,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 25}",1.049319587517697,6,0.5156213704785013,28,34,0.5336982170391957
Random Forest,15,1.2352589197068364,0.7416463937802589,0.2652860012893347,0.866903599395189,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 25}",1.0069323950695936,11,0.47636039249092416,18,29,0.5305720025786695
Random Forest,54,1.2564540297353846,0.679017787123438,0.2526794588116793,0.8804805806030549,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",0.9316972459351173,35,0.42633832831175866,15,50,0.5053589176233586
Random Forest,22,1.26467748990367,0.7541601139882689,0.2477882645793697,0.8606629101210113,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 25}",1.0019483785676386,12,0.5063718494088991,23,35,0.4955765291587395
Random Forest,20,1.2685484774868454,0.7538789024981085,0.2454858575934165,0.8604788304823672,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.999364760091525,14,0.5083930449046921,26,40,0.4909717151868329
Random Forest,19,1.2777642031403782,0.8140499880793307,0.2400044783150264,0.8798753546956147,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 25}",1.0540544663943572,5,0.5740455097643044,38,43,0.48000895663005283
Random Forest,11,1.2813452030268566,0.7334135082086898,0.237874551783833,0.8520651752092631,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.9712880599925228,25,0.4955389564248568,19,44,0.475749103567666
Random Forest,25,1.288535474958711,0.8316518275569471,0.2335978828534652,0.8659701893838038,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",1.0652497104104124,4,0.5980539447034819,43,47,0.46719576570693044
Random Forest,21,1.2907024105120526,0.7958767439813158,0.2323090211743916,0.8636272056677595,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 25}",1.0281857651557074,8,0.5635677228069242,35,43,0.4646180423487831
Random Forest,13,1.2932613938127528,0.5910190501941528,0.2307869752101841,0.834219651444806,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 25}",0.8218060254043369,53,0.3602320749839687,11,64,0.4615739504203682
Random Forest,44,1.3015220297430687,0.8164528456836924,0.2258736693765409,0.867933965982911,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 25}",1.0423265150602332,7,0.5905791763071515,39,46,0.4517473387530817
