Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
SVR,11,1.0805596205505104,0.437729106177775,0.3572988893305372,0.8447001123992801,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7950279955083122,54,0.08043021684723778,4,58,0.7145977786610744
SVR,20,1.0837059963872508,0.4691926142304359,0.3554274708484858,0.8553242312601155,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8246200850789217,50,0.1137651433819501,9,59,0.7108549416969716
SVR,12,1.0908024120926196,0.4377089044704524,0.3512066262334621,0.8544733974733886,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7889155307039145,57,0.0865022782369903,5,62,0.7024132524669242
SVR,14,1.092383145264346,0.4440106185831342,0.3502664291857295,0.8586899285368891,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7942770477688637,55,0.0937441893974047,6,61,0.700532858371459
SVR,19,1.093080537197063,0.4657274161404441,0.3498516306302357,0.8610196683596977,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8155790467706798,51,0.11587578551020838,10,61,0.6997032612604714
SVR,18,1.094455030669364,0.4659055040039894,0.349034101949305,0.865613628637696,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8149396059532944,52,0.11687140205468438,11,63,0.69806820389861
SVR,17,1.0957958653686506,0.466666594893754,0.3482365930159093,0.8664814091745155,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8149031879096633,53,0.11843000187784469,12,65,0.6964731860318186
SVR,13,1.0986100022756065,0.4427097020194604,0.3465627854061497,0.859070338170036,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7892724874256101,56,0.0961469166133107,7,63,0.6931255708122994
SVR,15,1.1035363047054814,0.4447576749336804,0.343632692533013,0.8625354952378702,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7883903674666934,58,0.10112498240066742,8,66,0.687265385066026
SVR,10,1.1054326462862385,0.3987917189104805,0.3425047762043052,0.8672263422501247,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7412964951147857,60,0.05628694270617529,1,61,0.6850095524086104
SVR,16,1.1212758491222825,0.4547332803906917,0.3330814701084328,0.8685179978314855,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7878147504991245,59,0.12165181028225891,13,72,0.6661629402168656
SVR,9,1.1228204040725027,0.3957832621781048,0.3321627913394717,0.8759771947482394,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7279460535175765,61,0.06362047083863309,2,63,0.6643255826789434
SVR,8,1.137268439906276,0.3917557864197715,0.3235693102387921,0.8806023939495402,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7153250966585636,62,0.0681864761809794,3,65,0.6471386204775842
SVR,62,1.4094558343408672,0.9956932153313436,0.1616762157844434,0.9698481510443268,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.157369431115787,1,0.8340169995469002,15,16,0.3233524315688867
SVR,64,1.4135575171641557,0.9956312745841788,0.159236594632583,0.9733569163490068,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.1548678692167618,2,0.8363946799515958,16,18,0.318473189265166
SVR,65,1.4163741481916363,0.9955994878881164,0.1575613035562927,0.9761793102542772,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.153160791444409,3,0.8380381843318236,17,20,0.31512260711258544
SVR,63,1.4196099608737571,0.995659965963407,0.1556366893423562,0.9741929920246162,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.1512966553057633,4,0.8400232766210508,18,22,0.3112733786847125
SVR,61,1.4213180170975754,0.99569169604058,0.1546207623992647,0.9755040669277308,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.1503124584398448,5,0.8410709336413154,19,24,0.3092415247985294
SVR,60,1.468411150674369,0.9956081457368212,0.1266104530381853,0.9869435985621114,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.1222185987750066,6,0.8689976926986359,20,26,0.2532209060763707
SVR,3,1.4717047966901915,0.2767441107923135,0.1246514404004163,1.0016209691901894,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.4013955511927298,63,0.15209267039189717,14,77,0.24930288080083263
SVR,59,1.4727463738069335,0.9956002998287166,0.1240319255147525,0.9892932364928814,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.119632225343469,7,0.8715683743139641,21,28,0.2480638510295049
SVR,5,1.4805190999953235,0.9956150835463858,0.1194088212832038,0.9496873311958618,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1.1150239048295896,8,0.876206262263182,22,30,0.23881764256640758
SVR,56,1.4819537984997595,0.9955740439119822,0.1185554835267855,0.9892313801738328,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.1141295274387677,9,0.8770185603851968,23,32,0.23711096705357093
SVR,55,1.48928888749053,0.9956113955796498,0.1141926795208152,0.991893728280354,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.109804075100465,10,0.8814187160588346,25,35,0.22838535904163038
SVR,58,1.492066448480731,0.9955260773338273,0.1125406267331635,0.992663581051468,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.1080667040669907,11,0.8829854506006638,26,37,0.2250812534663269
SVR,57,1.492313393428629,0.9955271025669482,0.1123937474779426,0.9937175448224176,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.1079208500448907,12,0.8831333550890056,27,39,0.22478749495588513
SVR,53,1.498873146273083,0.9954838546096596,0.108492102109499,0.9876728578953338,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.1039759567191587,13,0.8869917525001606,28,41,0.2169842042189981
SVR,54,1.499977436915014,0.9954655871385644,0.1078352861332466,0.9880191820379086,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.103300873271811,14,0.8876303010053178,29,43,0.21567057226649322
SVR,49,1.503385292595167,0.995350046679646,0.1058083432520018,1.0048456106607395,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.1011583899316477,15,0.8895417034276442,30,45,0.21161668650400356
SVR,48,1.5085131551691622,0.9951321921758576,0.1027583653433437,0.994068166382676,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.0978905575192013,16,0.8923738268325139,31,47,0.2055167306866874
SVR,52,1.5105695490407585,0.9955100845901674,0.1015352522451737,0.9945353755563754,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.0970453368353412,17,0.8939748323449938,32,49,0.20307050449034747
SVR,47,1.5145622971644244,0.9951015950072204,0.0991604238646758,0.9887561070985592,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.0942620188718961,18,0.8959411711425446,33,51,0.19832084772935155
