Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
XGBoost,11,1.063537227582131,0.8826169318302202,0.3674235605277225,0.8360498852644168,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 25, 'subsample': 0.8}",1.2500404923579427,3,0.5151933713024976,17,20,0.734847121055445
XGBoost,23,1.1084921600559905,0.9156752756998404,0.3406850220134848,0.8358758842993007,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 25, 'subsample': 0.8}",1.2563602977133252,2,0.5749902536863556,26,28,0.6813700440269697
XGBoost,24,1.1302361762608624,0.9147191189988234,0.3277519981437179,0.8524512583806569,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",1.2424711171425413,5,0.5869671208551055,29,34,0.6555039962874358
XGBoost,12,1.1366503766110616,0.6821469375879747,0.3239369252770959,0.8200811246639056,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 25, 'subsample': 0.8}",1.0060838628650706,45,0.35821001231087884,6,51,0.6478738505541917
XGBoost,63,1.141953807367922,0.9514591749759036,0.3207825219725784,0.875405596807169,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.272241696948482,1,0.6306766530033252,35,36,0.6415650439451568
XGBoost,22,1.1491307359458862,0.9132521019474876,0.3165137894745947,0.8637444342452957,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 25, 'subsample': 0.8}",1.2297658914220824,8,0.5967383124728929,31,39,0.6330275789491895
XGBoost,15,1.1516879654208934,0.6888039542984978,0.3149927866603432,0.838501029514629,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 25, 'subsample': 0.8}",1.003796740958841,46,0.37381116763815464,8,54,0.6299855733206865
XGBoost,9,1.1579093430800569,0.6527556041573084,0.3112924019195167,0.8768685209405329,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.9640480060768251,53,0.3414632022377917,5,58,0.6225848038390334
XGBoost,13,1.175338963976728,0.6718697598305204,0.3009255174868638,0.8318179294707095,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 25, 'subsample': 0.8}",0.9727952773173842,52,0.37094424234365664,7,59,0.6018510349737276
XGBoost,61,1.1887035626431504,0.9505052900753318,0.2929764490197437,0.9076172422565988,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.2434817390950754,4,0.6575288410555882,38,42,0.5859528980394872
XGBoost,59,1.195369936935038,0.951319729989194,0.289011386768619,0.8758049257628308,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.240331116757813,6,0.662308343220575,39,45,0.5780227735372381
XGBoost,47,1.1958894164178742,0.9460081279020628,0.2887024079448326,0.919154861751974,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.2347105358468955,7,0.6573057199572302,37,44,0.5774048158896653
XGBoost,29,1.1960378760706771,0.7876378695957647,0.2886141063074853,0.855046061238577,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.0762519759032498,31,0.49902376328827935,15,46,0.5772282126149705
XGBoost,30,1.2037503720743774,0.7904378806467185,0.2840268261117967,0.8644121019592361,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.0744647067585151,33,0.5064110545349219,16,49,0.5680536522235933
XGBoost,16,1.2048118962562635,0.7174937654586373,0.2833954470025597,0.8513608140834327,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.000889212461197,47,0.4340983184560776,11,58,0.5667908940051194
XGBoost,14,1.205594796323233,0.4919032982312389,0.2829297894552898,0.860690133772835,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 25, 'subsample': 0.8}",0.7748330876865287,57,0.2089735087759491,2,59,0.5658595789105796
XGBoost,49,1.2111864214140051,0.9477581975840852,0.2796039723620546,0.8489997076763518,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.2273621699461397,9,0.6681542252220306,41,50,0.5592079447241091
XGBoost,34,1.2126265622871075,0.799185857898963,0.2787473975640884,0.8503544199345802,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.0779332554630514,30,0.5204384603348746,18,48,0.5574947951281768
XGBoost,21,1.216731520142636,0.7561544094263576,0.2763058284707929,0.8668899090214637,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.0324602378971504,39,0.4798485809555647,12,51,0.5526116569415856
XGBoost,28,1.229715675378683,0.7896967925694027,0.2685830422102245,0.8597651255050143,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 25, 'subsample': 0.8}",1.0582798347796272,36,0.5211137503591783,19,55,0.5371660844204489
XGBoost,64,1.2385386808355958,0.8268190508819037,0.263335247179987,0.8566082230476022,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.0901542980618908,29,0.5634838037019166,23,52,0.5266704943599742
XGBoost,38,1.2434969804325609,0.9304585336698048,0.2603861228582973,0.8314214087250673,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.1908446565281021,15,0.6700724108115075,42,57,0.5207722457165946
XGBoost,20,1.2458191650351542,0.7479893771016005,0.2590049213078396,0.8958294697499364,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.00699429840944,44,0.48898445579376093,13,57,0.5180098426156791
XGBoost,51,1.2487583021605493,0.9517464010379756,0.257256765390317,0.8986728018621951,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.2090031664282925,12,0.6944896356476586,44,56,0.5145135307806339
