Model,PC,MSE,R2,Q2,MAE,Best Params
AdaBoost,1,6.177073419171183,0.583937478773451,-0.1483516288732578,2.32608471132065,{'n_estimators': 100}
AdaBoost,2,4.246686555446135,0.7303097504319469,0.2105178144515127,1.870606292679006,{'n_estimators': 100}
AdaBoost,3,4.358897897440042,0.7991733554953881,0.1896571141469262,1.9278275755281948,{'n_estimators': 100}
AdaBoost,4,4.733662813612192,0.832264503030435,0.1199862728395904,2.004481387231206,{'n_estimators': 100}
AdaBoost,5,4.165112070791936,0.8148467864395219,0.2256829559303904,1.8787297689553588,{'n_estimators': 100}
AdaBoost,6,3.05329189907736,0.8482752298632481,0.4323763880077914,1.5969534788003954,{'n_estimators': 50}
AdaBoost,7,4.1098277315813885,0.901987910972388,0.2359606160253116,1.867603324037857,{'n_estimators': 50}
AdaBoost,8,4.210169121879583,0.8624262695970866,0.2173066044614017,1.8200232091429605,{'n_estimators': 50}
AdaBoost,9,2.6623157668096558,0.9137462856432728,0.5050609827783077,1.4409314301428953,{'n_estimators': 100}
AdaBoost,10,2.9938941393761365,0.9160918725241117,0.4434187554001924,1.5166242669056615,{'n_estimators': 50}
