Model,PC,MSE,R2,Q2,MAE,Best Params
MLP,1,4.495720269111526,0.208064826103877,0.1642210892346089,1.945610027798692,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}"
MLP,2,3.864546295058456,0.6510602035004213,0.281559772462289,1.796055645931952,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100)}"
MLP,3,5.701711712709872,0.4403966737387914,-0.0599792957511329,2.249052121133301,"{'alpha': 0.001, 'hidden_layer_sizes': (100,)}"
MLP,4,3.547932214392533,0.5753279064708292,0.3404200563838789,1.730881966247393,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}"
MLP,5,3.203952746849709,0.6875310011623137,0.4043677149345779,1.642406948687797,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}"
MLP,6,2.9652315102421274,0.9078301047003724,0.4487472944380601,1.5101371681101503,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100)}"
MLP,7,4.098992768006065,0.9200170639614396,0.2379748948311759,1.8057896437964416,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100)}"
MLP,8,2.8248546654021016,0.8640448788717296,0.4748441152930341,1.4689670647654696,"{'alpha': 0.001, 'hidden_layer_sizes': (100,)}"
MLP,9,3.913773972338877,0.947184987067384,0.2724080788438887,1.725800981832929,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100)}"
MLP,10,2.4287258958534896,0.8606022427601636,0.5484866134286228,1.3932847895294602,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}"
