Model,PC,MSE,R2,Q2,MAE,Best Params
Random Forest,1,4.53584240331249,0.8628140633273139,0.1567621657222945,1.8460003089901984,"{'max_depth': None, 'n_estimators': 100}"
Random Forest,2,3.7785366890240906,0.8480255830169784,0.2975494271880642,1.6796302529369636,"{'max_depth': None, 'n_estimators': 200}"
Random Forest,3,4.440271514088493,0.8545159021736788,0.1745293151255419,1.9305152868276847,"{'max_depth': None, 'n_estimators': 200}"
Random Forest,4,3.816058776539601,0.8586575308613424,0.2905738665312277,1.8079800235270465,"{'max_depth': None, 'n_estimators': 200}"
Random Forest,5,3.5278982471649742,0.8575163025302557,0.3441444801258987,1.7200520849139784,"{'max_depth': None, 'n_estimators': 200}"
Random Forest,6,2.94599342144547,0.8502436875666777,0.4523237600402796,1.5558307303958392,"{'max_depth': None, 'n_estimators': 200}"
Random Forest,7,3.0294704894039257,0.8578311215810166,0.4368049179513801,1.6109982650601886,"{'max_depth': None, 'n_estimators': 200}"
Random Forest,8,2.6539541449582944,0.8591985973514085,0.5066154538718892,1.379738618157286,"{'max_depth': None, 'n_estimators': 200}"
Random Forest,9,1.8503560073204548,0.8706986223094509,0.6560087292459336,1.141888268226836,"{'max_depth': None, 'n_estimators': 200}"
Random Forest,10,1.917142275330284,0.8705887736308834,0.6435927978734124,1.1798490007537472,"{'max_depth': None, 'n_estimators': 200}"
