Model,PC,MSE,R2,Q2,MAE,Best Params
SVR,1,4.373363158999083,0.1789651123047184,0.1869679431518321,1.923769627018312,"{'C': 1, 'gamma': 'scale'}"
SVR,2,4.832425024347177,0.4616479622230716,0.1016258393668955,1.9180363149688304,"{'C': 1, 'gamma': 'auto'}"
SVR,3,4.7100392179308335,0.4818872231960953,0.124378028083479,1.9952597330378068,"{'C': 1, 'gamma': 'auto'}"
SVR,4,5.367573877072233,0.0498332373863342,0.0021387497672822,2.1368867659058286,"{'C': 0.1, 'gamma': 'auto'}"
SVR,5,5.363507121623891,0.0529977263120532,0.0028947817789528,2.131935923118567,"{'C': 0.1, 'gamma': 'auto'}"
SVR,6,5.39069143749353,0.0491051888342968,-0.0021589307626237,2.1375931887078075,"{'C': 0.1, 'gamma': 'auto'}"
SVR,7,5.386161727596247,0.0494966589124955,-0.0013168329946544,2.1361701550642533,"{'C': 0.1, 'gamma': 'auto'}"
SVR,8,5.392656967359152,0.0485165058751451,-0.0025243334816169,2.136956532324872,"{'C': 0.1, 'gamma': 'auto'}"
SVR,9,2.167828284332856,0.8171899138400709,0.5969889019442516,1.2967517019352628,"{'C': 10, 'gamma': 'scale'}"
SVR,10,1.9486399863539376,0.8161279330288221,0.6377372016540874,1.2490787795889224,"{'C': 10, 'gamma': 'scale'}"
