Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
MLP,10,2.499363590173767,0.8571719903702243,0.5353546809052394,1.406685661047325,"{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'random_state': 42}",1.3925266712754638,4,0.3218173094649849,2,6,1.0707093618104788
MLP,9,2.659148168496737,0.9472855434458356,0.5056498565758841,1.4425674993250797,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'random_state': 42}",1.4529354000217198,1,0.44163568686995147,4,5,1.0112997131517685
MLP,11,2.950935453148908,0.981923988265034,0.4514050094003775,1.535721428283067,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'random_state': 42}",1.4333289976654116,3,0.5305189788646565,7,10,0.9028100188007551
MLP,29,3.0038740092935043,0.9999005881480656,0.4415634431677063,1.4685785013553685,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'random_state': 42}",1.4414640313157718,2,0.5583371449803594,8,10,0.8831268863354125
MLP,16,3.1971592924977528,0.9678660810390964,0.4056306551396487,1.434781089707547,"{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'random_state': 42}",1.3734967361787451,5,0.5622354258994477,9,14,0.8112613102792974
MLP,6,3.33539985234016,0.9471487416495156,0.3799309813137418,1.6459706974006991,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'random_state': 42}",1.3270797229632574,9,0.5672177603357738,10,19,0.7598619626274836
MLP,22,3.4327216075300964,0.9999286522055532,0.3618383363808986,1.5696111256071474,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'random_state': 42}",1.3617669885864516,6,0.6380903158246546,13,19,0.723676672761797
MLP,24,3.563176496923052,0.9997874345754366,0.3375860611426058,1.6741803480742738,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'random_state': 42}",1.3373734957180425,7,0.6622013734328308,15,22,0.6751721222852117
MLP,25,3.5752176869114605,0.9998299450986466,0.3353475382696469,1.6004897969214935,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'random_state': 42}",1.3351774833682937,8,0.6644824068289997,16,24,0.6706950765392939
MLP,7,3.753066805113847,0.947867942507825,0.3022844174805166,1.781428977865585,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'random_state': 42}",1.2501523599883417,11,0.6455835250273084,14,25,0.6045688349610333
MLP,28,3.989089616577671,0.9998947953935956,0.2584064899243157,1.7334339096340718,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'random_state': 42}",1.2583012853179114,10,0.7414883054692799,18,28,0.5168129798486315
