Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Random Forest,12,2.167078421752488,0.8400700961053892,0.5971283054865382,1.3015280910555105,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",1.4371984015919272,1,0.24294179061885102,10,11,1.1942566109730763
Random Forest,11,2.2944785402963856,0.6466602041877043,0.573443928805103,1.357298966941983,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",1.2201041329928073,6,0.07321627538260134,1,7,1.146887857610206
Random Forest,16,2.369154989080031,0.7909389371820401,0.5595611698058298,1.382591047349874,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",1.35050010698787,3,0.2313777673762103,9,12,1.1191223396116596
Random Forest,21,2.5156155288890143,0.8336411318546249,0.5323333568850196,1.4264995016464537,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",1.3659744887396443,2,0.30130777496960526,15,17,1.064666713770039
Random Forest,14,2.5753517041569327,0.6226411165821354,0.5212280761935726,1.4877773224055777,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",1.1438691927757079,12,0.1014130403885628,2,14,1.0424561523871452
Random Forest,9,2.603190038927918,0.6677895300391423,0.5160527779722235,1.381631744480047,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",1.1838423080113658,9,0.15173675206691883,5,14,1.032105555944447
Random Forest,18,2.740396828681695,0.8500576199754251,0.4905452876423835,1.4681951788967489,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 25}",1.3406029076178085,4,0.3595123323330416,20,24,0.981090575284767
Random Forest,17,2.76438302276178,0.8350330459777828,0.4860861233791178,1.5275827155262076,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",1.3211191693569007,5,0.34894692259866505,17,22,0.9721722467582357
Random Forest,15,2.795103786502193,0.5928113461830224,0.4803749658960217,1.5595547780671304,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",1.0731863120790441,17,0.11243638028700076,4,21,0.9607499317920434
Random Forest,10,2.847525375394484,0.5722844358266286,0.4706295066942978,1.5620531383116123,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",1.0429139425209264,19,0.10165492913233076,3,22,0.9412590133885956
