Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
KNN,10,4.286111029559145,0.4577132070057,0.2031885897535129,1.7655073560272485,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",0.6609017967592129,2,0.2545246172521871,8,10,0.4063771795070258
KNN,11,4.33436017225656,0.4794753823148701,0.1942188110495148,1.774817734197744,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",0.6736941933643849,1,0.2852565712653553,9,10,0.38843762209902954
KNN,29,4.675920355567862,0.5197587249214728,0.1307209106285076,1.897585449094372,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",0.6504796355499805,3,0.3890378142929652,10,13,0.26144182125701526
KNN,18,4.971483453747656,0.5415181167945785,0.0757741191307415,1.872242335025088,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",0.61729223592532,5,0.465743997663837,14,19,0.151548238261483
KNN,17,4.971483453747656,0.5415181167945785,0.0757741191307415,1.872242335025088,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",0.61729223592532,4,0.465743997663837,15,19,0.151548238261483
KNN,14,5.030468593118177,0.5259012538292005,0.0648084601076142,1.8090374086865324,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",0.5907097139368147,6,0.4610927937215863,13,19,0.12961692021522842
KNN,1,5.034251515280595,0.1060529190394798,0.0641051942513867,2.049645354850924,"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}",0.1701581132908665,19,0.04194772478809311,3,22,0.1282103885027734
KNN,12,5.047904713658774,0.4912457684560996,0.0615669902293573,1.831074188538761,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",0.5528127586854569,8,0.4296787782267423,12,20,0.1231339804587146
KNN,13,5.047904713658774,0.4912457684560996,0.0615669902293573,1.831074188538761,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",0.5528127586854569,9,0.4296787782267423,11,20,0.1231339804587146
KNN,2,5.107829245740368,0.0813975884923096,0.0504266929792397,2.074100223334107,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",0.1318242814715493,20,0.030970895513069904,2,22,0.10085338595847938
KNN,3,5.15247762140574,0.0547107581656607,0.0421263164995389,2.0795673498063696,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}",0.0968370746651996,21,0.012584441666121798,1,22,0.0842526329990778
