TSNE1,TSNE2
29.105637,-44.043415
-29.794167,-4.4932723
4.873153,-62.457916
-18.716026,-56.941902
-48.763443,10.936984
19.004381,-56.916008
9.304064,-44.83126
-1.6031704,-5.433971
-5.277413,-35.997265
-6.033729,-51.081505
51.92225,-20.328188
-33.62987,-59.800014
-4.933832,22.896393
-49.68853,39.167294
-36.757614,-22.347189
-19.479816,-37.781292
-26.692516,26.469011
-26.84165,9.02871
-14.546606,-2.0689278
35.327324,-23.533731
8.188891,18.323944
8.186793,38.71013
-48.094776,-11.660328
29.55346,-1.302863
-53.87224,-25.736412
-3.5821698,-18.24397
-38.58922,-42.56696
-10.802667,-69.93093
-8.045914,39.97284
-0.7596994,7.655265
-64.29376,-5.9341435
34.1037,24.906406
-13.718981,11.613422
67.215416,-9.01192
23.118557,54.771976
59.430492,28.97472
10.906688,0.3006193
19.550533,26.214518
46.694195,-33.7819
59.15308,45.52326
74.41824,41.722794
20.419262,10.761849
54.908264,-0.684751
30.435944,39.690464
12.797478,-14.831367
74.78114,25.360973
46.38646,18.512833
45.513016,34.70573
-19.960855,-16.748766
65.16394,11.373953
40.89687,52.45507
2.5323243,54.42834
