Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Gradient Boosting,17,0.4031797131034902,0.9568336716805445,0.5140000496565906,0.5453321551983633,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.4708337213371352,2,0.4428336220239538,11,13,1.0280000993131813
Gradient Boosting,7,0.4131922962223758,0.9772771175239152,0.5019307050431662,0.4922335805320663,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.4792078225670813,1,0.47534641248074905,14,15,1.0038614100863321
Gradient Boosting,20,0.4218925888471761,0.9557409529804508,0.4914432185794295,0.5243777078035672,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.4471841715598803,4,0.4642977344010213,13,17,0.982886437158859
Gradient Boosting,8,0.4306763406290294,0.8998083361836317,0.4808551289730614,0.4975274179407395,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.380663465156693,13,0.4189532072105703,3,16,0.9617102579461226
Gradient Boosting,19,0.4349242142316987,0.955030472698752,0.4757346670726572,0.5619733436664078,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.4307651397714092,6,0.47929580562609475,15,21,0.9514693341453144
Gradient Boosting,21,0.4470295996085187,0.9537097769113688,0.4611426216377913,0.5478502218503456,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.4148523985491601,8,0.49256715527357753,16,24,0.9222852432755826
Gradient Boosting,18,0.4472657748847359,0.9581105424163732,0.4608579317866318,0.5718584764963358,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.4189684742030049,7,0.49725261062974135,17,24,0.9217158635732635
Gradient Boosting,29,0.4503692511306114,0.8823747062018013,0.4571169466815596,0.5654627433603988,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.339491652883361,14,0.42525775952024164,6,20,0.9142338933631193
Gradient Boosting,28,0.4505167750392989,0.9920942636806628,0.4569391187552866,0.5270017617593777,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.4490333824359494,3,0.5351551449253762,26,29,0.9138782375105732
Gradient Boosting,11,0.4549623212467893,0.8385360135078999,0.4515803788041642,0.5157355150060245,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.290116392312064,17,0.3869556347037357,2,19,0.9031607576083283
