Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
MLP,3,0.523732079584067,0.8430894628705662,0.3686840969456912,0.5249537257130105,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",1.2117735598162573,1,0.474405365924875,5,6,0.7373681938913823
MLP,8,0.8746113524709496,0.7984951665753641,-0.0542719786140546,0.721542450759813,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",0.7442231879613095,5,0.8527671451894188,11,16,-0.10854395722810928
MLP,9,0.970599864686811,0.8924625390611144,-0.1699782273520012,0.7319875335764912,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",0.7224843117091132,6,1.0624407664131157,14,20,-0.3399564547040025
MLP,18,0.9785248251179366,0.959670670218885,-0.1795311146893954,0.7909349625634907,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",0.7801395555294895,2,1.1392017849082803,15,17,-0.35906222937879073
MLP,16,0.996274032872974,0.9588310457585456,-0.2009263233450668,0.7540154984708889,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",0.7579047224134788,3,1.1597573691036125,16,19,-0.40185264669013365
MLP,10,1.027241737384396,0.9842972382980544,-0.2382553415611628,0.732321202926919,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",0.7460418967368916,4,1.2225525798592172,17,21,-0.4765106831223256
MLP,2,1.0561654710378257,0.6486400471053095,-0.2731205211881562,0.7079185852783989,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",0.3755195259171533,7,0.9217605682934658,13,20,-0.5462410423763124
MLP,7,1.0625451190527286,0.2409330971621789,-0.2808106616334305,0.7586461947403742,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",-0.0398775644712516,13,0.5217437587956094,6,19,-0.561621323266861
MLP,31,1.1986539062576955,-0.0341350725551401,-0.4448785987668053,0.911733173473536,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-0.4790136713219454,15,0.4107435262116652,4,19,-0.8897571975336106
MLP,30,1.286671711865501,-0.3319267189021062,-0.5509768169173532,0.9700231829162788,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.8829035358194595,24,0.21905009801524705,1,25,-1.1019536338347065
