Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Random Forest,11,0.5100134030257353,0.6362924346165089,0.3852208320775383,0.5282186428726457,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.0215132666940472,4,0.25107160253897054,13,17,0.7704416641550766
Random Forest,10,0.5130536508371573,0.521140511766691,0.3815560636446001,0.5598084285243446,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.902696575411291,12,0.13958444812209087,2,14,0.7631121272892001
Random Forest,19,0.5158633025540544,0.6412985031209939,0.3781692598186255,0.6067965580891843,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.0194677629396194,5,0.2631292433023684,16,21,0.756338519637251
Random Forest,4,0.5218615071312992,0.4650769942118182,0.3709389180331937,0.559074835811284,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.8360159122450119,23,0.09413807617862452,1,24,0.7418778360663874
Random Forest,22,0.5282185048221999,0.6442204660352584,0.3632760806887019,0.6046693628671833,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.0074965467239603,6,0.2809443853465565,18,24,0.7265521613774037
Random Forest,7,0.5318829264992001,0.5482979912130712,0.3588589220490699,0.5661445301105557,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.9071569132621411,11,0.18943906916400133,7,18,0.7177178440981398
Random Forest,9,0.5333942060852617,0.5023751364826294,0.357037198931785,0.5537494924627477,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.8594123354144144,17,0.14533793755084445,5,22,0.71407439786357
Random Forest,17,0.5438894989913989,0.5814009784054053,0.3443859874113457,0.5942901016228448,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.925786965816751,9,0.2370149909940596,12,21,0.6887719748226915
Random Forest,21,0.5449619550354081,0.7056456515657812,0.3430932299456443,0.593141188162497,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.0487388815114254,1,0.3625524216201369,21,22,0.6861864598912885
Random Forest,16,0.552144103727949,0.7019224228401465,0.3344357410033921,0.6154721665078149,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.0363581638435386,2,0.3674866818367544,23,25,0.6688714820067843
Random Forest,14,0.5568023241699251,0.5596554688170785,0.3288206397720761,0.6050165844539603,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.8884761085891546,13,0.2308348290450024,11,24,0.6576412795441522
Random Forest,26,0.5610356892008368,0.7080689182496489,0.3237176667604342,0.6359578341378259,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.0317865850100831,3,0.38435125148921473,27,30,0.6474353335208685
Random Forest,18,0.5610843126761962,0.5306899449337834,0.3236590551640613,0.6114263534236526,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.8543490000978446,19,0.20703088976972212,8,27,0.6473181103281225
Random Forest,6,0.5692892099728846,0.4977965721382036,0.3137687269824452,0.6148850533413227,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.8115652991206488,24,0.18402784515575843,6,30,0.6275374539648904
Random Forest,8,0.5701710358572617,0.5344480793488704,0.312705758479591,0.6026169219030105,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8471538378284613,20,0.22174232086927942,10,30,0.6254115169591818
Random Forest,12,0.5732630439451024,0.5275418136959296,0.3089785972948558,0.6075605509918682,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.8365204109907853,22,0.2185632164010738,9,31,0.6179571945897115
Random Forest,5,0.5735231936349908,0.5688730995149196,0.3086650082618303,0.5864801723055112,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8775381077767499,15,0.2602080912530893,14,29,0.6173300165236606
Random Forest,30,0.5755848874490901,0.5766676068232426,0.3061798061082725,0.6427051453959753,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.8828474129315151,14,0.2704878007149701,17,31,0.6123596122165451
Random Forest,13,0.5833903697123074,0.6682030492688161,0.2967709398656493,0.6233584913437838,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.9649739891344654,7,0.37143210940316684,25,32,0.5935418797312986
Random Forest,15,0.5863468186190636,0.615118034489474,0.2932071841131184,0.6119234117780838,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9083252186025924,10,0.3219108503763556,20,30,0.5864143682262368
Random Forest,3,0.588770635347572,0.4340415692239988,0.2902854725998353,0.5900200126104779,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.7243270418238341,29,0.1437560966241635,4,33,0.5805709451996706
Random Forest,20,0.5900614780847829,0.6518492019867272,0.2887294679552648,0.6607133413164714,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.940578669941992,8,0.36311973403146247,22,30,0.5774589359105295
Random Forest,2,0.5972827279671548,0.4208608018756951,0.280024845747874,0.5827256488220027,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.7008856476235691,31,0.14083595612782107,3,34,0.560049691495748
Random Forest,27,0.6254615037994564,0.6237681153217236,0.2460576514418415,0.6705350076673893,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.8698257667635652,16,0.3777104638798821,26,42,0.49211530288368305
