Model,PC,MSE,R2,Q2,MAE,Best Params
MLP,1,4.495720269111526,0.208064826103877,0.1642210892346089,1.945610027798692,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}"
MLP,2,5.945411560519414,0.3165579527622559,-0.105284426222741,2.230188960403172,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}"
MLP,3,5.701711712709872,0.4403966737387914,-0.0599792957511329,2.249052121133301,"{'alpha': 0.001, 'hidden_layer_sizes': (100,)}"
MLP,4,3.5476771442494863,0.5753231705935922,0.3404674753142311,1.7308279786531244,"{'alpha': 0.001, 'hidden_layer_sizes': (100,)}"
MLP,5,3.2045860140415643,0.6875409669501062,0.4042499871107475,1.642343608011288,"{'alpha': 0.001, 'hidden_layer_sizes': (100,)}"
MLP,6,2.9652315102421274,0.9078301047003724,0.4487472944380601,1.5101371681101503,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100)}"
MLP,7,2.5208139106037235,0.8504109205363262,0.5313669493802838,1.2696766427836244,"{'alpha': 0.001, 'hidden_layer_sizes': (100,)}"
MLP,8,3.5302895973806625,0.9345002090879276,0.3436999150820594,1.6883073399757915,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100)}"
MLP,9,3.913773972338877,0.947184987067384,0.2724080788438887,1.725800981832929,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100)}"
MLP,10,2.4287258958534896,0.8606022427601636,0.5484866134286228,1.3932847895294602,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}"
