Model,PC,MSE,R2,Q2,MAE,Best Params
SVR,1,5.206274912488027,0.0479792393682637,0.0321251067597324,2.111479859111228,"{'C': 0.1, 'gamma': 'auto'}"
SVR,2,5.451904727117984,0.0572545791419433,-0.0135388150668585,2.146276711328436,"{'C': 0.1, 'gamma': 'auto'}"
SVR,3,5.364009535910531,0.0509940849906913,0.0028013802236722,2.1362572290092285,"{'C': 0.1, 'gamma': 'auto'}"
SVR,4,5.367573877072233,0.0498332373863342,0.0021387497672822,2.1368867659058286,"{'C': 0.1, 'gamma': 'auto'}"
SVR,5,5.363507121623891,0.0529977263120532,0.0028947817789528,2.131935923118567,"{'C': 0.1, 'gamma': 'auto'}"
SVR,6,5.39069143749353,0.0491051888342968,-0.0021589307626237,2.1375931887078075,"{'C': 0.1, 'gamma': 'auto'}"
SVR,7,5.386161727596247,0.0494966589124955,-0.0013168329946544,2.1361701550642533,"{'C': 0.1, 'gamma': 'auto'}"
SVR,8,5.392656967359152,0.0485165058751451,-0.0025243334816169,2.136956532324872,"{'C': 0.1, 'gamma': 'auto'}"
SVR,9,5.407186521512958,0.0469130550095562,-0.0052254568206311,2.139154559489485,"{'C': 0.1, 'gamma': 'auto'}"
SVR,10,5.408823706944658,0.046427244372463816,-0.005529818519073082,2.1393877033036297,"{'C': 0.1, 'gamma': 'auto'}"
