Model,PC,MSE,R2,Q2,MAE,Best Params
Gradient Boosting,1,4.782096214305501,0.4663591109996899,0.110982239569496,2.0099469427005228,"{'learning_rate': 0.01, 'n_estimators': 100}"
Gradient Boosting,2,4.716275931035471,0.4889706685787494,0.1232185891118946,2.0055427850756664,"{'learning_rate': 0.01, 'n_estimators': 100}"
Gradient Boosting,3,4.645715116882486,0.4963672892723229,0.1363362291929925,1.991913177963296,"{'learning_rate': 0.01, 'n_estimators': 100}"
Gradient Boosting,4,3.648805219301158,0.5414869639166133,0.3216672147652823,1.7726086582263527,"{'learning_rate': 0.01, 'n_estimators': 100}"
Gradient Boosting,5,3.756142992460564,0.5312445994129174,0.3017125374799716,1.795812707104818,"{'learning_rate': 0.01, 'n_estimators': 100}"
Gradient Boosting,6,3.861816592766664,0.5512172504694524,0.2820672390019273,1.81125414304097,"{'learning_rate': 0.01, 'n_estimators': 100}"
Gradient Boosting,7,4.152286453906286,0.5928455554037,0.2280673080406031,1.9368918287411203,"{'learning_rate': 0.01, 'n_estimators': 100}"
Gradient Boosting,8,4.40656954075576,0.6170458373217225,0.1807946957267781,1.844949710815436,"{'learning_rate': 0.01, 'n_estimators': 100}"
Gradient Boosting,9,3.0403555684159653,0.6850838084826829,0.4347813224125777,1.5468472870093828,"{'learning_rate': 0.01, 'n_estimators': 100}"
Gradient Boosting,10,3.0522609430692564,0.6850838084826829,0.432568048350945,1.5513414848711429,"{'learning_rate': 0.01, 'n_estimators': 100}"
Gradient Boosting,11,3.0366185858677808,0.6850838084826829,0.4354760478440352,1.5464823202386109,"{'learning_rate': 0.01, 'n_estimators': 100}"
Gradient Boosting,12,3.1351796440742024,0.7017910025707166,0.4171530097231766,1.522932202721211,"{'learning_rate': 0.01, 'n_estimators': 100}"
Gradient Boosting,13,3.6039526142751,0.7081554984892381,0.3300055585966874,1.7371478068101758,"{'learning_rate': 0.01, 'n_estimators': 100}"
Gradient Boosting,14,3.571906944408959,0.7081554984892381,0.3359630233525549,1.7319255880120834,"{'learning_rate': 0.01, 'n_estimators': 100}"
