Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
AdaBoost,15,0.6967901591632669,0.9068297152788948,0.3783855038254948,0.6231257997713118,"{'learning_rate': 0.1, 'n_estimators': 200}",1.2852152191043895,1,0.5284442114534,5,6,0.7567710076509895
AdaBoost,16,0.7171615416016398,0.9158878982687312,0.3602119598047043,0.6651428470609196,"{'learning_rate': 0.1, 'n_estimators': 200}",1.2760998580734355,2,0.5556759384640269,6,8,0.7204239196094087
AdaBoost,28,0.733096378794159,0.911678328002406,0.3459963087040267,0.634976394707546,"{'learning_rate': 0.05, 'n_estimators': 50}",1.2576746367064326,3,0.5656820192983794,7,10,0.6919926174080533
AdaBoost,34,0.7624676323600121,0.9265361819735196,0.3197938763831169,0.6997374338532425,"{'learning_rate': 0.05, 'n_estimators': 100}",1.2463300583566366,4,0.6067423055904027,10,14,0.6395877527662339
AdaBoost,29,0.7918476594325842,0.9171769010240796,0.2935836171161934,0.678846346164254,"{'learning_rate': 0.1, 'n_estimators': 50}",1.210760518140273,5,0.6235932839078862,11,16,0.5871672342323868
AdaBoost,41,0.7937833136916062,0.918794012641422,0.2918567977414266,0.6730438135433078,"{'learning_rate': 0.1, 'n_estimators': 50}",1.2106508103828486,6,0.6269372148999954,12,18,0.5837135954828532
AdaBoost,39,0.7992154516465094,0.9195891511343252,0.287010725141833,0.6824560497316556,"{'learning_rate': 0.1, 'n_estimators': 50}",1.206599876276158,9,0.6325784259924921,13,22,0.5740214502836659
AdaBoost,30,0.8034632255194906,0.9215589992982136,0.2832212373294804,0.7090966629630213,"{'learning_rate': 0.05, 'n_estimators': 100}",1.204780236627694,10,0.6383377619687332,15,25,0.5664424746589609
AdaBoost,46,0.8044448833845217,0.9208251147095384,0.2823454890842414,0.66563227770212,"{'learning_rate': 0.1, 'n_estimators': 50}",1.20317060379378,11,0.638479625625297,16,27,0.5646909781684829
AdaBoost,31,0.8078727138916124,0.930833818272301,0.2792874821568825,0.7013651864892317,"{'learning_rate': 0.05, 'n_estimators': 200}",1.2101213004291835,7,0.6515463361154186,22,29,0.558574964313765
AdaBoost,33,0.8120280175900617,0.9244261689483598,0.2755804880482609,0.7196866798426911,"{'learning_rate': 0.1, 'n_estimators': 100}",1.2000066569966208,13,0.6488456809000989,20,33,0.5511609760965219
AdaBoost,32,0.81350120266088,0.9258110707310367,0.2742662427428046,0.7052717158878329,"{'learning_rate': 0.05, 'n_estimators': 100}",1.2000773134738414,12,0.6515448279882321,21,33,0.5485324854856093
AdaBoost,36,0.8176884120269063,0.9373348237866084,0.2705307852220423,0.7180367897074904,"{'learning_rate': 0.05, 'n_estimators': 200}",1.2078656090086506,8,0.666804038564566,26,34,0.5410615704440845
AdaBoost,40,0.8282907510000206,0.9294022629863942,0.2610723169696233,0.7397891355118321,"{'learning_rate': 0.1, 'n_estimators': 100}",1.1904745799560175,14,0.6683299460167709,27,41,0.5221446339392466
AdaBoost,35,0.8334408280107795,0.9250195059621644,0.256477874174755,0.7200180912703342,"{'learning_rate': 0.05, 'n_estimators': 100}",1.1814973801369195,16,0.6685416317874094,28,44,0.5129557483495101
AdaBoost,21,0.8350612073694552,0.9097952184735836,0.2550323151561484,0.7279661711450395,"{'learning_rate': 0.05, 'n_estimators': 100}",1.164827533629732,19,0.6547629033174351,25,44,0.5100646303122969
