Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Gradient Boosting,46,0.4523321218226629,0.9652483246484468,0.2349130907859881,0.5324529007220473,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.2001614154344349,1,0.7303352338624587,4,5,0.4698261815719762
Gradient Boosting,49,0.4799824646640239,0.966239259053514,0.1881445454570353,0.5376607391135179,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.1543838045105494,2,0.7780947135964787,11,13,0.3762890909140707
Gradient Boosting,51,0.4991617777690101,0.9519097947669436,0.1557041312648841,0.5438215022875573,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",1.1076139260318276,3,0.7962056635020595,12,15,0.31140826252976817
Gradient Boosting,17,0.502471935643563,0.90919756961917,0.1501052397975988,0.5865747693800998,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",1.0593028094167687,15,0.7590923298215712,8,23,0.30021047959519753
Gradient Boosting,19,0.5030065291692979,0.9143795285409884,0.1492010137023078,0.5851985406669502,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",1.0635805422432962,14,0.7651785148386806,9,23,0.29840202740461563
Gradient Boosting,41,0.5053693752559211,0.9525453938088788,0.1452044312750451,0.5722857811661874,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",1.097749825083924,5,0.8073409625338337,14,19,0.29040886255009024
Gradient Boosting,33,0.5094676647036183,0.8783467491010076,0.1382724725320567,0.586581587963197,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",1.0166192216330643,27,0.740074276568951,5,32,0.2765449450641133
Gradient Boosting,25,0.5192043271254811,0.9654099997153626,0.1218036156921177,0.5686947649094966,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.0872136154074803,10,0.8436063840232448,19,29,0.24360723138423546
Gradient Boosting,18,0.5198400111453763,0.922105705664528,0.1207284023730668,0.6066646205492461,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.0428341080375947,17,0.8013773032914612,13,30,0.2414568047461335
Gradient Boosting,35,0.524323433530216,0.8891350231882718,0.1131450192578106,0.6011521254883337,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",1.0022800424460823,30,0.7759900039304611,10,40,0.22629003851562113
Gradient Boosting,29,0.5248454077715542,0.9946038731047164,0.1122621377649254,0.6031454687959971,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.1068660108696418,4,0.882341735339791,24,28,0.22452427552985077
Gradient Boosting,50,0.5282316243009862,0.914756913635891,0.1065345986107455,0.575302244712766,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.0212915122466364,24,0.8082223150251454,15,39,0.21306919722149098
Gradient Boosting,48,0.5288092317674088,0.9860343676012314,0.105557617560973,0.5719270421345126,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.0915919851622045,7,0.8804767500402584,22,29,0.21111523512194608
Gradient Boosting,31,0.5304466736178592,0.9914842425615036,0.1027880036778582,0.6038621676138352,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.0942722462393617,6,0.8886962388836454,26,32,0.20557600735571635
Gradient Boosting,44,0.5338387117435871,0.9926882457713588,0.0970506177166491,0.5640555158517533,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.0897388634880079,9,0.8956376280547097,28,37,0.19410123543329816
Gradient Boosting,30,0.5345332088708142,0.9956012048011484,0.0958759263009982,0.5979877153541483,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.0914771311021467,8,0.8997252785001503,30,38,0.19175185260199645
Gradient Boosting,36,0.5349457459677711,0.9811051522105724,0.0951781497840995,0.6163112560200554,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.0762833019946718,11,0.8859270024264729,25,36,0.19035629956819888
Gradient Boosting,26,0.5362669245430113,0.9734374013197364,0.0929434722454424,0.5791201255503413,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.0663808735651787,13,0.880493929074294,23,36,0.18588694449088472
Gradient Boosting,12,0.5410158254914639,0.784477161468301,0.0849110514344358,0.5908022692924638,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.8693882129027368,45,0.6995661100338653,3,48,0.16982210286887156
Gradient Boosting,43,0.5469561295794477,0.992580595107491,0.0748634588023813,0.5912584109995388,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.0674440539098722,12,0.9177171363051096,35,47,0.14972691760476253
Gradient Boosting,47,0.5495089480900411,0.985708390146086,0.070545551826896,0.5843072644607836,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.056253941972982,16,0.91516283831919,34,50,0.14109110365379196
Gradient Boosting,32,0.5512719669095217,0.9656090051822932,0.0675635336274205,0.5946065573949699,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.0331725388097137,21,0.8980454715548727,29,50,0.13512706725484103
Gradient Boosting,14,0.5559707119435583,0.8088426143985681,0.0596159479003888,0.6023966202683141,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.8684585622989569,46,0.7492266664981793,7,53,0.11923189580077764
Gradient Boosting,13,0.5560251784837232,0.8086515790925557,0.0595238217062498,0.5920982573672309,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.8681754007988055,47,0.7491277573863059,6,53,0.11904764341249963
Gradient Boosting,45,0.5561512264646461,0.9817118626749748,0.059310620707505,0.5763522604032011,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.0410224833824797,18,0.9224012419674698,37,55,0.11862124141500996
Gradient Boosting,28,0.5563987352012985,0.89956910105825,0.058891977668037,0.5974195844114494,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.958461078726287,36,0.840677123390213,18,54,0.117783955336074
Gradient Boosting,6,0.5565261361560583,0.8988937060069295,0.0586764882123792,0.6080757691408366,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",0.9575701942193088,37,0.8402172177945503,17,54,0.1173529764247585
Gradient Boosting,23,0.5571234218926542,0.9727790217441902,0.0576662227987968,0.6067876939072335,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.030445244542987,22,0.9151127989453933,33,55,0.1153324455975937
Gradient Boosting,39,0.5574269840094963,0.9647690205151684,0.0571527695406171,0.6020886087145946,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.0219217900557855,23,0.9076162509745513,31,54,0.1143055390812342
Gradient Boosting,37,0.5588184594150967,0.9658471269940953,0.0547991900224782,0.6118145034872757,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.0206463170165734,25,0.911047936971617,32,57,0.10959838004495637
Gradient Boosting,40,0.5606126302184758,0.8869781973010212,0.0517644805063197,0.6172507318702437,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.9387426778073409,41,0.8352137167947016,16,57,0.10352896101263931
Gradient Boosting,24,0.5619215498474521,0.9901519020669602,0.0495505380843053,0.6015982666239816,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.0397024401512656,20,0.9406013639826549,40,60,0.09910107616861064
Gradient Boosting,9,0.5646346751155876,0.9947840410420592,0.0449614838793023,0.612786828074014,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.0397455249213614,19,0.9498225571627569,43,62,0.08992296775860453
Gradient Boosting,34,0.5670031751452144,0.964828642199193,0.0409553382183695,0.6110118846281288,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.0057839804175623,29,0.9238733039808235,38,67,0.08191067643673888
Gradient Boosting,27,0.5685603154168548,0.9811614639689626,0.0383215486196084,0.5974430279433721,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.019483012588571,26,0.9428399153493543,41,67,0.0766430972392167
Gradient Boosting,11,0.5691502789478332,0.9281781638835612,0.0373236681846606,0.6245262581224709,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.9655018320682218,34,0.8908544956989006,27,61,0.0746473363693212
