Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
MLP,1,0.5521934259642501,0.1087184093181329,0.066004952606668,0.5836046626975927,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}",0.1747233619248009,4,0.0427134567114649,1,5,0.132009905213336
MLP,3,0.5880082654712602,0.6658989075096153,0.0054267545516626,0.6014079380446167,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",0.671325662061278,1,0.6604721529579527,9,10,0.010853509103325276
MLP,2,0.653604902228851,0.1534980086886302,-0.1055251890544457,0.667654359799877,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",0.047972819634184496,7,0.2590231977430759,4,11,-0.21105037810889143
MLP,18,0.9335228529894845,0.9920815255440906,-0.5789860587313842,0.777288143664177,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",0.41309546681270637,2,1.5710675842754749,15,17,-1.1579721174627684
MLP,44,0.9364027004425616,0.9871996800335378,-0.5838571113950872,0.8249661221557244,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",0.4033425686384505,3,1.5710567914286249,14,17,-1.1677142227901744
MLP,5,0.9883113501094634,0.6885194187986549,-0.6716568196605395,0.7815552408796043,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",0.016862599138115386,8,1.3601762384591942,11,19,-1.343313639321079
MLP,41,1.0485068639321111,-0.7303643249231948,-0.7734731563680501,0.7601505658878045,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.503837481291245,32,0.04310883144485533,2,34,-1.5469463127361003
MLP,26,1.0629253292752232,0.9563919219822082,-0.7978609425825693,0.8830884637702295,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",0.1585309793996389,5,1.7542528645647777,17,22,-1.5957218851651387
MLP,23,1.0722132901086925,0.9517080171358876,-0.8135708532967272,0.8981039743277003,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",0.13813716383916042,6,1.7652788704326148,18,24,-1.6271417065934544
MLP,48,1.0728910982176978,-0.5023104645376031,-0.81471731645099,0.8363290767239557,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-1.317027780988593,30,0.3124068519133869,6,36,-1.62943463290198
MLP,46,1.0943205081360163,-0.5542863520237207,-0.8509636058690877,0.8155532865253413,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-1.4052499578928084,31,0.29667725384536703,5,36,-1.7019272117381754
MLP,36,1.1347310395898456,-0.666991290214755,-0.919315082843847,0.7638697105410932,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.586306373058602,34,0.252323792629092,3,37,-1.838630165687694
MLP,19,1.1497341129473766,0.9128553988822888,-0.9446916910262853,0.8948964690948416,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-0.031836292143996414,9,1.8575470899085742,21,30,-1.8893833820525705
MLP,35,1.1775928270335942,-0.5649689321076363,-0.99181268117179,0.8940136923718864,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-1.5567816132794263,33,0.4268437490641537,8,41,-1.98362536234358
MLP,47,1.2099895237780764,0.7689189580280401,-1.0466093391696871,0.8513500376411965,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",-0.277690381141647,13,1.8155282971977273,20,33,-2.0932186783393743
MLP,24,1.2158778229455147,0.9489710622677952,-1.0565689692582816,0.9326206743733196,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-0.10759790699048644,10,2.0055400315260767,25,35,-2.113137938516563
MLP,20,1.249219823401455,0.9927637324190096,-1.1129645397807937,0.9152020378012344,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",-0.12020080736178407,11,2.105728272199803,27,38,-2.2259290795615874
MLP,7,1.2566506845341756,0.4277887233815393,-1.1255333013224749,0.8404622014823203,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-0.6977445779409356,18,1.553322024704014,13,31,-2.2510666026449497
MLP,10,1.2858982682382802,0.4658368897507702,-1.1750034634855866,0.9043754678123436,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",-0.7091665737348164,19,1.640840353236357,16,35,-2.350006926971173
MLP,42,1.2866197721700026,0.9954723227826852,-1.1762238349482257,0.9526420214493574,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",-0.18075151216554053,12,2.171696157730911,30,42,-2.3524476698964514
MLP,13,1.3274602091126102,0.8474088078663764,-1.24530246581234,0.935169365043328,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-0.39789365794596354,14,2.0927112736787166,26,40,-2.49060493162468
MLP,11,1.3715802566340274,0.8274337705585173,-1.3199283196131235,0.955120986940496,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}",-0.4924945490546062,16,2.147362090171641,29,45,-2.639856639226247
MLP,17,1.3717257949254482,0.9103927192749862,-1.320174487055548,0.9559276328278192,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-0.40978176778056186,15,2.230567206330534,31,46,-2.640348974111096
MLP,28,1.418566870768972,-1.0624542722051284,-1.3994027625027443,0.9692834337648012,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-2.4618570347078728,39,0.33694849029761587,7,46,-2.7988055250054886
MLP,31,1.4805025907367235,0.6393411791316099,-1.5041625314290146,1.075879712976773,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-0.8648213522974046,21,2.1435037105606245,28,49,-3.008325062858029
MLP,4,1.4836381287635267,0.2705211671611041,-1.509466066114951,0.9716130854232295,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",-1.238944898953847,27,1.7799872332760551,19,46,-3.018932132229902
