Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Random Forest,27,0.4717109929116486,0.760997847605771,0.2021351387674897,0.5499207765731146,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9631329863732607,1,0.5588627088382814,31,32,0.40427027753497935
Random Forest,50,0.4836749620937642,0.6885155532513558,0.1818989544200399,0.5608177885320078,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.8704145076713957,5,0.5066165988313159,20,25,0.3637979088400798
Random Forest,44,0.4845229010803412,0.7487520565051666,0.1804647272512327,0.5693872175095244,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.9292167837563994,2,0.5682873292539339,33,35,0.3609294545024655
Random Forest,17,0.4886224521836416,0.5333538099870156,0.173530634509487,0.5662447083026901,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7068844444965027,35,0.3598231754775286,4,39,0.34706126901897405
Random Forest,30,0.4914035491867272,0.6862214958482314,0.168826611054904,0.5696369722243724,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8550481069031355,9,0.5173948847933274,24,33,0.3376532221098081
Random Forest,12,0.4918906943165678,0.5555404933260705,0.1680026404727871,0.5660905594406052,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.7235431337988576,30,0.38753785285328335,6,36,0.33600528094557425
Random Forest,49,0.4942926038320983,0.5423430298240827,0.1639399850946014,0.5602437980277417,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.7062830149186841,36,0.3784030447294813,5,41,0.3278799701892028
Random Forest,34,0.4979703180403705,0.6641420375681875,0.1577193988022961,0.5607878068736936,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.8218614363704836,15,0.5064226387658913,19,34,0.31543879760459226
Random Forest,13,0.4982750662981594,0.5522685930813205,0.1572039392729118,0.5725419560394988,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.7094725323542322,34,0.3950646538084087,7,41,0.3144078785458235
Random Forest,28,0.5004675458066699,0.5610880393829515,0.1534955195305285,0.5800988338444659,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.71458355891348,33,0.40759251985242295,10,43,0.30699103906105707
