Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
SVR,12,0.428907169662204,0.8256479155660847,0.2745346948735219,0.5570467927599037,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.1001826104396066,1,0.5511132206925629,6,7,0.5490693897470438
SVR,11,0.4350789067000983,0.8278015672219629,0.2640956502269083,0.5643095924932224,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.0918972174488712,2,0.5637059169950546,18,20,0.5281913004538167
SVR,10,0.4419994030247173,0.8309626809399377,0.2523901336655496,0.5713181124910336,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.0833528146054874,3,0.5785725472743881,29,32,0.5047802673310993
SVR,37,0.4555103191075997,0.7956329338229202,0.229537401065332,0.585013754954218,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.0251703348882522,7,0.5660955327575883,19,26,0.4590748021306639
SVR,36,0.4569844023119634,0.7988043305397461,0.2270440964594011,0.586176513651966,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.0258484269991472,6,0.5717602340803449,26,32,0.4540881929188023
SVR,38,0.4592933657617833,0.7940636163570021,0.2231386525961785,0.5863693467423883,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.0172022689531806,15,0.5709249637608236,25,40,0.446277305192357
SVR,39,0.4605122212254419,0.7915841603512659,0.2210770471640647,0.5869966654120351,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.0126612075153305,17,0.5705071131872012,24,41,0.44215409432812935
SVR,40,0.4606954338390676,0.7878273746573399,0.2207671563437465,0.5865658927313478,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.0085945310010864,18,0.5670602183135933,21,39,0.4415343126874931
SVR,45,0.4607152032533809,0.7789664187075324,0.2207337178162481,0.5851742577111679,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9997001365237804,23,0.5582327008912843,15,38,0.44146743563249613
SVR,44,0.4611643817067673,0.7819535676717521,0.2199739651079899,0.5859699115047771,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.001927532779742,22,0.5619796025637622,17,39,0.43994793021597967
SVR,46,0.4623577120645423,0.7764315262096859,0.2179555335373503,0.5868638606480321,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9943870597470362,27,0.5584759926723356,16,43,0.4359110670747006
SVR,33,0.4625156324946546,0.8017956073827768,0.2176884226072453,0.5881535806559218,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.019484029990022,14,0.5841071847755315,31,45,0.4353768452144906
SVR,47,0.4625814182112467,0.7734991642173752,0.2175771508488412,0.5870974270683929,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9910763150662164,28,0.555922013368534,12,40,0.43515430169768243
SVR,9,0.4626954914255377,0.8186517921798507,0.2173842042975455,0.5802315487948074,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1.0360359964773962,4,0.6012675878823053,39,43,0.4347684085950909
SVR,34,0.4627436019703622,0.7984901704966693,0.21730282880758,0.5887943262555271,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.0157929993042494,16,0.5811873416890893,30,46,0.4346056576151601
SVR,32,0.4627634198717184,0.8056616982155589,0.2172693082677727,0.5892067215393578,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.0229310064833315,10,0.5883923899477862,33,43,0.43453861653554526
SVR,8,0.4634174474924953,0.8073037262966797,0.2161630680810167,0.5786562008174411,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1.0234667943776965,9,0.591140658215663,35,44,0.4323261361620335
SVR,43,0.46425056669089,0.7815718679698467,0.2147539075068389,0.5876695340590353,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9963257754766855,25,0.5668179604630078,20,45,0.42950781501367774
SVR,48,0.4645394626884947,0.7711952808090329,0.214265260923437,0.5883415596669804,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9854605417324699,30,0.5569300198855959,13,43,0.428530521846874
SVR,29,0.4651535022441614,0.8143439690125064,0.2132266576425397,0.5925796073032806,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.0275706266550462,5,0.6011173113699667,38,43,0.42645331528507946
SVR,30,0.4654372171794514,0.8118988613468899,0.2127467744494907,0.5918732628024014,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.0246456357963807,8,0.5991520868973992,37,45,0.4254935488989815
SVR,31,0.4661501346734308,0.8080023214252365,0.2115409263222442,0.5918092308505913,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.0195432477474808,13,0.5964613951029923,36,49,0.4230818526444885
SVR,41,0.4665340495504473,0.7874348222960725,0.2108915622101528,0.58964737400983,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9983263845062254,24,0.5765432600859197,28,52,0.42178312442030563
SVR,42,0.4668940885320412,0.7842589133211845,0.2102825824399028,0.5893711000483097,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9945414957610873,26,0.5739763308812816,27,53,0.42056516487980566
SVR,35,0.4682732581495099,0.7967118277379962,0.2079498172680217,0.5911023213426593,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.004661645006018,19,0.5887620104699745,34,53,0.4158996345360435
SVR,49,0.4685077002705758,0.7607852339925119,0.2075532754591553,0.5911860732920676,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9683385094516672,34,0.5532319585333565,9,43,0.4151065509183107
SVR,50,0.4688091657197732,0.7626641278998842,0.2070433685619139,0.5918643678544764,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9697074964617982,33,0.5556207593379703,11,44,0.41408673712382793
SVR,51,0.469278827946632,0.763970356494263,0.2062489690395584,0.5919066431739181,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9702193255338214,32,0.5577213874547047,14,46,0.4124979380791167
SVR,28,0.4695645114308627,0.8156700266579542,0.2057657561890477,0.5947369632024576,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.0214357828470018,12,0.6099042704689065,40,52,0.41153151237809527
SVR,23,0.4759643244806609,0.8266914849921922,0.1949409375445356,0.5919989267317368,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.021632422536728,11,0.6317505474476567,44,55,0.38988187508907124
SVR,21,0.4881534574478441,0.8280876972760715,0.1743239050192246,0.5984473693480588,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.002411602295296,20,0.6537637922568469,46,66,0.34864781003844914
SVR,26,0.4891446557661206,0.7140997632928641,0.1726473651027302,0.5960582966952762,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8867471283955943,36,0.5414523981901338,4,40,0.34529473020546053
SVR,6,0.4928801440604527,0.8359924356137942,0.1663290581427922,0.60853189964556,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.0023214937565865,21,0.669663377471002,48,69,0.3326581162855845
SVR,22,0.4932410309369366,0.8248711133853673,0.1657186442199596,0.6020696648192105,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.990589757605327,29,0.6591524691654077,47,76,0.33143728843991926
SVR,27,0.4932640419956277,0.7179946133503153,0.1656797226865942,0.6006190184367998,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8836743360369095,37,0.5523148906637212,7,44,0.3313594453731883
SVR,25,0.4952757787109517,0.7099729212283755,0.1622770162427591,0.5960496061453094,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8722499374711346,38,0.5476959049856165,5,43,0.32455403248551806
SVR,24,0.4993651144752524,0.7077087638799889,0.155360202004495,0.5982521450004675,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8630689658844839,39,0.552348561875494,8,47,0.3107204040089899
SVR,7,0.5017139818037087,0.8216466889465577,0.1513872636307156,0.6066314996441565,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9730339525772733,31,0.670259425315842,49,80,0.3027745272614313
SVR,5,0.5076312068052443,0.825134201617485,0.1413787075960336,0.6032946969923998,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9665129092135185,35,0.6837554940214514,50,85,0.2827574151920671
SVR,19,0.5123337019857787,0.686952714822761,0.1334247787687562,0.6028146168932742,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8203774935915171,40,0.5535279360540049,10,50,0.26684955753751227
SVR,20,0.5181703054307855,0.6927266826362904,0.1235525882374837,0.6032054134590359,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8162792708737742,41,0.5691740943988067,23,64,0.24710517647496744
SVR,18,0.5226328759962067,0.6845727317214079,0.1160044744592938,0.6069130138572963,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8005772061807017,42,0.568568257262114,22,64,0.2320089489185877
SVR,17,0.531956106774981,0.6872127118671894,0.100234907196021,0.6117884075805161,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7874476190632104,43,0.5869778046711683,32,75,0.20046981439204203
