Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
AdaBoost,35,0.4042379696766157,0.8326872094979404,0.2377420856618527,0.4822366914390684,"{'learning_rate': 0.05, 'n_estimators': 50}",1.0704292951597931,1,0.5949451238360877,2,3,0.47548417132370546
AdaBoost,47,0.4295193661202087,0.8511045727192993,0.1900698085126637,0.4998108608745218,"{'learning_rate': 0.05, 'n_estimators': 100}",1.041174381231963,4,0.6610347642066356,4,8,0.3801396170253273
AdaBoost,63,0.4379656560759011,0.8582652910846923,0.1741429242304381,0.5183173021504166,"{'learning_rate': 0.05, 'n_estimators': 100}",1.0324082153151304,7,0.6841223668542542,9,16,0.3482858484608762
AdaBoost,45,0.4387584674480808,0.855269954060847,0.1726479465480973,0.5118643632080551,"{'learning_rate': 0.1, 'n_estimators': 50}",1.0279179006089443,8,0.6826220075127498,8,16,0.34529589309619446
AdaBoost,49,0.4388790588199304,0.883133884462654,0.1724205514628044,0.5215699003925485,"{'learning_rate': 0.05, 'n_estimators': 200}",1.0555544359254583,3,0.7107133329998495,13,16,0.34484110292560877
AdaBoost,36,0.4458630198472031,0.8417551064430763,0.159251131552234,0.5165152191385902,"{'learning_rate': 0.1, 'n_estimators': 50}",1.0010062379953102,18,0.6825039748908422,7,25,0.31850226310446794
AdaBoost,51,0.4478846883556184,0.9005776199390232,0.1554389393874539,0.5314565087740493,"{'learning_rate': 0.1, 'n_estimators': 200}",1.0560165593264772,2,0.7451386805515693,22,24,0.3108778787749079
AdaBoost,44,0.4481718022485657,0.8813908526018107,0.1548975383968678,0.5216682788211582,"{'learning_rate': 0.1, 'n_estimators': 100}",1.0362883909986784,6,0.7264933142049429,18,24,0.3097950767937355
AdaBoost,46,0.4495839029861136,0.8733337783163406,0.1522347876317682,0.5284744790603065,"{'learning_rate': 0.1, 'n_estimators': 100}",1.0255685659481089,10,0.7210989906845724,15,25,0.30446957526353646
AdaBoost,42,0.4510670339766511,0.874773988132003,0.1494380975127233,0.511899877794697,"{'learning_rate': 0.1, 'n_estimators': 100}",1.0242120856447263,11,0.7253358906192797,16,27,0.2988761950254466
AdaBoost,50,0.4512395049378445,0.8777988875711322,0.1491128748344373,0.5237817511444158,"{'learning_rate': 0.1, 'n_estimators': 100}",1.0269117624055695,9,0.728686012736695,21,30,0.2982257496688745
AdaBoost,43,0.4517088985780578,0.8738807610748164,0.1482277550682786,0.5180153324805462,"{'learning_rate': 0.05, 'n_estimators': 200}",1.022108516143095,13,0.7256530060065378,17,30,0.29645551013655713
AdaBoost,29,0.4527394785391087,0.8218614260234449,0.1462844251720353,0.5187007506715323,"{'learning_rate': 0.1, 'n_estimators': 50}",0.9681458511954802,28,0.6755770008514096,5,33,0.29256885034407065
AdaBoost,41,0.4531126386718268,0.8642049725372575,0.1455807696873527,0.5288652784759986,"{'learning_rate': 0.1, 'n_estimators': 100}",1.0097857422246101,16,0.7186242028499048,14,30,0.29116153937470535
