Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
XGBoost,26,0.9145629050858208,0.933556287008272,0.0558997496382838,0.8008743322379304,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9894560366465558,1,0.8776565373699882,5,6,0.11179949927656763
XGBoost,28,0.9178630470892752,0.932679305319513,0.0524930240053453,0.8347013359177078,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9851723293248583,3,0.8801862813141678,6,9,0.10498604801069056
XGBoost,25,0.9184722708403154,0.9344065928061974,0.0518641243499089,0.8252811417937872,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9862707171561064,2,0.8825424684562885,7,9,0.1037282486998179
XGBoost,23,0.9328271188316704,0.9307817685126571,0.0370456624298172,0.8422225135107383,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9678274309424744,4,0.8937361060828399,8,12,0.07409132485963443
XGBoost,14,0.9338358405192992,0.8840677198056135,0.0360043623808653,0.8460608075886342,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.9200720821864788,9,0.8480633574247481,3,12,0.0720087247617307
XGBoost,27,0.9398595449154878,0.8953888086265638,0.0297861123327584,0.8086797072992701,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.9251749209593222,8,0.8656026962938054,4,12,0.059572224665516815
XGBoost,1,0.9447352623928416,0.4662182961546779,0.0247529253693851,0.8512467217025028,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.49097122152406303,31,0.4414653707852928,1,32,0.04950585073877023
XGBoost,18,0.945588369072248,0.9347435439211392,0.0238722661767436,0.8348596960476163,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9586158100978829,5,0.9108712777443956,9,14,0.0477445323534873
XGBoost,13,0.9731241903270508,0.9314930183999288,-0.004552870679354,0.8711481558926747,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9269401477205749,7,0.9360458890792828,10,17,-0.009105741358707897
XGBoost,19,0.984067902358434,0.9355667534857538,-0.0158500282737199,0.8947302653771291,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9197167252120338,10,0.9514167817594738,11,21,-0.0317000565474399
XGBoost,16,1.000048098268821,0.977083575321722,-0.0323463314541008,0.8374414238268769,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.9447372438676211,6,1.0094299067758228,15,21,-0.06469266290820164
XGBoost,17,1.0129514074290693,0.93517108053479,-0.0456663746582823,0.8696867503895522,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.8895047058765078,12,0.9808374551930723,12,24,-0.09133274931656454
XGBoost,21,1.017765929216156,0.9302875472056455,-0.0506363895137766,0.8688055325665566,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.879651157691869,13,0.9809239367194221,13,26,-0.10127277902755316
XGBoost,20,1.0254373284699403,0.935716647558854,-0.0585555494926555,0.8686067416649709,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.8771610980661985,14,0.9942721970515095,14,28,-0.11711109898531102
XGBoost,31,1.0463541999858528,0.9341964744929536,-0.080147966509726,0.882233618295252,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.8540485079832276,18,1.0143444410026796,16,34,-0.160295933019452
