Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
SVR,23,0.9936733589794072,0.7978479121452392,-0.0257657092512337,0.8241027906398292,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.7720822028940055,3,0.8236136213964729,6,9,-0.05153141850246734
SVR,1,0.9946254186759924,0.0084684321777348,-0.0267485173149624,0.8707531230709822,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",-0.0182800851372276,33,0.0352169494926972,1,34,-0.0534970346299248
SVR,22,1.0000353280208092,0.8077075305332857,-0.0323331487694782,0.8812108475374414,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.7753743817638075,1,0.8400406793027639,15,16,-0.06466629753895647
SVR,21,1.0047219943511243,0.8118298216928932,-0.0371711788614568,0.8821944490908771,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.7746586428314364,2,0.84900100055435,17,19,-0.07434235772291364
SVR,29,1.0063475475631585,0.7959189308953325,-0.0388492320450306,0.8919245349405465,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.7570696988503018,7,0.8347681629403632,13,20,-0.07769846409006131
SVR,28,1.0074952020116863,0.798261593639789,-0.04003395192177,0.8911297260233271,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.758227641718019,5,0.8382955455615589,14,19,-0.0800679038435399
SVR,34,1.008151547128509,0.7838671170125681,-0.04071149480665,0.894179897489564,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.743155622205918,18,0.8245786118192181,7,25,-0.08142298961330008
SVR,33,1.0083384269938571,0.7864283523541746,-0.0409044102711648,0.8941928669097864,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.7455239420830099,16,0.8273327626253394,8,24,-0.08180882054232952
SVR,30,1.0093032104088175,0.7915579615809143,-0.0419003529871264,0.8921619789904317,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.7496576085937879,12,0.8334583145680406,12,24,-0.08380070597425271
SVR,32,1.0093768317822047,0.7880072733044026,-0.0419763520864344,0.8951056974624224,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.7460309212179682,15,0.8299836253908369,9,24,-0.08395270417286871
SVR,31,1.0103758492490402,0.7891853532619807,-0.0430076345004817,0.8948320770789814,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.746177718761499,14,0.8321929877624624,11,25,-0.08601526900096346
SVR,27,1.012353425359331,0.7991397826509956,-0.0450490797531288,0.8929653699869043,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.7540907028978668,10,0.8441888624041244,16,26,-0.09009815950625755
SVR,26,1.0146681600248155,0.8022245039765356,-0.0474385726628594,0.8935927225787723,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.7547859313136761,9,0.849663076639395,18,27,-0.09487714532571889
SVR,20,1.0248193345747287,0.8159809683217093,-0.0579175964465095,0.890726286936485,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.7580633718751998,6,0.8738985647682188,19,25,-0.11583519289301902
SVR,16,1.0265834167406032,0.7383453087881481,-0.0597386526091847,0.9017838208574296,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6786066561789634,19,0.7980839613973327,4,23,-0.1194773052183693
SVR,18,1.0280968383483462,0.8218901336439098,-0.0613009527099512,0.8885343558358232,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.7605891809339587,4,0.883191086353861,20,24,-0.12260190541990235
SVR,25,1.0311512508143963,0.81951569722553,-0.0644540125573058,0.8467640729248784,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.7550616846682242,8,0.8839697097828357,21,29,-0.12890802511461152
SVR,17,1.0359869605820775,0.8228600834565842,-0.069445899694819,0.8884470381785551,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.7534141837617653,11,0.8923059831514032,24,35,-0.13889179938963792
SVR,19,1.0374139769488728,0.8186334988583504,-0.0709190039522402,0.8951364080473926,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.7477144949061102,13,0.8895525028105905,23,36,-0.1418380079044803
SVR,24,1.0384657005463094,0.8154594503348062,-0.0720046947299108,0.8615437757205754,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.7434547556048954,17,0.8874641450647169,22,39,-0.14400938945982156
SVR,2,1.0552253980936264,0.1314076109083406,-0.0893056748619705,0.8909236337202565,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.04210193604637011,31,0.2207132857703111,2,33,-0.178611349723941
SVR,15,1.059711069630238,0.7157613944710894,-0.0939362186957575,0.9161924295633784,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6218251757753319,21,0.809697613166847,5,26,-0.18787243739151505
SVR,14,1.0713264481881943,0.725345808754069,-0.1059267354154178,0.9098499299771416,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6194190733386511,22,0.8312725441694868,10,32,-0.21185347083083572
SVR,3,1.128136190124586,0.1665644002050083,-0.1645712433949961,0.930867327080644,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.001993156810012192,32,0.33113564360000436,3,35,-0.32914248678999214
SVR,13,1.132273940530483,0.8197968166670497,-0.1688426294007243,0.9107850340784192,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.6509541872663254,20,0.9886394460677741,25,45,-0.33768525880144873
SVR,10,1.1708303422673183,0.8129872418242414,-0.2086442748975725,0.9060920985902162,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.6043429669266689,23,1.021631516721814,26,49,-0.41728854979514507
SVR,11,1.19147853066733,0.811857284133529,-0.229959331226188,0.9194527173942042,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.5818979529073409,24,1.041816615359717,27,51,-0.4599186624523761
SVR,12,1.205605467058411,0.8211389116026409,-0.244542520758036,0.929845923702828,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.5765963908446048,25,1.065681432360677,29,54,-0.4890850415160721
SVR,9,1.216008507749899,0.7992868337358318,-0.2552815451233803,0.9217843396228248,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.5440052886124515,26,1.0545683788592122,28,54,-0.5105630902467607
SVR,8,1.3559454381584068,0.7875999169171681,-0.3997379737614135,0.9768945173479684,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.3878619431557546,27,1.1873378906785816,30,57,-0.799475947522827
SVR,7,1.459929569911771,0.785127537547114,-0.5070804477192705,1.011112619015093,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.27804708982784343,28,1.2922079852663844,32,60,-1.014160895438541
SVR,5,1.5178149014508255,0.6761403004793447,-0.5668352832744741,1.0274210888462,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.10930501720487062,30,1.2429755837538188,31,61,-1.1336705665489482
SVR,6,1.527134251077493,0.7208118161634398,-0.576455616951707,1.0192996774724352,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.14435619921173282,29,1.2972674331151468,33,62,-1.152911233903414
SVR,4,2.180282501119154,0.98987666606365,-1.2506983868678834,1.1691610797495198,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",-0.2608217208042334,34,2.2405750529315336,34,68,-2.5013967737357667
