Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Gradient Boosting,14,0.8378026481684108,0.982513485802606,0.1960059279596345,0.72329771743417,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.1785194137622406,1,0.7865075578429714,12,13,0.3920118559192691
Gradient Boosting,9,0.8960733440222176,0.8382498112018397,0.1400866799809501,0.7877496370638856,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.9783364911827899,14,0.6981631312208896,5,19,0.2801733599619003
Gradient Boosting,13,0.9079086952265406,0.8603090640552116,0.1287289309578428,0.8071670882463193,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.9890379950130543,13,0.7315801330973688,7,20,0.25745786191568554
Gradient Boosting,21,0.9096485434979412,0.8685429177915533,0.1270592922911307,0.7868154982983095,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.995602210082684,12,0.7414836255004227,8,20,0.25411858458226133
Gradient Boosting,12,0.924336480531735,0.8431309713951535,0.1129640703059902,0.8079866245756903,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.9560950417011437,16,0.7301669010891633,6,22,0.2259281406119804
Gradient Boosting,11,0.9464125749432538,0.846331231658425,0.0917788316588371,0.8179207953731269,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.9381100633172621,19,0.754552399999588,9,28,0.1835576633176741
Gradient Boosting,7,0.9518905704204288,0.8466715767821887,0.0865218944792505,0.8028808858570403,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.9331934712614393,20,0.7601496823029382,10,30,0.17304378895850103
Gradient Boosting,20,0.9620368639815052,0.9797463254994748,0.0767850430929237,0.8083146070390109,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",1.0565313685923985,2,0.9029612824065512,17,19,0.15357008618584733
Gradient Boosting,10,0.9621730246736993,0.8619871737689353,0.0766543770111106,0.8217773987494358,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.9386415507800459,18,0.7853327967578247,11,29,0.1533087540222211
Gradient Boosting,22,0.9700334646165962,0.9687497718493168,0.069111136211461,0.787459604767903,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.0378609080607777,5,0.8996386356378557,16,21,0.13822227242292195
Gradient Boosting,23,0.974529127070366,0.9692665166287936,0.0647968911196994,0.7901805932250161,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.034063407748493,6,0.9044696255090942,18,24,0.12959378223939877
