Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Random Forest,25,0.8774756783660237,0.6868608692466557,0.1579338579220288,0.8472703165166239,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.8447947271686844,2,0.5289270113246269,15,17,0.3158677158440575
Random Forest,28,0.8967671427193009,0.554398315554977,0.1394208787437927,0.8741868954453089,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.6938191942987697,16,0.41497743681118426,8,24,0.27884175748758544
Random Forest,11,0.9009603061498792,0.7057123992286731,0.1353969256700568,0.844102602575869,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.8411093248987299,3,0.5703154735586163,20,23,0.2707938513401136
Random Forest,21,0.910200838239094,0.7528952798212973,0.1265292847781719,0.8692111728745505,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8794245645994693,1,0.6263659950431254,26,27,0.25305856955634387
Random Forest,20,0.9270134358549856,0.6328553428525665,0.1103951404801945,0.8762681540637525,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.743250483332761,11,0.522460202372372,13,24,0.220790280960389
Random Forest,9,0.9270557982882004,0.632987073432841,0.1103544875349497,0.8715819375657813,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7433415609677907,10,0.5226325858978913,14,24,0.2207089750698994
Random Forest,13,0.9304740567705284,0.7154784577882303,0.107074168998715,0.883051725758983,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8225526267869453,5,0.6084042887895152,23,28,0.21414833799743005
Random Forest,19,0.9310294351989556,0.609238366024883,0.1065412022371862,0.8780605925305048,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.7157795682620692,14,0.5026971637876968,11,25,0.21308240447437243
Random Forest,15,0.9389383170232276,0.731288304177216,0.0989514743733704,0.8757818378957141,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8302397785505864,4,0.6323368298038456,27,31,0.19790294874674075
Random Forest,14,0.9433776851121486,0.5389255300002846,0.09469125195118,0.8998122821755833,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.6336167819514646,19,0.44423427804910465,10,29,0.18938250390236
Random Forest,24,0.9504268689505806,0.6308426883542286,0.0879265299355449,0.8799027440412753,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.7187692182897736,13,0.5429161584186837,18,31,0.1758530598710899
