Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
XGBoost,21,0.8599305724770715,0.9429520352279576,-0.0092430302876505,0.7667829731632437,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.9337090049403071,1,0.9521950655156081,1,2,-0.018486060575301
XGBoost,24,0.8997536391032055,0.9466392270178772,-0.0559807015874787,0.7822462213071298,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.8906585254303985,3,1.0026199286053559,2,5,-0.1119614031749574
XGBoost,23,0.9211727399838884,0.9619029363990698,-0.0811188685171511,0.7871495548348311,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.8807840678819187,5,1.0430218049162208,5,10,-0.1622377370343021
XGBoost,17,0.924170043457444,0.9358570404869287,-0.0846366032473271,0.7812351231667194,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.8512204372396016,9,1.0204936437342558,3,12,-0.16927320649465416
XGBoost,26,0.933171850721234,0.997351989674043,-0.0952014227010686,0.7734449288505718,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9021505669729745,2,1.0925534123751117,12,14,-0.19040284540213726
XGBoost,19,0.9448613713977558,0.9605398911636608,-0.1089206317253503,0.8016766624913891,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.8516192594383105,8,1.069460522889011,7,15,-0.21784126345070054
XGBoost,16,0.9516596653328356,0.9999775166366542,-0.1168993348804927,0.7811688446818212,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.8830781817561615,4,1.116876851517147,18,22,-0.2337986697609855
XGBoost,22,0.9523363263087988,0.9611648228065072,-0.1176934866361294,0.7996362359283108,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.8434713361703777,11,1.0788583094426365,10,21,-0.23538697327225877
XGBoost,9,0.9571986209023208,0.9244844107276772,-0.1234000367772436,0.7999526846160429,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.8010843739504336,14,1.0478844475049207,6,20,-0.24680007355448708
XGBoost,28,0.9623306917069002,0.9980146042901464,-0.1294232052239063,0.7897973375783642,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.8685913990662402,6,1.1274378095140527,21,27,-0.25884641044781254
XGBoost,31,0.9634402238592182,0.9955257740050074,-0.1307253889436703,0.8077096671469092,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.864800385061337,7,1.1262511629486778,20,27,-0.2614507778873407
XGBoost,20,0.9643803488321246,0.9605581143110072,-0.1318287507810942,0.8129004214613772,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.828729363529913,12,1.0923868650921014,11,23,-0.26365750156218837
