Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
AdaBoost,2,0.7763565146332208,0.6973295408005222,-0.006603733137116,0.742759036047943,"{'learning_rate': 0.1, 'n_estimators': 200}",0.6907258076634062,1,0.7039332739376383,2,3,-0.013207466274232083
AdaBoost,1,0.7782047336935993,0.4037702443567855,-0.009000086063595,0.7634241599578007,"{'learning_rate': 0.1, 'n_estimators': 100}",0.3947701582931905,32,0.41277033042038047,1,33,-0.018000172127189962
AdaBoost,13,0.980755359612926,0.9468270081864014,-0.2716219773682335,0.8016278644748557,"{'learning_rate': 0.1, 'n_estimators': 200}",0.6752050308181679,3,1.218448985554635,5,8,-0.5432439547364671
AdaBoost,27,0.983528775701308,0.9582706939837669,-0.2752179167794288,0.7887373000580992,"{'learning_rate': 0.1, 'n_estimators': 200}",0.683052777204338,2,1.2334886107631957,6,8,-0.5504358335588577
AdaBoost,25,1.0172007210478755,0.9489093776115508,-0.3188760883140062,0.822962006189561,"{'learning_rate': 0.05, 'n_estimators': 200}",0.6300332892975447,5,1.267785465925557,7,12,-0.6377521766280123
AdaBoost,26,1.0199065781680154,0.9578015344731826,-0.3223844325181575,0.8270705211257717,"{'learning_rate': 0.1, 'n_estimators': 200}",0.6354171019550251,4,1.2801859669913402,8,12,-0.6447688650363151
AdaBoost,29,1.0347375888522103,0.9584795554477352,-0.3416139365404944,0.8287266291425812,"{'learning_rate': 0.1, 'n_estimators': 200}",0.6168656189072408,6,1.3000934919882297,10,16,-0.6832278730809889
AdaBoost,14,1.0452880861555915,0.9447483533618654,-0.3552934378673482,0.8217714696063295,"{'learning_rate': 0.1, 'n_estimators': 200}",0.5894549154945172,8,1.3000417912292135,9,17,-0.7105868757346963
AdaBoost,5,1.0470811123075523,0.8583311769499475,-0.3576182290994134,0.8561988100276964,"{'learning_rate': 0.1, 'n_estimators': 100}",0.5007129478505341,17,1.215949406049361,4,21,-0.7152364581988269
AdaBoost,33,1.055959409781786,0.9615969877549826,-0.3691295994724535,0.8159517361902805,"{'learning_rate': 0.1, 'n_estimators': 200}",0.5924673882825291,7,1.330726587227436,13,20,-0.738259198944907
AdaBoost,17,1.0580644030858168,0.9498137587082308,-0.371858879227473,0.829304274364217,"{'learning_rate': 0.1, 'n_estimators': 200}",0.5779548794807579,9,1.3216726379357038,11,20,-0.7437177584549459
AdaBoost,16,1.0625143341533965,0.948891523371488,-0.3776285445041853,0.8391226706506644,"{'learning_rate': 0.1, 'n_estimators': 200}",0.5712629788673027,11,1.3265200678756732,12,23,-0.7552570890083705
AdaBoost,34,1.0716822023203456,0.9646196671041848,-0.389515364731513,0.8242158454522575,"{'learning_rate': 0.1, 'n_estimators': 200}",0.5751043023726718,10,1.3541350318356977,16,26,-0.7790307294630259
AdaBoost,38,1.0753799275962517,0.965109095917867,-0.3943097394764729,0.8442310070055276,"{'learning_rate': 0.1, 'n_estimators': 200}",0.570799356441394,12,1.35941883539434,17,29,-0.7886194789529459
AdaBoost,23,1.0822977676693932,0.9486536724838176,-0.403279231599766,0.8351180015552098,"{'learning_rate': 0.05, 'n_estimators': 200}",0.5453744408840516,13,1.3519329040835837,15,28,-0.8065584631995321
AdaBoost,15,1.0870536314262385,0.95121703875048,-0.4094455612713774,0.8472531644673695,"{'learning_rate': 0.1, 'n_estimators': 200}",0.5417714774791027,14,1.3606626000218573,18,32,-0.8188911225427546
AdaBoost,31,1.0888727293831997,0.9529208202501008,-0.4118041565300057,0.8529414987718719,"{'learning_rate': 0.05, 'n_estimators': 200}",0.5411166637200951,15,1.3647249767801064,19,34,-0.8236083130600113
AdaBoost,3,1.0899621970560402,0.791772836074859,-0.4132167320748015,0.8815153903678125,"{'learning_rate': 0.1, 'n_estimators': 100}",0.37855610400005757,33,1.2049895681496605,3,36,-0.826433464149603
AdaBoost,35,1.115402986401547,0.9629760499643506,-0.4462026000960679,0.8530964900834369,"{'learning_rate': 0.1, 'n_estimators': 200}",0.5167734498682828,16,1.4091786500604184,21,37,-0.8924052001921357
AdaBoost,22,1.1247274009526391,0.94425346422357,-0.4582923943072778,0.8644111039933882,"{'learning_rate': 0.05, 'n_estimators': 200}",0.48596106991629223,19,1.402545858530848,20,39,-0.9165847886145557
AdaBoost,32,1.1313324563647116,0.954821640229365,-0.4668563379466386,0.8503769213847402,"{'learning_rate': 0.1, 'n_estimators': 100}",0.4879653022827264,18,1.4216779781760036,24,42,-0.9337126758932772
AdaBoost,18,1.1415785623628554,0.948227788544202,-0.4801411733971696,0.8528237274231073,"{'learning_rate': 0.05, 'n_estimators': 200}",0.46808661514703237,20,1.4283689619413715,28,48,-0.9602823467943391
AdaBoost,9,1.1431768915675882,0.9288891131139964,-0.4822135256141486,0.8914759255710621,"{'learning_rate': 0.05, 'n_estimators': 200}",0.44667558749984776,22,1.411102638728145,22,44,-0.9644270512282971
AdaBoost,28,1.1467367648322284,0.93841791281136,-0.4868291650145273,0.8765290507854039,"{'learning_rate': 0.05, 'n_estimators': 100}",0.4515887477968327,21,1.4252470778258872,27,48,-0.9736583300290544
AdaBoost,11,1.1490537057362034,0.92510803332263,-0.4898332505337954,0.8880589411549729,"{'learning_rate': 0.1, 'n_estimators': 100}",0.43527478278883464,23,1.4149412838564255,23,46,-0.9796665010675909
AdaBoost,7,1.154503087971321,0.9249797645404711,-0.4968987782878222,0.8870669902902749,"{'learning_rate': 0.05, 'n_estimators': 200}",0.42808098625264895,25,1.4218785428282934,25,50,-0.9937975565756445
