Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
KNN,2,0.748245409872999,0.1098903465655362,0.0298443966343151,0.7443455167743858,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}",0.1397347431998513,33,0.0800459499312211,1,34,0.05968879326863019
KNN,1,0.794335628699962,0.0553223716228902,-0.0299149864040895,0.7905686150110028,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}",0.0254073852188007,37,0.0852373580269797,2,39,-0.05982997280817899
KNN,38,0.8056892455053608,0.445184533446968,-0.0446357916598063,0.7777749715340038,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.4005487417871617,2,0.4898203251067743,8,10,-0.0892715833196126
KNN,6,0.8307682896430524,0.5555858761825068,-0.0771526302213239,0.7762945628151281,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.47843324596118286,1,0.6327385064038307,12,13,-0.1543052604426478
KNN,10,0.8359447765496935,0.1927942465846381,-0.0838643289660971,0.7695066477403223,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",0.108929917618541,35,0.2766585755507352,3,38,-0.16772865793219421
KNN,5,0.8406779655784813,0.2798158790634565,-0.0900012591730554,0.7897525705041935,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",0.1898146198904011,29,0.3698171382365119,6,35,-0.1800025183461108
KNN,13,0.8451522723340568,0.2607986067695894,-0.0958025293349871,0.7584224467336405,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.16499607743460226,30,0.3566011361045765,5,35,-0.19160505866997424
KNN,18,0.8535432762615546,0.4420019158068617,-0.1066820875263392,0.7671668319264345,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.33531982828052254,12,0.5486840033332009,9,21,-0.21336417505267835
KNN,21,0.8596180452376568,0.4799841495594581,-0.1145584755182387,0.796433595340094,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.3654256740412194,8,0.5945426250776968,11,19,-0.22911695103647745
KNN,9,0.865472626626518,0.1709925012205889,-0.1221493739919468,0.7806228716620461,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",0.048843127228642105,36,0.2931418752125357,4,40,-0.24429874798389362
KNN,7,0.8744490371744174,0.2800831873474034,-0.1337879552331382,0.7985629712012706,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",0.1462952321142652,32,0.4138711425805416,7,39,-0.2675759104662764
KNN,8,0.9203794621617942,0.3961586797007486,-0.1933401537211103,0.8184976623624103,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.2028185259796383,28,0.5894988334218589,10,38,-0.38668030744222065
KNN,37,0.9234914726573696,0.5557641905572226,-0.1973751058640549,0.7556927239401445,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.35838908469316766,10,0.7531392964212775,16,26,-0.39475021172810987
KNN,33,0.92547643002257,0.6003848532110887,-0.1999487501322072,0.7676080062906744,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.4004361030788815,3,0.800333603343296,18,21,-0.39989750026441445
KNN,35,0.9339197959919386,0.5827260617152593,-0.2108961995897864,0.7731224666986027,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.3718298621254729,6,0.7936222613050457,17,23,-0.42179239917957273
KNN,36,0.9380600222047206,0.5866178328880378,-0.2162643095795471,0.7749583825085287,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.3703535233084907,7,0.8028821424675849,19,26,-0.43252861915909424
KNN,27,0.9414013984045048,0.4937464339569395,-0.2205966513492394,0.8411733997333839,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.2731497826077001,17,0.714343085306179,14,31,-0.44119330269847884
KNN,34,0.9458107383296857,0.5989321393609156,-0.2263136872028697,0.7831054575881706,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.3726184521580459,5,0.8252458265637853,21,26,-0.4526273744057394
KNN,29,0.947847105173798,0.500908504056697,-0.2289539876688076,0.862527303189103,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.27195451638788937,18,0.7298624917255045,15,33,-0.4579079753376152
KNN,20,0.9526079122637754,0.4511505020811035,-0.2351267267380239,0.848360693962763,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.21602377534307962,27,0.6862772288191274,13,40,-0.47025345347604786
KNN,19,0.9701315402471544,0.603549229329218,-0.2578474085558466,0.8125395318998764,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.34570182077337136,11,0.8613966378850646,22,33,-0.5156948171116933
KNN,22,0.9721085831485587,0.6539611402415151,-0.2604107911353901,0.8181805070745681,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.39355034910612496,4,0.9143719313769052,27,31,-0.5208215822707802
KNN,25,0.9836275051294792,0.603434631552756,-0.2753459267968559,0.8252905275559073,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.32808870475590013,13,0.8787805583496119,23,36,-0.5506918535937118
KNN,15,0.9892703258731448,0.5261117015470042,-0.2826622619069963,0.804874486792733,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.24344943964000787,22,0.8087739634540004,20,42,-0.5653245238139926
KNN,17,0.9910430285748688,0.645297530161812,-0.2849607022802833,0.7875095746161886,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.3603368278815287,9,0.9302582324420954,29,38,-0.5699214045605667
KNN,32,0.9921899350189768,0.597870137062857,-0.2864477514470489,0.815298308116362,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.31142238561580804,14,0.8843178885099059,24,38,-0.5728955028940979
KNN,16,1.0057848715906492,0.5984923912330637,-0.3040745938150464,0.8156104794608318,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.2944177974180173,15,0.9025669850481102,25,40,-0.6081491876300928
KNN,26,1.0180800158406107,0.599426142203572,-0.3200161591502939,0.8391645067527502,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.27940998305327813,16,0.919442301353866,28,44,-0.6400323183005878
KNN,28,1.0276268880882022,0.5703756600058503,-0.332394386244516,0.8539989810811358,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.23798127376133427,23,0.9027700462503663,26,49,-0.664788772489032
KNN,11,1.0361965155418762,0.5876102055494221,-0.3435055430698539,0.8607909687024238,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.2441046624795682,21,0.931115748619276,30,51,-0.6870110861397078
KNN,24,1.0429907220051122,0.6169696818770368,-0.3523147350592184,0.8674597309874329,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.2646549468178184,19,0.9692844169362552,32,51,-0.7046294701184368
KNN,23,1.0513533657424807,0.6185102364340451,-0.3631575221631657,0.8586692855822449,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.2553527142708794,20,0.9816677585972109,33,53,-0.7263150443263315
KNN,31,1.0548239177547811,0.597870137062857,-0.3676573499430342,0.856905289453706,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.2302127871198228,25,0.9655274870058912,31,56,-0.7353146998860685
KNN,30,1.067773117084977,0.6080559202723204,-0.3844469461417208,0.8630805984511962,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.22360897413059955,26,0.9925028664140412,35,61,-0.7688938922834416
KNN,14,1.06824647818984,0.616741171496641,-0.3850606938804157,0.8463775522561923,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.2316804776162253,24,1.0018018653770566,36,60,-0.7701213877608313
KNN,12,1.0959706770951858,0.5828507088112549,-0.4210071715493015,0.8822985657215039,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.16184353726195339,31,1.0038578803605565,37,68,-0.8420143430986031
KNN,3,1.1027468572324528,0.5560742994590715,-0.42979299107167,0.8639881439375919,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.12628130838740148,34,0.9858672905307415,34,68,-0.85958598214334
KNN,4,1.163180215998785,0.4977897723515982,-0.508149317570642,0.8985764846165207,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",-0.010359545219043753,38,1.0059390899222402,38,76,-1.016298635141284
