Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
SVR,4,0.5763758973514324,0.9077047918197624,0.1755335398881929,0.6203972444788224,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",1.0832383317079552,1,0.7321712519315695,4,5,0.35106707977638574
SVR,7,0.6430593492663719,0.8000729301510392,0.0801474042066302,0.6680929240112928,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8802203343576694,37,0.719925525944409,3,40,0.1602948084132605
SVR,10,0.6741649804242357,0.9820245272075148,0.0356529176604125,0.6499494865169148,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.0176774448679273,2,0.9463716095471023,7,9,0.07130583532082502
SVR,3,0.6773731545641013,0.8592168279968172,0.0310638430848244,0.6472733444525373,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.8902806710816416,33,0.8281529849119929,6,39,0.0621276861696487
SVR,16,0.6827614258470753,0.9780446078195892,0.0233562880478951,0.6571202344152102,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.0014008958674843,3,0.9546883197716941,8,11,0.04671257609579016
SVR,11,0.6975102375206969,0.9833479375268132,0.0022591175949256,0.6675426930755523,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.9856070551217387,4,0.9810888199318876,9,13,0.004518235189851172
SVR,15,0.7035527545210581,0.977692246176754,-0.0063842913754112,0.6717859671919629,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.9713079548013428,6,0.9840765375521652,10,16,-0.012768582750822377
SVR,9,0.705877477534473,0.981286704904486,-0.0097096492927322,0.6654702981758656,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.9715770556117538,5,0.9909963541972182,11,16,-0.01941929858546443
SVR,17,0.7144765573783906,0.979427298612806,-0.0220100472651525,0.675324060587826,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.9574172513476534,8,1.0014373458779584,12,20,-0.044020094530304976
SVR,28,0.7191544352799958,0.986413003159877,-0.0287014329599644,0.6641830771274705,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.9577115701999126,7,1.0151144361198414,13,20,-0.057402865919928825
SVR,26,0.720277717473371,0.9852887932303764,-0.0303082116228723,0.6763096451734348,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.9549805816075041,9,1.0155970048532488,14,23,-0.06061642324574468
SVR,1,0.7228115488405168,0.0168696281110354,-0.0339326847963528,0.7117738695418547,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.0170630566853174,47,0.0508023129073882,1,48,-0.0678653695927056
SVR,27,0.7251517889081707,0.9864214898803458,-0.0372802388027859,0.6698744248638342,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.94914125107756,10,1.0237017286831318,15,25,-0.07456047760557183
SVR,29,0.7275431794485878,0.9864622833131826,-0.0407009600762857,0.6680135538909593,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.945761323236897,11,1.0271632433894684,17,28,-0.08140192015257142
SVR,18,0.7294945083992385,0.9807599941948808,-0.04349220322134,0.6847870007648902,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.9372677909735408,12,1.0242521974162209,16,28,-0.08698440644268002
SVR,8,0.7375705534628367,0.982707858714038,-0.0550444355681214,0.692434901297955,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.9276634231459165,13,1.0377522942821593,18,31,-0.11008887113624277
SVR,25,0.7404156719968352,0.985758303269657,-0.0591141838298081,0.691756846683062,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.9266441194398489,14,1.044872487099465,20,34,-0.11822836765961608
